symbol,timeframe,num_trades_before,num_trades_after,num_trades_delta,win_rate_before,win_rate_after,win_rate_delta,total_return_before,total_return_after,total_return_delta,max_drawdown_before,max_drawdown_after,max_drawdown_delta,fill_rate_before,fill_rate_after,fill_rate_delta,num_filled_before,num_filled_after,num_filled_delta,eligible_setups
BTC/USDT:USDT,15m,428,658,230,0.4953271028037383,0.5167173252279635,0.021390222424225225,0.0723095082745046,0.4723822874977397,0.4000727792232351,0.1270222471753808,0.1216446855712092,-0.0053775616041716046,0.2886683209263854,0.5012406947890818,0.21257237386269645,698.0,1212.0,514.0,2418.0
BTC/USDT:USDT,1h,134,221,87,0.4850746268656716,0.5067873303167421,0.02171270345107046,0.0538962116123993,0.2398815532619213,0.185985341649522,0.1253212662925114,0.0993657596694871,-0.025955506623024288,0.3060200668896321,0.5016722408026756,0.19565217391304346,183.0,300.0,117.0,598.0
BTC/USDT:USDT,4h,40,55,15,0.4,0.4545454545454545,0.05454545454545445,-0.0287434048038936,0.029401570186056,0.0581449749899496,0.0686004976531198,0.0757732174308783,0.007172719777758491,0.3985507246376811,0.5289855072463768,0.13043478260869573,55.0,73.0,18.0,138.0
BTC/USDT:USDT,1d,8,11,3,0.375,0.5454545454545454,0.17045454545454541,-0.0081897568360287,0.035785938539291,0.0439756953753197,0.0209324579729056,0.0105859738085346,-0.010346484164371,0.4736842105263157,0.631578947368421,0.1578947368421053,9.0,12.0,3.0,19.0
ETH/USDT:USDT,15m,450,797,347,0.4888888888888889,0.5169385194479298,0.028049630559040917,0.1351954449068329,0.7565994198296179,0.621403974922785,0.1905559496642486,0.2121753815911427,0.021619431926894084,0.2772801302931596,0.5028524857375714,0.22557235544441173,681.0,1234.0,553.0,2454.0
ETH/USDT:USDT,1h,140,234,94,0.5,0.5341880341880342,0.03418803418803418,0.1558688426634249,0.4374018718374089,0.28153302917398404,0.1126469638593453,0.1207636871739241,0.0081167233145788,0.3133640552995391,0.4792626728110599,0.1658986175115208,204.0,312.0,108.0,651.0
ETH/USDT:USDT,4h,32,50,18,0.46875,0.54,0.07125000000000004,0.03719294602764,0.1303513124227043,0.09315836639506431,0.0312363163109374,0.0400562512454564,0.008819934934518998,0.3418803418803419,0.4957264957264957,0.1538461538461538,40.0,58.0,18.0,117.0
ETH/USDT:USDT,1d,8,12,4,0.375,0.5,0.125,-0.0204065778525075,0.0159469634723929,0.0363535413249004,0.0367598150142932,0.027042300476214,-0.0097175145380792,0.5,0.6666666666666666,0.16666666666666663,12.0,16.0,4.0,24.0
SOL/USDT:USDT,15m,505,907,402,0.4910891089108911,0.515986769570011,0.024897660659119913,0.2663613138452692,1.239946712693582,0.9735853988483127,0.118574943749562,0.1216255483581987,0.003050604608636709,0.2890078221490325,0.5047461824184895,0.21573836026945697,702.0,1223.0,521.0,2423.0
SOL/USDT:USDT,1h,137,233,96,0.4525547445255474,0.5107296137339056,0.05817486920835818,0.0621350306419806,0.3978595530469994,0.33572452240501877,0.0646782398988874,0.0633972177350944,-0.0012810221637929997,0.313953488372093,0.5066445182724253,0.19269102990033227,189.0,305.0,116.0,602.0
SOL/USDT:USDT,4h,43,66,23,0.4883720930232558,0.5303030303030303,0.04193093727977448,0.0820152643965653,0.2026528751776133,0.120637610781048,0.057893893446945,0.098781154169163,0.040887260722218,0.4715447154471545,0.6666666666666666,0.19512195121951215,58.0,82.0,24.0,123.0
SOL/USDT:USDT,1d,4,7,3,0.25,0.2857142857142857,0.0357142857142857,-0.0158425176007425,-0.0212075305404978,-0.0053650129397553,0.0299902034876698,0.0352209013652907,0.005230697877620899,0.25,0.4375,0.1875,4.0,7.0,3.0,16.0
