universe,segment,concurrency,time_share,peak_concurrency,peak_time
1h_3sym,is,0,0.7246107901171582,5,1735569180000
1h_3sym,is,1,0.18897593499120754,5,1735569180000
1h_3sym,is,2,0.07131626703808636,5,1735569180000
1h_3sym,is,3,0.008462665822178295,5,1735569180000
1h_3sym,is,4,0.005384098335691887,5,1735569180000
1h_3sym,is,5,0.0012502436956776874,5,1735569180000
1h_3sym,oos,0,0.7093767090050606,6,1765712640000
1h_3sym,oos,1,0.1827855530821786,6,1765712640000
1h_3sym,oos,2,0.08005075985734862,6,1765712640000
1h_3sym,oos,3,0.016832014912152325,6,1765712640000
1h_3sym,oos,4,0.006774399778166329,6,1765712640000
1h_3sym,oos,5,0.002817210595638812,6,1765712640000
1h_3sym,oos,6,0.001363352769454736,6,1765712640000
multi_tf,is,0,0.5020529288260902,11,1736763360000
multi_tf,is,1,0.2591211142349723,11,1736763360000
multi_tf,is,2,0.13602247657262723,11,1736763360000
multi_tf,is,3,0.05797691811317091,11,1736763360000
multi_tf,is,4,0.027381901866766156,11,1736763360000
multi_tf,is,5,0.010788107669787779,11,1736763360000
multi_tf,is,6,0.005285078243522852,11,1736763360000
multi_tf,is,7,0.0007928093241229131,11,1736763360000
multi_tf,is,8,0.0004511303957194007,11,1736763360000
multi_tf,is,9,7.709190306597353e-05,11,1736763360000
multi_tf,is,10,4.473233881605872e-05,11,1736763360000
multi_tf,is,11,5.710511338220262e-06,11,1736763360000
multi_tf,oos,0,0.4218084547408646,12,1758490260000
multi_tf,oos,1,0.2369295438261285,12,1758490260000
multi_tf,oos,2,0.15651492715548126,12,1758490260000
multi_tf,oos,3,0.08468115595892046,12,1758490260000
multi_tf,oos,4,0.0390293766419871,12,1758490260000
multi_tf,oos,5,0.0290155242417005,12,1758490260000
multi_tf,oos,6,0.01829090040601863,12,1758490260000
multi_tf,oos,7,0.006985431096250299,12,1758490260000
multi_tf,oos,8,0.0031048483401003107,12,1758490260000
multi_tf,oos,9,0.0017979460234057798,12,1758490260000
multi_tf,oos,10,0.0009343205158824934,12,1758490260000
multi_tf,oos,11,0.0005617387150704562,12,1758490260000
multi_tf,oos,12,0.00034583233818963457,12,1758490260000
