scope,universe,symbol,timeframe,segment,scenario,leverage,num_trades,total_return,max_drawdown,win_rate,sharpe,peak_concurrency,max_open_notional_ratio,max_concurrent_risk_ratio,clamped_entries,skipped_notional,skipped_zone,liquidations
series,15m,BTC/USDT:USDT,15m,is,single,1.0,421,0.3434488941003783,0.11146209165889438,0.5273159144893111,16.586826473133396,1,,,,,,
series,15m,BTC/USDT:USDT,15m,is,lev_1,1.0,442,0.3230535167732116,0.13742728838208793,0.5226244343891403,15.12778392764765,3,1.0000000000000002,0.023709025637284577,360.0,29.0,80.0,0.0
series,15m,BTC/USDT:USDT,15m,is,lev_2,2.0,457,0.4911820726220167,0.23307943061035222,0.5207877461706784,15.497503425411027,5,2.0000000000000004,0.040922279809404556,193.0,8.0,86.0,0.0
series,15m,BTC/USDT:USDT,15m,is,lev_3,3.0,460,0.49978779582419103,0.28497578400770307,0.5195652173913043,14.544734641716271,6,3.000000000000001,0.055669735326174696,47.0,1.0,87.0,0.0
series,15m,BTC/USDT:USDT,15m,is,peak_N,6.0,461,0.4804716817253891,0.29698786537069594,0.5184381778741866,13.96789008548333,6,5.680459934424169,0.06000000000000001,0.0,0.0,87.0,0.0
series,15m,BTC/USDT:USDT,15m,oos,single,1.0,215,0.04139974690401196,0.11424428102960511,0.48372093023255813,4.937619494064413,1,,,,,,
series,15m,BTC/USDT:USDT,15m,oos,lev_1,1.0,226,0.056610517931914,0.12679821491339155,0.48672566371681414,6.197353030532622,2,1.0000000000000002,0.02,180.0,9.0,41.0,0.0
series,15m,BTC/USDT:USDT,15m,oos,lev_2,2.0,232,0.02159606579868796,0.16709387420880084,0.4870689655172414,2.5821912729006318,3,2.0000000000000004,0.023512699634747194,106.0,1.0,41.0,0.0
series,15m,BTC/USDT:USDT,15m,oos,lev_3,3.0,233,0.013870274376747694,0.17034599850528087,0.48497854077253216,2.0472400650691656,3,3.0000000000000004,0.027742891950235583,32.0,0.0,41.0,0.0
series,1h,BTC/USDT:USDT,1h,is,single,1.0,131,0.03547677340081027,0.09936575966948967,0.48854961832061067,2.8722791820403955,1,,,,,,
series,1h,BTC/USDT:USDT,1h,is,lev_1,1.0,137,0.025704153691599094,0.12059513576810203,0.48905109489051096,2.1596232113832383,3,1.0,0.02229489563783104,71.0,2.0,17.0,0.0
series,1h,BTC/USDT:USDT,1h,is,lev_2,2.0,139,0.08411001760153486,0.14115612529046195,0.48201438848920863,5.0938549201582575,3,2.0000000000000004,0.03,24.0,0.0,17.0,0.0
series,1h,BTC/USDT:USDT,1h,is,lev_3,3.0,139,0.07776607102049547,0.14517704535776657,0.48201438848920863,4.647124721130674,3,3.0,0.03,6.0,0.0,17.0,0.0
series,1h,BTC/USDT:USDT,1h,oos,single,1.0,74,0.08230160590746054,0.051971457818258515,0.4864864864864865,9.606781454310546,1,,,,,,
series,1h,BTC/USDT:USDT,1h,oos,lev_1,1.0,80,0.04568533008242266,0.061870031624930356,0.4625,5.289566231433824,3,1.0,0.02047562663350582,33.0,0.0,16.0,0.0
series,1h,BTC/USDT:USDT,1h,oos,lev_2,2.0,80,0.027196779356381557,0.09418928727869197,0.4625,3.156543055527022,3,2.0,0.026516355842130176,13.0,0.0,16.0,0.0
series,1h,BTC/USDT:USDT,1h,oos,lev_3,3.0,80,0.016585621833502772,0.10336347479569953,0.4625,2.1128735294686516,3,3.0,0.03,1.0,0.0,16.0,0.0
series,4h,BTC/USDT:USDT,4h,is,single,1.0,31,0.0667695153124816,0.048491277594591556,0.5161290322580645,8.042964824848328,1,,,,,,
series,4h,BTC/USDT:USDT,4h,is,lev_1,1.0,31,0.0667695153124816,0.048491277594591556,0.5161290322580645,8.042964824848328,1,1.0,0.010000000000000002,1.0,0.0,1.0,0.0
series,4h,BTC/USDT:USDT,4h,is,lev_2,2.0,31,0.06875861878138712,0.04849127759459155,0.5161290322580645,8.234714124582204,1,1.1595535714285714,0.010000000000000002,0.0,0.0,1.0,0.0
series,4h,BTC/USDT:USDT,4h,is,lev_3,3.0,31,0.06875861878138712,0.04849127759459155,0.5161290322580645,8.234714124582204,1,1.1595535714285714,0.010000000000000002,0.0,0.0,1.0,0.0
series,4h,BTC/USDT:USDT,4h,oos,single,1.0,15,-0.03935940517560157,0.04218088516936158,0.3333333333333333,-10.349972450981616,1,,,,,,
series,4h,BTC/USDT:USDT,4h,oos,lev_1,1.0,18,-0.06419773589565284,0.06419773589565284,0.2777777777777778,-15.384958438301004,2,1.0,0.02,2.0,0.0,8.0,0.0
series,4h,BTC/USDT:USDT,4h,oos,lev_2,2.0,18,-0.06694709342799324,0.06694709342799324,0.2777777777777778,-15.368497839763807,2,1.949799803533565,0.02,0.0,0.0,8.0,0.0
series,4h,BTC/USDT:USDT,4h,oos,lev_3,3.0,18,-0.06694709342799324,0.06694709342799324,0.2777777777777778,-15.368497839763807,2,1.949799803533565,0.02,0.0,0.0,8.0,0.0
series,15m,ETH/USDT:USDT,15m,is,single,1.0,513,0.1372122828575648,0.21217538159114332,0.49707602339181284,5.951762612146269,1,,,,,,
series,15m,ETH/USDT:USDT,15m,is,lev_1,1.0,531,0.19862753426643723,0.21551769476076468,0.5028248587570622,7.820773347141322,3,1.0000000000000002,0.022323735016855282,387.0,16.0,91.0,0.0
series,15m,ETH/USDT:USDT,15m,is,lev_2,2.0,539,0.3997851829556388,0.23673254341310598,0.49907235621521334,11.033872804293624,3,2.0000000000000004,0.03009745766625517,161.0,3.0,93.0,0.0
series,15m,ETH/USDT:USDT,15m,is,lev_3,3.0,542,0.37694241744548906,0.27660739117125205,0.496309963099631,10.073506682826553,4,3.0000000000000004,0.03559841772811215,31.0,0.0,93.0,0.0
series,15m,ETH/USDT:USDT,15m,is,peak_N,4.0,542,0.3585924320130318,0.2869515193572009,0.496309963099631,9.662907612339117,4,3.976883127574744,0.04,0.0,0.0,93.0,0.0
series,15m,ETH/USDT:USDT,15m,oos,single,1.0,274,0.5147820944367193,0.06287856204849221,0.551094890510949,30.167015668414706,1,,,,,,
series,15m,ETH/USDT:USDT,15m,oos,lev_1,1.0,296,0.5133807436342931,0.06672375099111119,0.5506756756756757,28.207870841180714,4,1.0000000000000002,0.03921781406569714,205.0,14.0,69.0,0.0
series,15m,ETH/USDT:USDT,15m,oos,lev_2,2.0,308,0.7957758168130277,0.10722268286238108,0.551948051948052,31.51588151242069,5,2.0000000000000004,0.04007261680927741,83.0,2.0,69.0,0.0
series,15m,ETH/USDT:USDT,15m,oos,lev_3,3.0,309,0.9036734845773029,0.12299637795831643,0.5501618122977346,32.930282168703975,5,3.0000000000000004,0.04958357931158734,20.0,0.0,69.0,0.0
