symbol,timeframe,segment,offset_bps,trade_class,num_setups,num_resolved,num_wins,win_rate,mean_r,num_trades,pnl,pnl_share
BTC/USDT:USDT,1h,full,2.0,base,300,300,148,0.49333333333333335,0.23333333333333334,221,2290.516340833139,0.9825303630264532
BTC/USDT:USDT,1h,full,2.0,incremental,6,6,4,0.6666666666666666,0.6666666666666666,2,40.7259566341299,0.017469636973546587
BTC/USDT:USDT,1h,full,2.0,lost,0,0,0,,,0,0.0,
BTC/USDT:USDT,1h,full,5.0,base,300,300,148,0.49333333333333335,0.23333333333333334,223,1889.6017195058503,1.0146419573683536
BTC/USDT:USDT,1h,full,5.0,incremental,14,14,10,0.7142857142857143,0.7857142857142857,4,-27.268207882840187,-0.014641957368353503
BTC/USDT:USDT,1h,full,5.0,lost,0,0,0,,,0,0.0,
BTC/USDT:USDT,1h,full,10.0,base,300,300,137,0.45666666666666667,0.14166666666666666,228,1571.9247828912405,1.0079895328233386
BTC/USDT:USDT,1h,full,10.0,incremental,20,20,11,0.55,0.375,7,-12.45939986455204,-0.007989532823338606
BTC/USDT:USDT,1h,full,10.0,lost,0,0,0,,,0,0.0,
BTC/USDT:USDT,1h,is,2.0,base,170,170,78,0.4588235294117647,0.14705882352941177,131,338.03024842981984,1.2153946446639419
BTC/USDT:USDT,1h,is,2.0,incremental,3,3,2,0.6666666666666666,0.6666666666666666,1,-59.90638971947844,-0.21539464466394212
BTC/USDT:USDT,1h,is,2.0,lost,0,0,0,,,0,0.0,
BTC/USDT:USDT,1h,is,5.0,base,170,170,79,0.4647058823529412,0.16176470588235295,135,256.4662062415853,2.0103792596548313
BTC/USDT:USDT,1h,is,5.0,incremental,9,9,6,0.6666666666666666,0.6666666666666666,3,-128.8951496810341,-1.0103792596548302
BTC/USDT:USDT,1h,is,5.0,lost,0,0,0,,,0,0.0,
BTC/USDT:USDT,1h,is,10.0,base,170,170,75,0.4411764705882353,0.10294117647058823,137,347.35682982750484,3.5793807431602227
BTC/USDT:USDT,1h,is,10.0,incremental,14,14,6,0.42857142857142855,0.07142857142857142,5,-250.312996060655,-2.579380743160225
BTC/USDT:USDT,1h,is,10.0,lost,0,0,0,,,0,0.0,
BTC/USDT:USDT,1h,oos,2.0,base,105,105,50,0.47619047619047616,0.19047619047619047,74,738.8751981095555,0.8876754675582677
BTC/USDT:USDT,1h,oos,2.0,incremental,3,3,2,0.6666666666666666,0.6666666666666666,1,93.49566839865415,0.11232453244173218
BTC/USDT:USDT,1h,oos,2.0,lost,0,0,0,,,0,0.0,
BTC/USDT:USDT,1h,oos,5.0,base,105,105,49,0.4666666666666667,0.16666666666666666,72,462.33014489995776,0.8285431519580477
BTC/USDT:USDT,1h,oos,5.0,incremental,5,5,4,0.8,1.0,1,95.67355570074108,0.17145684804195233
BTC/USDT:USDT,1h,oos,5.0,lost,0,0,0,,,0,0.0,
BTC/USDT:USDT,1h,oos,10.0,base,105,105,43,0.4095238095238095,0.023809523809523808,75,67.67174838319526,0.23199877304201866
BTC/USDT:USDT,1h,oos,10.0,incremental,6,6,5,0.8333333333333334,1.0833333333333333,2,224.0183648698556,0.7680012269579813
BTC/USDT:USDT,1h,oos,10.0,lost,0,0,0,,,0,0.0,
ETH/USDT:USDT,1h,full,2.0,base,312,312,151,0.483974358974359,0.20993589743589744,233,4025.7589782435916,1.0
ETH/USDT:USDT,1h,full,2.0,incremental,3,3,3,1.0,1.5,0,0.0,0.0
ETH/USDT:USDT,1h,full,2.0,lost,0,0,0,,,0,0.0,
ETH/USDT:USDT,1h,full,5.0,base,312,312,148,0.47435897435897434,0.1858974358974359,233,3328.465599273504,0.9458034374864984
ETH/USDT:USDT,1h,full,5.0,incremental,7,7,6,0.8571428571428571,1.1428571428571428,1,190.72820712563842,0.0541965625135015
ETH/USDT:USDT,1h,full,5.0,lost,0,0,0,,,0,0.0,
ETH/USDT:USDT,1h,full,10.0,base,312,312,142,0.4551282051282051,0.13782051282051283,235,2235.3370568127953,0.8688870748998986
ETH/USDT:USDT,1h,full,10.0,incremental,14,14,10,0.7142857142857143,0.7857142857142857,4,337.30687055868736,0.13111292510010117
ETH/USDT:USDT,1h,full,10.0,lost,0,0,0,,,0,0.0,
ETH/USDT:USDT,1h,is,2.0,base,197,197,89,0.4517766497461929,0.12944162436548223,147,1433.6804518190315,1.0
ETH/USDT:USDT,1h,is,2.0,incremental,2,2,2,1.0,1.5,0,0.0,0.0
ETH/USDT:USDT,1h,is,2.0,lost,0,0,0,,,0,0.0,
ETH/USDT:USDT,1h,is,5.0,base,197,197,87,0.4416243654822335,0.10406091370558376,148,1079.803995711714,1.0
ETH/USDT:USDT,1h,is,5.0,incremental,5,5,4,0.8,1.0,0,0.0,0.0
ETH/USDT:USDT,1h,is,5.0,lost,0,0,0,,,0,0.0,
ETH/USDT:USDT,1h,is,10.0,base,197,197,82,0.41624365482233505,0.04060913705583756,148,186.14953876741907,0.8291817084349979
ETH/USDT:USDT,1h,is,10.0,incremental,10,10,7,0.7,0.75,2,38.34834495792103,0.1708182915650018
ETH/USDT:USDT,1h,is,10.0,lost,0,0,0,,,0,0.0,
ETH/USDT:USDT,1h,oos,2.0,base,105,105,54,0.5142857142857142,0.2857142857142857,78,1582.5241224329202,1.0
ETH/USDT:USDT,1h,oos,2.0,incremental,1,1,1,1.0,1.5,0,0.0,0.0
ETH/USDT:USDT,1h,oos,2.0,lost,0,0,0,,,0,0.0,
ETH/USDT:USDT,1h,oos,5.0,base,105,105,53,0.5047619047619047,0.2619047619047619,77,1342.6676711994485,0.8891715443521547
ETH/USDT:USDT,1h,oos,5.0,incremental,2,2,2,1.0,1.5,1,167.35329126590895,0.11082845564784562
ETH/USDT:USDT,1h,oos,5.0,lost,0,0,0,,,0,0.0,
ETH/USDT:USDT,1h,oos,10.0,base,105,105,52,0.49523809523809526,0.23809523809523808,79,1297.3569694333737,0.8202782237381323
ETH/USDT:USDT,1h,oos,10.0,incremental,4,4,3,0.75,0.875,2,284.24904166018064,0.17972177626186756
ETH/USDT:USDT,1h,oos,10.0,lost,0,0,0,,,0,0.0,
SOL/USDT:USDT,1h,full,2.0,base,305,305,145,0.47540983606557374,0.1885245901639344,233,4127.778011057741,0.9348894877274212
