sizing,scope,universe,symbol,timeframe,segment,scenario,leverage,total_return,win_rate,max_drawdown,num_trades,fill_rate,mean_r,sharpe,peak_concurrency,max_open_notional_ratio,max_concurrent_risk_ratio,clamped_entries,skipped_notional,liquidations
risk_pct,series,15m,BTC/USDT:USDT,15m,is,single,1.0,0.3374150074488156,0.5260663507109005,0.1114620916588946,422,0.49278091650973005,0.31516587677725116,16.31935556212527,1,,,,,
risk_pct,series,15m,BTC/USDT:USDT,15m,is,lev_1,1.0,0.3171112327092498,0.5191873589164786,0.1374272883820876,443,0.49278091650973005,0.2979683972911964,14.87416208141899,3,1.0000000000000002,0.023709025637284557,361.0,31.0,0.0
risk_pct,series,15m,BTC/USDT:USDT,15m,is,lev_2,2.0,0.4777872592538937,0.519650655021834,0.23307943061035252,458,0.49278091650973005,0.29912663755458513,15.14382419636621,5,2.0000000000000004,0.04092227980940445,194.0,8.0,0.0
risk_pct,series,15m,BTC/USDT:USDT,15m,is,lev_3,3.0,0.4799443161925801,0.5184381778741866,0.28497578400770307,461,0.49278091650973005,0.2960954446854664,14.072142750493615,6,3.000000000000001,0.0556697353261746,47.0,1.0,0.0
risk_pct,series,15m,BTC/USDT:USDT,15m,oos,single,1.0,0.04139974690400904,0.48372093023255813,0.11424428102960626,215,0.5153452685421995,0.20930232558139536,4.937619494064064,1,,,,,
risk_pct,series,15m,BTC/USDT:USDT,15m,oos,lev_1,1.0,0.056610517931913455,0.48672566371681414,0.12679821491339227,226,0.5153452685421995,0.2168141592920354,6.197353030532549,2,1.0000000000000002,0.02,180.0,9.0,0.0
risk_pct,series,15m,BTC/USDT:USDT,15m,oos,lev_2,2.0,0.021596065798669586,0.4870689655172414,0.16709387420880648,232,0.5153452685421995,0.21767241379310345,2.5821912728993524,3,2.0000000000000004,0.02351269963474774,106.0,1.0,0.0
risk_pct,series,15m,BTC/USDT:USDT,15m,oos,lev_3,3.0,0.013870274376756787,0.48497854077253216,0.17034599850527585,233,0.5153452685421995,0.21244635193133046,2.047240065069783,3,3.0000000000000004,0.02774289195023613,32.0,0.0,0.0
risk_pct,series,1h,BTC/USDT:USDT,1h,is,single,1.0,0.03547677340080954,0.48854961832061067,0.09936575966948973,131,0.504424778761062,0.22137404580152673,2.872279182040349,1,,,,,
risk_pct,series,1h,BTC/USDT:USDT,1h,is,lev_1,1.0,0.025704153691598185,0.48905109489051096,0.12059513576810225,137,0.504424778761062,0.22262773722627738,2.1596232113831793,3,1.0000000000000002,0.02229489563783104,71.0,2.0,0.0
risk_pct,series,1h,BTC/USDT:USDT,1h,is,lev_2,2.0,0.08411001760153486,0.48201438848920863,0.14115612529046148,139,0.504424778761062,0.20503597122302158,5.093854920158266,3,2.0,0.030000000000000002,24.0,0.0,0.0
risk_pct,series,1h,BTC/USDT:USDT,1h,is,lev_3,3.0,0.07776607102049621,0.48201438848920863,0.14517704535776602,139,0.504424778761062,0.20503597122302158,4.647124721130703,3,3.0000000000000004,0.030000000000000002,6.0,0.0,0.0
risk_pct,series,1h,BTC/USDT:USDT,1h,oos,single,1.0,0.08230160590746054,0.4864864864864865,0.05197145781825852,74,0.45652173913043476,0.21621621621621623,9.606781454310514,1,,,,,
risk_pct,series,1h,BTC/USDT:USDT,1h,oos,lev_1,1.0,0.04568533008242266,0.4625,0.061870031624930356,80,0.45652173913043476,0.15625,5.28956623143382,3,1.0,0.02047562663350586,33.0,0.0,0.0
risk_pct,series,1h,BTC/USDT:USDT,1h,oos,lev_2,2.0,0.02719677935638174,0.4625,0.094189287278692,80,0.45652173913043476,0.15625,3.1565430555270315,3,2.0,0.026516355842130405,13.0,0.0,0.0
risk_pct,series,1h,BTC/USDT:USDT,1h,oos,lev_3,3.0,0.016585621833503136,0.4625,0.10336347479569903,80,0.45652173913043476,0.15625,2.1128735294687058,3,3.0,0.030000000000000002,1.0,0.0,0.0
risk_pct,series,4h,BTC/USDT:USDT,4h,is,single,1.0,0.06676951531248142,0.5161290322580645,0.0484912775945914,31,0.44155844155844154,0.2903225806451613,8.042964824848301,1,,,,,
risk_pct,series,4h,BTC/USDT:USDT,4h,is,lev_1,1.0,0.06676951531248142,0.5161290322580645,0.0484912775945914,31,0.44155844155844154,0.2903225806451613,8.042964824848301,1,1.0,0.010000000000000002,1.0,0.0,0.0
