lens,seed,symbol,timeframe,segment,scenario,leverage,total_return,win_rate,max_drawdown,num_trades,fill_rate,mean_r,sharpe,peak_concurrency,max_concurrent_risk_ratio,liquidations
baseline,0,BTC/USDT:USDT,15m,is,single,1.0,0.3374150074488156,0.5260663507109005,0.1114620916588946,422,0.49278091650973005,0.31516587677725116,16.31935556212527,1,,
baseline,0,BTC/USDT:USDT,15m,is,lev_1,1.0,0.3171112327092498,0.5191873589164786,0.1374272883820876,443,0.49278091650973005,0.2979683972911964,14.87416208141899,3,0.023709025637284557,0.0
baseline,0,BTC/USDT:USDT,15m,is,lev_2,2.0,0.4777872592538937,0.519650655021834,0.23307943061035252,458,0.49278091650973005,0.29912663755458513,15.14382419636621,5,0.04092227980940445,0.0
baseline,0,BTC/USDT:USDT,15m,is,lev_3,3.0,0.4799443161925801,0.5184381778741866,0.28497578400770307,461,0.49278091650973005,0.2960954446854664,14.072142750493615,6,0.0556697353261746,0.0
pen_5bp,0,BTC/USDT:USDT,15m,is,single,1.0,0.18259382066857124,0.5012787723785166,0.13691403285365028,391,0.43063402385436284,0.2531969309462916,10.280742110460533,1,,
pen_5bp,0,BTC/USDT:USDT,15m,is,lev_1,1.0,0.152598195375242,0.4951219512195122,0.1730612182773027,410,0.43063402385436284,0.23780487804878048,8.49523969172838,3,0.02388264965720822,0.0
pen_5bp,0,BTC/USDT:USDT,15m,is,lev_2,2.0,0.17257815421503148,0.49411764705882355,0.25917170421039437,425,0.43063402385436284,0.23529411764705882,7.20138357255426,5,0.040922279809404445,0.0
pen_5bp,0,BTC/USDT:USDT,15m,is,lev_3,3.0,0.1290776764995073,0.4929906542056075,0.29930272131951247,428,0.43063402385436284,0.2324766355140187,5.44937552089583,6,0.0556697353261746,0.0
pen_5bp_drop_50,0,BTC/USDT:USDT,15m,is,single,1.0,0.10296336808076266,0.4830917874396135,0.07938277577362743,207,0.21343377275580666,0.20772946859903382,10.930093408894194,1,,
pen_5bp_drop_50,0,BTC/USDT:USDT,15m,is,lev_1,1.0,0.08209006518887309,0.48130841121495327,0.07938277577362692,214,0.21343377275580666,0.20327102803738317,8.731162211424074,3,0.020093327027627676,0.0
pen_5bp_drop_50,0,BTC/USDT:USDT,15m,is,lev_2,2.0,0.04762590531721362,0.4838709677419355,0.11233616688846088,217,0.21343377275580666,0.20967741935483872,4.541214018196408,3,0.030000000000000002,0.0
pen_5bp_drop_50,0,BTC/USDT:USDT,15m,is,lev_3,3.0,0.01720337661503927,0.4838709677419355,0.13340175823364142,217,0.21343377275580666,0.20967741935483872,2.340907450311063,3,0.030000000000000002,0.0
pen_5bp_drop_50,1,BTC/USDT:USDT,15m,is,single,1.0,0.026847482209983717,0.4663677130044843,0.16328414816185619,223,0.22096672944130571,0.16591928251121077,3.3870621145696846,1,,
pen_5bp_drop_50,1,BTC/USDT:USDT,15m,is,lev_1,1.0,0.011310056566970525,0.46551724137931033,0.1876476613986074,232,0.22096672944130571,0.16379310344827586,1.8565067785794316,3,0.020417642935694532,0.0
pen_5bp_drop_50,1,BTC/USDT:USDT,15m,is,lev_2,2.0,-0.044416650743323044,0.46835443037974683,0.27271158626192865,237,0.22096672944130571,0.17088607594936708,-2.051657046136715,3,0.030000000000000002,0.0
pen_5bp_drop_50,1,BTC/USDT:USDT,15m,is,lev_3,3.0,-0.07602779629573198,0.46835443037974683,0.30037390986277523,237,0.22096672944130571,0.17088607594936708,-3.848132898967626,3,0.030000000000000002,0.0
pen_5bp_drop_50,2,BTC/USDT:USDT,15m,is,single,1.0,0.012772226655962005,0.4835680751173709,0.188527962437933,213,0.21343377275580666,0.20892018779342722,2.1090998486769577,1,,
pen_5bp_drop_50,2,BTC/USDT:USDT,15m,is,lev_1,1.0,0.030968264968079348,0.4864864864864865,0.20036958421831763,222,0.21343377275580666,0.21621621621621623,3.8475843639665634,3,0.020672012572107854,0.0
pen_5bp_drop_50,2,BTC/USDT:USDT,15m,is,lev_2,2.0,0.009868048205681953,0.4826086956521739,0.29187852263134245,230,0.21343377275580666,0.20652173913043478,1.7622745656686307,5,0.04096029072728351,0.0
pen_5bp_drop_50,2,BTC/USDT:USDT,15m,is,lev_3,3.0,-0.0036703895107833887,0.4826086956521739,0.31267227013267707,230,0.21343377275580666,0.20652173913043478,0.910372689193597,5,0.049999999999999996,0.0
pen_5bp_drop_50,3,BTC/USDT:USDT,15m,is,single,1.0,0.18106349180061299,0.5194174757281553,0.08886680099742612,206,0.21217827997489014,0.29854368932038833,18.395576669652883,1,,
pen_5bp_drop_50,3,BTC/USDT:USDT,15m,is,lev_1,1.0,0.15779272166208066,0.514018691588785,0.09111885805911539,214,0.21217827997489014,0.2850467289719626,15.814833679415633,2,0.02,0.0
pen_5bp_drop_50,3,BTC/USDT:USDT,15m,is,lev_2,2.0,0.2097289272946411,0.5138888888888888,0.15189864501232364,216,0.21217827997489014,0.2847222222222222,15.307654532476436,3,0.030000000000000002,0.0
