timeframe,segment,feature,n,broke_rate,correlation,p_value,hypothesis_sign,direction_matches,permutations
15m,is,trend_dev,3513,0.5149444918872759,0.0017362729403577943,0.9175,-1,False,2000
15m,is,volume_pctl,3513,0.5149444918872759,-0.05561538112883292,0.001,-1,True,2000
15m,is,vol_balance,3513,0.5149444918872759,0.01938348161266126,0.246,0,False,2000
15m,is,rsi_slope_5_3,3513,0.5149444918872759,-0.0006900004200679499,0.968,-1,True,2000
15m,is,rsi_slope_10_5,3513,0.5149444918872759,0.005776733477007475,0.731,-1,False,2000
15m,is,rsi_slope_14_5,3513,0.5149444918872759,0.013841163435312703,0.3995,-1,False,2000
15m,is,zone_width_atr,3513,0.5149444918872759,0.11313322311828777,0.0,0,False,2000
15m,is,freshness_bars,3513,0.5149444918872759,-0.0315938084475225,0.0585,1,False,2000
15m,is,prior_taps,3513,0.5149444918872759,0.026249420156189453,0.1335,1,True,2000
15m,is,approach_mom,3513,0.5149444918872759,0.010467308168300691,0.539,-1,False,2000
15m,is,tap_rsi,3513,0.5149444918872759,0.006470217661868388,0.6995,-1,False,2000
15m,oos,trend_dev,1750,0.5091428571428571,0.05119538194127696,0.039,-1,False,2000
15m,oos,volume_pctl,1750,0.5091428571428571,-0.00046644476503412383,0.9935,-1,True,2000
15m,oos,vol_balance,1750,0.5091428571428571,0.02968663224613202,0.249,0,False,2000
15m,oos,rsi_slope_5_3,1750,0.5091428571428571,-0.020970975024702722,0.387,-1,True,2000
15m,oos,rsi_slope_10_5,1750,0.5091428571428571,-0.03793943101441622,0.1165,-1,True,2000
15m,oos,rsi_slope_14_5,1750,0.5091428571428571,-0.035377811663117674,0.1575,-1,True,2000
15m,oos,zone_width_atr,1750,0.5091428571428571,0.08704059131255874,0.0,0,False,2000
15m,oos,freshness_bars,1750,0.5091428571428571,-0.04850862280653746,0.042,1,False,2000
15m,oos,prior_taps,1750,0.5091428571428571,0.02305730491973642,0.3385,1,True,2000
15m,oos,approach_mom,1750,0.5091428571428571,-0.02130965371030635,0.386,-1,True,2000
15m,oos,tap_rsi,1750,0.5091428571428571,0.010661781609513516,0.6775,-1,False,2000
1h,is,trend_dev,1004,0.5069721115537849,0.052970891519498756,0.0825,-1,False,2000
1h,is,volume_pctl,1004,0.5069721115537849,-0.05123655174623133,0.1035,-1,True,2000
1h,is,vol_balance,1004,0.5069721115537849,0.009125777737466404,0.776,0,False,2000
1h,is,rsi_slope_5_3,1004,0.5069721115537849,-0.07802420694110783,0.007,-1,True,2000
1h,is,rsi_slope_10_5,1004,0.5069721115537849,0.013726708211723972,0.6445,-1,False,2000
1h,is,rsi_slope_14_5,1004,0.5069721115537849,0.01637935535008089,0.583,-1,False,2000
1h,is,zone_width_atr,1004,0.5069721115537849,0.09584354272492555,0.002,0,False,2000
1h,is,freshness_bars,1004,0.5069721115537849,-0.05928896132094673,0.0545,1,False,2000
1h,is,prior_taps,1004,0.5069721115537849,0.027891099511944687,0.3975,1,True,2000
1h,is,approach_mom,1004,0.5069721115537849,-0.026776558187121588,0.4055,-1,True,2000
1h,is,tap_rsi,1004,0.5069721115537849,0.01181371617481825,0.711,-1,False,2000
1h,oos,trend_dev,560,0.4857142857142857,0.13041296068788139,0.0005,-1,False,2000
1h,oos,volume_pctl,560,0.4857142857142857,0.03383962792205683,0.448,-1,False,2000
1h,oos,vol_balance,560,0.4857142857142857,-0.004699269527116172,0.9135,0,False,2000
1h,oos,rsi_slope_5_3,560,0.4857142857142857,0.007336362007335635,0.863,-1,False,2000
1h,oos,rsi_slope_10_5,560,0.4857142857142857,0.07757359449194519,0.064,-1,False,2000
1h,oos,rsi_slope_14_5,560,0.4857142857142857,0.053028640135727396,0.22,-1,False,2000
1h,oos,zone_width_atr,560,0.4857142857142857,0.14446771154082838,0.001,0,False,2000
1h,oos,freshness_bars,560,0.4857142857142857,-0.1003737460406214,0.0125,1,False,2000
1h,oos,prior_taps,560,0.4857142857142857,0.03329857144822822,0.44,1,True,2000
1h,oos,approach_mom,560,0.4857142857142857,0.05576842515075559,0.181,-1,False,2000
1h,oos,tap_rsi,560,0.4857142857142857,0.08203267714535499,0.044,-1,False,2000
