timeframe,segment,feature,quantile,quantile_rank,axis_min,axis_max,n,broke_rate,mean_r
15m,is,trend_dev,Q1,1,-0.17855565602571388,-0.012921561972299878,1171,0.5004269854824936,0.24893253629376602
15m,is,trend_dev,Q2,2,-0.012910278058309355,-6.161588187225675e-06,1171,0.5678906917164817,0.0802732707087959
15m,is,trend_dev,Q3,3,-4.793215310661125e-06,0.1067183984130069,1171,0.47651579846285225,0.30871050384286935
15m,is,volume_pctl,Q1,1,0.0,0.33209876543209876,1171,0.5499573014517506,0.1251067463706234
15m,is,volume_pctl,Q2,2,0.3324764353041988,0.6654320987654321,1171,0.5072587532023911,0.2318531169940222
15m,is,volume_pctl,Q3,3,0.6658097686375322,1.0,1171,0.48761742100768574,0.28095644748078563
15m,is,vol_balance,Q1,1,0.009629206077506447,0.2277405842851987,1171,0.4987190435525192,0.25320239111870196
15m,is,vol_balance,Q2,2,0.22790578716620352,0.3771415572866506,1171,0.5183603757472246,0.2040990606319385
15m,is,vol_balance,Q3,3,0.3771645896675135,0.9908435972301463,1171,0.5277540563620837,0.18061485909479078
15m,is,rsi_slope_5_3,Q1,1,-24.722422543594213,-5.270779341416684,1171,0.5132365499573015,0.21690862510674638
15m,is,rsi_slope_5_3,Q2,2,-5.268236150005606,-1.6344507234165988,1171,0.53800170794193,0.15499573014517506
15m,is,rsi_slope_5_3,Q3,3,-1.6294824854920407,19.376157219665096,1171,0.4935952177625961,0.2660119555935098
15m,is,rsi_slope_10_5,Q1,1,-20.91692412391518,-4.821661345699191,1171,0.5064047822374039,0.23398804440649018
15m,is,rsi_slope_10_5,Q2,2,-4.800462482995762,-1.0152073919019742,1171,0.5277540563620837,0.18061485909479078
15m,is,rsi_slope_10_5,Q3,3,-1.0149831213537013,14.09409549942518,1171,0.5106746370623398,0.2233134073441503
15m,is,rsi_slope_14_5,Q1,1,-16.811066956606545,-3.873940741737556,1171,0.5055508112724167,0.23612297181895817
15m,is,rsi_slope_14_5,Q2,2,-3.8717179938481365,-0.8625971017286957,1171,0.5183603757472246,0.2040990606319385
15m,is,rsi_slope_14_5,Q3,3,-0.8612970495864474,9.281232251152609,1171,0.5209222886421861,0.19769427839453457
15m,is,zone_width_atr,Q1,1,0.26598840570512144,1.2910314453162133,1171,0.4517506404782237,0.3706233988044407
15m,is,zone_width_atr,Q2,2,1.2915921632093785,2.0423549036274546,1171,0.5081127241673783,0.22971818958155424
15m,is,zone_width_atr,Q3,3,2.0426436865160778,11.253067269860342,1171,0.5849701110162254,0.037574722459436376
15m,is,freshness_bars,Q1,1,1.0,40.0,1179,0.5241730279898219,0.1895674300254453
15m,is,freshness_bars,Q2,2,41.0,161.0,1168,0.5248287671232876,0.1879280821917808
15m,is,freshness_bars,Q3,3,162.0,50986.0,1166,0.4957118353344768,0.2607204116638079
15m,is,prior_taps,Q1,1,0.0,1.0,2575,0.5075728155339806,0.23106796116504855
15m,is,prior_taps,Q2,2,2.0,20.0,938,0.535181236673774,0.16204690831556504
15m,is,approach_mom,Q1,1,-7.023637847839078,-1.9879004738431336,1171,0.502134927412468,0.24466268146883005
15m,is,approach_mom,Q2,2,-1.987334939978818,-0.9301579263035575,1171,0.5431255337318531,0.1421861656703672
15m,is,approach_mom,Q3,3,-0.9272739614432264,5.101267916091963,1171,0.4995730145175064,0.251067463706234
15m,is,tap_rsi,Q1,1,10.914542336293891,35.700402815359155,1171,0.5081127241673783,0.22971818958155424
15m,is,tap_rsi,Q2,2,35.70070949760171,43.08132843116439,1171,0.5269000853970965,0.18274978650725876
15m,is,tap_rsi,Q3,3,43.08638728380123,80.56985732469374,1171,0.5098206660973527,0.22544833475661827
15m,oos,trend_dev,Q1,1,-0.2008798633035952,-0.015894333880421052,584,0.4743150684931507,0.3142123287671233
15m,oos,trend_dev,Q2,2,-0.015887038999491288,-0.0026261781645946503,583,0.5283018867924528,0.1792452830188679
15m,oos,trend_dev,Q3,3,-0.0025678004892095707,0.06232120155535825,583,0.5248713550600344,0.18782161234991424
