symbol,timeframe,segment,arm,definition,num_trades,win_rate,total_return,max_drawdown,fill_rate,eligible_setups,mean_r,sharpe,n_from_15m,n_from_5m,n_from_1m
BTC/USDT:USDT,1h,full,A,none,269,0.5092936802973977,0.2908642935985299,0.10927202625242,0.7809364548494984,598,0.2732342007434944,9.027865741935331,0,0,0
BTC/USDT:USDT,1h,full,B,contained,267,0.5093632958801498,0.2968629139341783,0.1051328313243778,0.7787162162162162,592,0.2734082397003745,9.23484695081154,214,38,15
BTC/USDT:USDT,1h,full,C,contained,160,0.5125,0.0246075463867269,0.0884957930906096,0.6432748538011696,513,0.28125,2.1949000702922508,149,10,1
BTC/USDT:USDT,1h,full,B,proximal_in,269,0.5092936802973977,0.2908642935985299,0.10927202625242,0.7809364548494984,598,0.2732342007434944,9.027865741935331,227,34,8
BTC/USDT:USDT,1h,full,C,proximal_in,173,0.5317919075144508,0.0799106048726984,0.0782883849941085,0.6257088846880907,529,0.3294797687861271,5.68170719127078,164,8,1
BTC/USDT:USDT,1h,full,B,touch,269,0.5092936802973977,0.2908642935985299,0.10927202625242,0.7809364548494984,598,0.2732342007434944,9.027865741935331,251,16,2
BTC/USDT:USDT,1h,full,C,touch,181,0.5082872928176796,0.0446762640151835,0.1131587374506491,0.6951219512195121,492,0.2707182320441988,3.23743804945188,176,5,0
BTC/USDT:USDT,1h,is,A,none,161,0.4782608695652174,0.0303703778901392,0.10927202625242,0.7899408284023669,338,0.1956521739130435,2.1815969796375576,0,0,0
BTC/USDT:USDT,1h,is,B,contained,159,0.4779874213836478,0.0351584882536473,0.1051328313243778,0.786144578313253,332,0.1949685534591195,2.466915269884243,122,28,9
BTC/USDT:USDT,1h,is,C,contained,96,0.5104166666666666,-0.0198974021142312,0.0837040256520907,0.678082191780822,292,0.2760416666666667,-2.2858967682330467,87,8,1
BTC/USDT:USDT,1h,is,B,proximal_in,161,0.4782608695652174,0.0303703778901392,0.10927202625242,0.7899408284023669,338,0.1956521739130435,2.1815969796375576,131,25,5
BTC/USDT:USDT,1h,is,C,proximal_in,107,0.5327102803738317,0.0198675796580229,0.0655019351201863,0.6482084690553745,307,0.3317757009345794,2.6092196593016217,99,7,1
BTC/USDT:USDT,1h,is,B,touch,161,0.4782608695652174,0.0303703778901392,0.10927202625242,0.7899408284023669,338,0.1956521739130435,2.1815969796375576,148,12,1
BTC/USDT:USDT,1h,is,C,touch,106,0.5283018867924528,0.0459046162622196,0.0740503489488287,0.7230215827338129,278,0.320754716981132,5.382062883782316,102,4,0
BTC/USDT:USDT,1h,oos,A,none,91,0.5164835164835165,0.1156296675670306,0.0550342935449677,0.7391304347826086,230,0.2912087912087912,11.080086803800691,0,0,0
BTC/USDT:USDT,1h,oos,B,contained,91,0.5164835164835165,0.1156296675670306,0.0550342935449677,0.7391304347826086,230,0.2912087912087912,11.080086803800691,81,8,2
BTC/USDT:USDT,1h,oos,C,contained,53,0.4339622641509434,-0.0279157913627983,0.0804060661230964,0.5833333333333334,192,0.0849056603773584,-5.8085465548310475,52,1,0
BTC/USDT:USDT,1h,oos,B,proximal_in,91,0.5164835164835165,0.1156296675670306,0.0550342935449677,0.7391304347826086,230,0.2912087912087912,11.080086803800691,85,6,0
BTC/USDT:USDT,1h,oos,C,proximal_in,55,0.4545454545454545,-0.0153953148199194,0.0744654912446708,0.5854922279792746,193,0.1363636363636363,-2.9014240842077506,55,0,0
BTC/USDT:USDT,1h,oos,B,touch,91,0.5164835164835165,0.1156296675670306,0.0550342935449677,0.7391304347826086,230,0.2912087912087912,11.080086803800691,90,1,0
BTC/USDT:USDT,1h,oos,C,touch,59,0.423728813559322,-0.0528822131998194,0.0961046538318683,0.6290322580645161,186,0.059322033898305,-11.310387130651115,59,0,0
ETH/USDT:USDT,1h,full,A,none,288,0.5208333333333334,0.6009402374200259,0.1533692847759471,0.7695852534562212,651,0.3020833333333333,14.186970540544344,0,0,0
ETH/USDT:USDT,1h,full,B,contained,283,0.5229681978798587,0.6144121356971899,0.1445684993083478,0.7679127725856698,642,0.3074204946996466,14.679482653133483,218,53,12
ETH/USDT:USDT,1h,full,C,contained,203,0.5467980295566502,0.3387473318035429,0.0581745926709661,0.650994575045208,553,0.3669950738916256,15.315352955023732,175,27,1
ETH/USDT:USDT,1h,full,B,proximal_in,285,0.5228070175438596,0.6113272695766762,0.1445684993083478,0.7674418604651163,645,0.3070175438596491,14.53620049364018,232,49,4
ETH/USDT:USDT,1h,full,C,proximal_in,212,0.5613207547169812,0.3876182664815189,0.0562579093534386,0.6243386243386243,567,0.4033018867924528,16.374790883878575,185,26,1
ETH/USDT:USDT,1h,full,B,touch,288,0.5208333333333334,0.6009402374200259,0.1533692847759471,0.7688751926040062,649,0.3020833333333333,14.186970540544344,257,30,1
