arm,timeframe,segment,n,corr_raw,corr_controlled,p_controlled,n_strata
default,15m,is,3513,0.11313322311828777,0.11313322311828777,0.0,18
default,15m,oos,1750,0.08704059131255874,0.08704059131255874,0.001,18
default,1h,is,1004,0.09584354272492555,0.09584354272492555,0.003,18
default,1h,oos,560,0.14446771154082838,0.14446771154082838,0.0005,18
atr_1,15m,is,3939,0.11905889483111474,0.11905889483111474,0.0,18
atr_1,15m,oos,1955,0.09237788872082488,0.09237788872082488,0.0,18
atr_1,1h,is,1373,0.08738457614043277,0.08738457614043277,0.0015,18
atr_1,1h,oos,737,0.1584536504938161,0.1584536504938161,0.0,18
atr_1.5,15m,is,4419,0.06730804582401906,0.06730804582401906,0.0,18
atr_1.5,15m,oos,2276,0.08640266437947076,0.08640266437947076,0.0,18
atr_1.5,1h,is,1196,0.07174131918318183,0.07174131918318183,0.0065,18
atr_1.5,1h,oos,695,0.10837520257193756,0.10837520257193756,0.002,18
atr_2,15m,is,4243,0.042547543813089735,0.042547543813089735,0.0035,18
atr_2,15m,oos,2176,0.05304010224656971,0.05304010224656971,0.0155,18
atr_2,1h,is,1037,0.05547320051427586,0.05547320051427586,0.064,18
atr_2,1h,oos,600,0.10830208191223752,0.10830208191223752,0.0045,18
