symbol,timeframe,segment,n_candidates,n_below_guard,frac_below_guard,median_stop_fraction
BTC/USDT:USDT,15m,is,1309,408,0.3116883116883117,0.004452241520039612
BTC/USDT:USDT,15m,oos,695,233,0.33525179856115106,0.004231524204754784
BTC/USDT:USDT,1h,is,267,24,0.0898876404494382,0.008918557939418087
BTC/USDT:USDT,1h,oos,200,20,0.1,0.010339923302552928
ETH/USDT:USDT,15m,is,1254,254,0.2025518341307815,0.005815363121375121
ETH/USDT:USDT,15m,oos,732,117,0.1598360655737705,0.007103176047558861
ETH/USDT:USDT,1h,is,327,17,0.05198776758409786,0.012323392411585771
ETH/USDT:USDT,1h,oos,174,3,0.017241379310344827,0.012569321053161095
SOL/USDT:USDT,15m,is,1297,128,0.09868928296067848,0.007738913227653737
SOL/USDT:USDT,15m,oos,669,92,0.1375186846038864,0.006710207670125513
SOL/USDT:USDT,1h,is,324,8,0.024691358024691357,0.01753070721875353
SOL/USDT:USDT,1h,oos,151,5,0.033112582781456956,0.016402990372897705
BNB/USDT:USDT,15m,is,1184,332,0.28040540540540543,0.004786209649780758
BNB/USDT:USDT,15m,oos,587,170,0.28960817717206133,0.004738598611066341
BNB/USDT:USDT,1h,is,297,22,0.07407407407407407,0.011007941959028282
BNB/USDT:USDT,1h,oos,164,9,0.054878048780487805,0.010618594649207159
XRP/USDT:USDT,15m,is,1211,209,0.17258464079273328,0.006727072404259718
XRP/USDT:USDT,15m,oos,638,122,0.19122257053291536,0.005528614241018151
XRP/USDT:USDT,1h,is,295,8,0.02711864406779661,0.014655377500455655
XRP/USDT:USDT,1h,oos,129,8,0.06201550387596899,0.012835887806818144
TRX/USDT:USDT,15m,is,1029,473,0.45966958211856174,0.0032415041457366264
TRX/USDT:USDT,15m,oos,571,399,0.6987740805604203,0.002179824297917641
TRX/USDT:USDT,1h,is,244,26,0.10655737704918032,0.007723502612610594
TRX/USDT:USDT,1h,oos,129,42,0.32558139534883723,0.004114188128665068
