timeframe,segment,feature,n,broke_rate,correlation,p_value,hypothesis_sign,direction_matches,permutations,arm
15m,is,zone_width_atr,3513,0.5149444918872759,0.11313322311828777,0.0,0,False,2000,default
15m,is,zone_width_pctl,3513,0.5149444918872759,0.05310645249713716,0.0025,0,False,2000,default
15m,is,atr_pctl,3513,0.5149444918872759,-0.033513816620680315,0.0425,0,False,2000,default
15m,oos,zone_width_atr,1750,0.5091428571428571,0.08704059131255874,0.0,0,False,2000,default
15m,oos,zone_width_pctl,1750,0.5091428571428571,0.06395032679836696,0.0125,0,False,2000,default
15m,oos,atr_pctl,1750,0.5091428571428571,-0.03744513923927661,0.154,0,False,2000,default
1h,is,zone_width_atr,1004,0.5069721115537849,0.09584354272492555,0.002,0,False,2000,default
1h,is,zone_width_pctl,1004,0.5069721115537849,0.057479235362649865,0.0705,0,False,2000,default
1h,is,atr_pctl,1004,0.5069721115537849,-0.021663600722774595,0.498,0,False,2000,default
1h,oos,zone_width_atr,560,0.4857142857142857,0.14446771154082838,0.001,0,False,2000,default
1h,oos,zone_width_pctl,560,0.4857142857142857,0.12660661866543135,0.003,0,False,2000,default
1h,oos,atr_pctl,560,0.4857142857142857,-0.06961490032203885,0.0965,0,False,2000,default
15m,is,zone_width_atr,3939,0.5227215029195227,0.11905889483111474,0.0,0,False,2000,atr_1
15m,is,zone_width_pctl,3939,0.5227215029195227,0.08526536010802346,0.0,0,False,2000,atr_1
15m,is,atr_pctl,3939,0.5227215029195227,-0.02602814842139624,0.108,0,False,2000,atr_1
15m,oos,zone_width_atr,1955,0.5115089514066496,0.09237788872082488,0.0,0,False,2000,atr_1
15m,oos,zone_width_pctl,1955,0.5115089514066496,0.09062883463227946,0.0,0,False,2000,atr_1
15m,oos,atr_pctl,1955,0.5115089514066496,-0.0006551762278250316,0.9865,0,False,2000,atr_1
1h,is,zone_width_atr,1373,0.5316824471959214,0.08738457614043277,0.0005,0,False,2000,atr_1
1h,is,zone_width_pctl,1373,0.5316824471959214,0.05380543983087303,0.0515,0,False,2000,atr_1
1h,is,atr_pctl,1373,0.5316824471959214,-0.01694196135825586,0.537,0,False,2000,atr_1
1h,oos,zone_width_atr,737,0.55359565807327,0.1584536504938161,0.0,0,False,2000,atr_1
1h,oos,zone_width_pctl,737,0.55359565807327,0.09861653944240459,0.006,0,False,2000,atr_1
1h,oos,atr_pctl,737,0.55359565807327,-0.10157480495976359,0.003,0,False,2000,atr_1
15m,is,zone_width_atr,4419,0.5548766689296221,0.06730804582401906,0.0,0,False,2000,atr_1.5
15m,is,zone_width_pctl,4419,0.5548766689296221,0.06647785281381911,0.0,0,False,2000,atr_1.5
15m,is,atr_pctl,4419,0.5548766689296221,0.013566107144350392,0.3595,0,False,2000,atr_1.5
15m,oos,zone_width_atr,2276,0.5579964850615114,0.08640266437947076,0.0,0,False,2000,atr_1.5
15m,oos,zone_width_pctl,2276,0.5579964850615114,0.06100498513361295,0.0045,0,False,2000,atr_1.5
15m,oos,atr_pctl,2276,0.5579964850615114,-0.022450669584591278,0.37,0,False,2000,atr_1.5
1h,is,zone_width_atr,1196,0.5593645484949833,0.07174131918318183,0.014,0,False,2000,atr_1.5
1h,is,zone_width_pctl,1196,0.5593645484949833,0.04348908865147742,0.1335,0,False,2000,atr_1.5
1h,is,atr_pctl,1196,0.5593645484949833,0.0042696199693896646,0.891,0,False,2000,atr_1.5
1h,oos,zone_width_atr,695,0.5669064748201439,0.10837520257193756,0.003,0,False,2000,atr_1.5
1h,oos,zone_width_pctl,695,0.5669064748201439,0.08416050848973947,0.0215,0,False,2000,atr_1.5
1h,oos,atr_pctl,695,0.5669064748201439,-0.038295469785186456,0.288,0,False,2000,atr_1.5
15m,is,zone_width_atr,4243,0.5637520622201273,0.042547543813089735,0.0055,0,False,2000,atr_2
15m,is,zone_width_pctl,4243,0.5637520622201273,0.031654442352985555,0.036,0,False,2000,atr_2
15m,is,atr_pctl,4243,0.5637520622201273,0.007746592945172583,0.6225,0,False,2000,atr_2
15m,oos,zone_width_atr,2176,0.5638786764705882,0.05304010224656971,0.016,0,False,2000,atr_2
15m,oos,zone_width_pctl,2176,0.5638786764705882,0.023618538199807342,0.267,0,False,2000,atr_2
15m,oos,atr_pctl,2176,0.5638786764705882,-0.027498433886026734,0.1725,0,False,2000,atr_2
1h,is,zone_width_atr,1037,0.5718418514946962,0.05547320051427586,0.0695,0,False,2000,atr_2
1h,is,zone_width_pctl,1037,0.5718418514946962,0.04223003176173454,0.1865,0,False,2000,atr_2
1h,is,atr_pctl,1037,0.5718418514946962,0.008277011388336612,0.8005,0,False,2000,atr_2
1h,oos,zone_width_atr,600,0.5683333333333334,0.10830208191223752,0.004,0,False,2000,atr_2
1h,oos,zone_width_pctl,600,0.5683333333333334,0.08361109744125118,0.0425,0,False,2000,atr_2
1h,oos,atr_pctl,600,0.5683333333333334,-0.010563004698766781,0.7995,0,False,2000,atr_2
