symbol,timeframe,segment,arm,num_candidates,num_trades,total_return,max_drawdown,win_rate
BTC/USDT:USDT,15m,is,default,1309,533,0.32123133736330345,0.12153758317555309,0.5084427767354597
BTC/USDT:USDT,15m,is,filter_bot3,437,174,0.06299966478539919,0.10625815111707153,0.5229885057471264
BTC/USDT:USDT,15m,oos,default,695,278,0.07054444138163544,0.1423022971810847,0.4892086330935252
BTC/USDT:USDT,15m,oos,filter_bot3,214,71,0.12480135478764805,0.029793964608657852,0.6619718309859155
BTC/USDT:USDT,1h,is,default,267,161,0.030370377890139206,0.10927202625242007,0.4782608695652174
BTC/USDT:USDT,1h,is,filter_bot3,89,67,0.09704561941066203,0.06739847908350485,0.5522388059701493
BTC/USDT:USDT,1h,oos,default,200,108,0.2528158041982888,0.04950191123975053,0.5555555555555556
BTC/USDT:USDT,1h,oos,filter_bot3,51,33,0.08315701179094921,0.02097020328046872,0.6060606060606061
ETH/USDT:USDT,15m,is,default,1254,627,0.036259406162898085,0.33733814246502614,0.48165869218500795
ETH/USDT:USDT,15m,is,filter_bot3,418,217,0.2742830432877223,0.04967983454006444,0.5576036866359447
ETH/USDT:USDT,15m,oos,default,732,356,0.6284126076413837,0.0815829188283647,0.5449438202247191
ETH/USDT:USDT,15m,oos,filter_bot3,220,125,0.12991778311376784,0.05065121759206007,0.584
ETH/USDT:USDT,1h,is,default,327,176,0.1325629166860257,0.1533692847759471,0.48295454545454547
ETH/USDT:USDT,1h,is,filter_bot3,109,79,0.11740754219587288,0.07846909633183081,0.5443037974683544
ETH/USDT:USDT,1h,oos,default,174,112,0.41355523285586004,0.0470599071307712,0.5803571428571429
ETH/USDT:USDT,1h,oos,filter_bot3,76,59,0.4001497659274457,0.028029896063192516,0.6949152542372882
SOL/USDT:USDT,15m,is,default,1297,794,0.9239273300540506,0.15935614549449192,0.5062972292191436
SOL/USDT:USDT,15m,is,filter_bot3,433,319,0.8494280182466988,0.03989509072303588,0.5862068965517241
SOL/USDT:USDT,15m,oos,default,669,374,0.2854433982865305,0.12993830265325645,0.5133689839572193
SOL/USDT:USDT,15m,oos,filter_bot3,205,144,0.23867795751781887,0.036199003635337804,0.5972222222222222
SOL/USDT:USDT,1h,is,default,324,193,0.22582879998250538,0.0712767602786565,0.48704663212435234
SOL/USDT:USDT,1h,is,filter_bot3,108,88,0.062386847744841725,0.06751578167334277,0.48863636363636365
SOL/USDT:USDT,1h,oos,default,151,88,0.08287121717204118,0.0857548586215042,0.48863636363636365
SOL/USDT:USDT,1h,oos,filter_bot3,43,37,0.08101053282352587,0.030975391122845773,0.5675675675675675
BNB/USDT:USDT,15m,is,default,1184,558,0.06760610368099533,0.24812458611373825,0.4731182795698925
BNB/USDT:USDT,15m,is,filter_bot3,395,173,0.043079177799396164,0.05613399193674655,0.49710982658959535
BNB/USDT:USDT,15m,oos,default,587,275,-0.17428282820674085,0.20436357379055967,0.44
BNB/USDT:USDT,15m,oos,filter_bot3,211,93,0.040418223343054706,0.06792962562196503,0.5376344086021505
BNB/USDT:USDT,1h,is,default,297,146,0.16689587371515663,0.09006723966904685,0.4863013698630137
BNB/USDT:USDT,1h,is,filter_bot3,99,66,0.1226752743334131,0.05236637891282538,0.5303030303030303
BNB/USDT:USDT,1h,oos,default,164,103,0.05384128784827881,0.13014785690740951,0.49514563106796117
BNB/USDT:USDT,1h,oos,filter_bot3,51,43,0.10416089028197785,0.053704169324278336,0.5813953488372093
XRP/USDT:USDT,15m,is,default,1211,634,0.3524244479989251,0.11901708702404759,0.48738170347003157
XRP/USDT:USDT,15m,is,filter_bot3,404,252,0.4834911938026391,0.0484584766441488,0.5714285714285714
XRP/USDT:USDT,15m,oos,default,638,338,0.018527623399544245,0.19433895193394535,0.48520710059171596
XRP/USDT:USDT,15m,oos,filter_bot3,212,112,0.08585047207062907,0.07320962083231651,0.5535714285714286
XRP/USDT:USDT,1h,is,default,295,190,0.44591189391961017,0.09006637211674334,0.5263157894736842
XRP/USDT:USDT,1h,is,filter_bot3,99,80,0.1712719001276053,0.042433559000806635,0.5375
XRP/USDT:USDT,1h,oos,default,129,78,0.025855419645589062,0.11100701239154621,0.46153846153846156
XRP/USDT:USDT,1h,oos,filter_bot3,48,38,0.06166545983996384,0.05811923966130328,0.5526315789473685
TRX/USDT:USDT,15m,is,default,1029,367,-0.2314990181537166,0.34454378282361164,0.4250681198910082
TRX/USDT:USDT,15m,is,filter_bot3,343,75,0.01466692770681584,0.05613170772186359,0.49333333333333335
TRX/USDT:USDT,15m,oos,default,571,129,-0.09153865971794731,0.11294678663490809,0.40310077519379844
TRX/USDT:USDT,15m,oos,filter_bot3,183,13,0.00023987798811922402,0.014908266082730551,0.5384615384615384
TRX/USDT:USDT,1h,is,default,244,138,0.07280995016954293,0.047142841361491536,0.4927536231884058
TRX/USDT:USDT,1h,is,filter_bot3,82,62,0.045221811812316264,0.03277346356031192,0.5161290322580645
TRX/USDT:USDT,1h,oos,default,129,71,-0.0396073576978135,0.1238082186154143,0.4647887323943662
TRX/USDT:USDT,1h,oos,filter_bot3,70,35,0.03873504051452856,0.03651114989469889,0.5714285714285714
