timeframe,segment,bucket,below_guard,n,broke_rate
15m,is,<0.2%,True,902,0.40022172949002216
15m,is,0.2~0.3%,True,902,0.49002217294900224
15m,is,0.3~0.5%,False,1581,0.5243516761543326
15m,is,0.5~1%,False,2363,0.5374523910283537
15m,is,1~2%,False,1233,0.5677210056772101
15m,is,>2%,False,303,0.5907590759075908
15m,oos,<0.2%,True,607,0.37397034596375617
15m,oos,0.2~0.3%,True,526,0.5095057034220533
15m,oos,0.3~0.5%,False,855,0.4818713450292398
15m,oos,0.5~1%,False,1113,0.5309973045822103
15m,oos,1~2%,False,630,0.526984126984127
15m,oos,>2%,False,161,0.7267080745341615
1h,is,<0.2%,True,52,0.3076923076923077
1h,is,0.2~0.3%,True,53,0.39622641509433965
1h,is,0.3~0.5%,False,168,0.4226190476190476
1h,is,0.5~1%,False,458,0.5676855895196506
1h,is,1~2%,False,533,0.5103189493433395
1h,is,>2%,False,490,0.5204081632653061
1h,oos,<0.2%,True,28,0.17857142857142858
1h,oos,0.2~0.3%,True,59,0.4745762711864407
1h,oos,0.3~0.5%,False,109,0.47706422018348627
1h,oos,0.5~1%,False,249,0.44176706827309237
1h,oos,1~2%,False,299,0.5250836120401338
1h,oos,>2%,False,203,0.5960591133004927
