symbol,timeframe,segment,arm,num_trades,win_rate,total_return,max_drawdown,fill_rate,mean_r
BTC/USDT:USDT,1h,is,on,161,0.4782608695652174,0.0429367143138713,0.1062350104368111,0.7899408284023669,0.1956521739130435
BTC/USDT:USDT,1h,is,off,167,0.4790419161676646,0.0078907201041623,0.1313527361276045,0.7932960893854749,0.1976047904191616
BTC/USDT:USDT,1h,oos,on,91,0.5164835164835165,0.1204754048213093,0.0541904591289089,0.7391304347826086,0.2912087912087912
BTC/USDT:USDT,1h,oos,off,99,0.5151515151515151,0.1029200077126144,0.0593591122925929,0.7530864197530864,0.2878787878787879
ETH/USDT:USDT,1h,is,on,176,0.4829545454545454,0.1460620067043499,0.1480240691258644,0.7767220902612827,0.2073863636363636
ETH/USDT:USDT,1h,is,off,196,0.5051020408163265,0.2660755500462779,0.106309697297996,0.7965367965367965,0.2627551020408163
ETH/USDT:USDT,1h,oos,on,102,0.5686274509803921,0.3306276937352359,0.0478854616987509,0.7523364485981309,0.4215686274509804
ETH/USDT:USDT,1h,oos,off,104,0.5673076923076923,0.3180816546648095,0.0492505914076815,0.768595041322314,0.4182692307692308
SOL/USDT:USDT,1h,is,on,193,0.4870466321243523,0.2327884207157754,0.0711954148112216,0.8181818181818182,0.2176165803108808
SOL/USDT:USDT,1h,is,off,204,0.4950980392156863,0.283809940889728,0.0715141409007536,0.8317535545023697,0.2377450980392156
SOL/USDT:USDT,1h,oos,on,76,0.4473684210526316,0.0013869185564592,0.0903612784772622,0.7127659574468085,0.1184210526315789
SOL/USDT:USDT,1h,oos,off,83,0.4457831325301205,-0.0118448102951078,0.0894883583068567,0.7285714285714285,0.1144578313253012
BNB/USDT:USDT,1h,is,on,146,0.4863013698630137,0.16009021846012,0.0926446544363194,0.792,0.2157534246575342
BNB/USDT:USDT,1h,is,off,155,0.4967741935483871,0.1747392814112656,0.0802581787719303,0.8099762470308789,0.2419354838709677
BNB/USDT:USDT,1h,oos,on,96,0.46875,-0.0095792063221366,0.1436423862356398,0.8370786516853933,0.171875
BNB/USDT:USDT,1h,oos,off,97,0.4742268041237113,-0.0170197661431566,0.1442750401860295,0.8512820512820513,0.1855670103092783
XRP/USDT:USDT,1h,is,on,190,0.5263157894736842,0.46078592561696,0.089390718388469,0.793010752688172,0.3157894736842105
XRP/USDT:USDT,1h,is,off,204,0.5392156862745098,0.5834910471615287,0.0715546133662379,0.805,0.3480392156862745
XRP/USDT:USDT,1h,oos,on,73,0.410958904109589,-0.0717311551636337,0.13003474368383,0.7161290322580646,0.0273972602739726
XRP/USDT:USDT,1h,oos,off,82,0.4268292682926829,-0.0714707775910559,0.1418066167201728,0.7443181818181818,0.0670731707317073
TRX/USDT:USDT,1h,is,on,138,0.4927536231884058,0.0690915426976269,0.0463746452962181,0.7648902821316614,0.2318840579710145
