lens,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate
baseline,BTC/USDT:USDT,15m,is,default,-1,1495.0,531.0,0.3895838281702823,0.11448409325322606,0.5178907721280602
baseline,BTC/USDT:USDT,15m,is,filter_bot3,-1,499.0,187.0,0.13203242885844646,0.0778661673645309,0.5401069518716578
baseline,BTC/USDT:USDT,15m,is,matched_random,0,499.0,243.0,0.050106470149343295,0.1012366736568545,0.48148148148148145
baseline,BTC/USDT:USDT,15m,is,matched_random,1,499.0,251.0,0.12119181433577342,0.09638039276149474,0.5179282868525896
baseline,BTC/USDT:USDT,15m,is,matched_random,2,499.0,246.0,0.18032161291547547,0.12526005173287635,0.5203252032520326
baseline,BTC/USDT:USDT,15m,is,matched_random,3,499.0,238.0,0.041104836917321516,0.13895752976772743,0.4831932773109244
baseline,BTC/USDT:USDT,15m,is,matched_random,4,499.0,272.0,0.2623527948967048,0.07516662667839494,0.5183823529411765
baseline,BTC/USDT:USDT,15m,is,matched_random,5,499.0,247.0,0.16811015235635823,0.08827275833397627,0.5141700404858299
baseline,BTC/USDT:USDT,15m,is,matched_random,6,499.0,237.0,0.28441835468068477,0.06281205094709669,0.5274261603375527
baseline,BTC/USDT:USDT,15m,is,matched_random,7,499.0,250.0,0.11073132709098608,0.10074302148811166,0.496
baseline,BTC/USDT:USDT,15m,is,matched_random,8,499.0,238.0,0.1447896604077041,0.14332022479000353,0.5168067226890757
baseline,BTC/USDT:USDT,15m,is,matched_random,9,499.0,237.0,0.22761522848906934,0.04312070557841122,0.5527426160337553
baseline,BTC/USDT:USDT,15m,is,matched_random,10,499.0,241.0,0.19591744590517973,0.07775167476845217,0.5311203319502075
baseline,BTC/USDT:USDT,15m,is,matched_random,11,499.0,256.0,0.20299470132631303,0.09653778134314885,0.51171875
baseline,BTC/USDT:USDT,15m,is,matched_random,12,499.0,236.0,0.1717260723673231,0.0919781728149087,0.5296610169491526
baseline,BTC/USDT:USDT,15m,is,matched_random,13,499.0,267.0,0.08281217014896028,0.08301318761857246,0.4943820224719101
baseline,BTC/USDT:USDT,15m,is,matched_random,14,499.0,245.0,0.08697293480666049,0.10595513137723288,0.49795918367346936
baseline,BTC/USDT:USDT,15m,is,matched_random,15,499.0,256.0,0.1419133891639769,0.09779852882302553,0.51953125
baseline,BTC/USDT:USDT,15m,is,matched_random,16,499.0,243.0,0.07017237472641027,0.11646670011959766,0.49794238683127573
baseline,BTC/USDT:USDT,15m,is,matched_random,17,499.0,240.0,0.16165484491076987,0.13800095679671082,0.5333333333333333
baseline,BTC/USDT:USDT,15m,is,matched_random,18,499.0,252.0,0.06312543665323955,0.08542415716771236,0.5158730158730159
baseline,BTC/USDT:USDT,15m,is,matched_random,19,499.0,244.0,0.11095945316819507,0.1118409842523669,0.5040983606557377
baseline,BTC/USDT:USDT,15m,is,matched_random,-1,499.0,246.95,0.14394955377082247,0.09900186554083377,0.5132037896561259
baseline,BTC/USDT:USDT,15m,oos,default,-1,775.0,289.0,-0.07877770909025512,0.16755077832440948,0.4602076124567474
baseline,BTC/USDT:USDT,15m,oos,filter_bot3,-1,239.0,71.0,0.03884573725413684,0.03896530322697671,0.5633802816901409
baseline,BTC/USDT:USDT,15m,oos,matched_random,0,239.0,128.0,-0.005637603713785575,0.12356135606309386,0.46875
baseline,BTC/USDT:USDT,15m,oos,matched_random,1,239.0,123.0,-0.07581261556392638,0.1162719340236538,0.42276422764227645
baseline,BTC/USDT:USDT,15m,oos,matched_random,2,239.0,119.0,-0.14390209245713995,0.16445316489347858,0.42857142857142855
baseline,BTC/USDT:USDT,15m,oos,matched_random,3,239.0,130.0,-0.06726583226214025,0.09203129616776459,0.4307692307692308
baseline,BTC/USDT:USDT,15m,oos,matched_random,4,239.0,120.0,-0.07933570407892712,0.12524392547680382,0.4583333333333333
baseline,BTC/USDT:USDT,15m,oos,matched_random,5,239.0,120.0,-0.06942095140751171,0.13883793878881495,0.43333333333333335
baseline,BTC/USDT:USDT,15m,oos,matched_random,6,239.0,124.0,-0.0716443432194481,0.16104567497732636,0.4032258064516129
baseline,BTC/USDT:USDT,15m,oos,matched_random,7,239.0,121.0,-0.04678772776815458,0.07079383617998994,0.4628099173553719
baseline,BTC/USDT:USDT,15m,oos,matched_random,8,239.0,124.0,-0.06346845758374693,0.10836960827257837,0.4435483870967742
baseline,BTC/USDT:USDT,15m,oos,matched_random,9,239.0,131.0,-0.08657926218302692,0.14108936343965864,0.4198473282442748
baseline,BTC/USDT:USDT,15m,oos,matched_random,10,239.0,131.0,-0.006449156496160321,0.11995539360425525,0.48854961832061067
