symbol,timeframe,segment,arm,fill,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold
BTC/USDT:USDT,1h,is,long_only,baseline,0.0542585491970803,159,159,0,375,-0.0156123423915531,-0.167059067418101,0.1353809807348925,0.155,200,0,2.904079957756246
BTC/USDT:USDT,1h,is,short_only,baseline,0.0865248410485446,166,0,166,459,0.0178956879400567,-0.0896319441243151,0.1638044908465774,0.165,200,0,2.904079957756246
BTC/USDT:USDT,1h,is,both,baseline,0.2260868120164615,299,139,160,834,0.0068941297272087,-0.1889139007548202,0.2072520466935333,0.015,200,0,2.904079957756246
BTC/USDT:USDT,1h,oos,long_only,baseline,0.0874599550898185,86,86,0,252,0.0372846282006193,-0.0687887309391133,0.14031285430774,0.185,200,0,-0.4695280111553433
BTC/USDT:USDT,1h,oos,short_only,baseline,0.0978301627149887,69,0,69,205,0.0296424446968576,-0.0563443212765769,0.1288644382600418,0.07,200,0,-0.4695280111553433
BTC/USDT:USDT,1h,oos,both,baseline,0.2282009943424804,135,71,64,457,0.0714162046031691,-0.0795691796252416,0.2318253146173874,0.035,200,0,-0.4695280111553433
ETH/USDT:USDT,1h,is,long_only,baseline,0.2041532338870665,176,176,0,454,0.0681970887037095,-0.0977057082898967,0.2277322120634997,0.045,200,0,0.5045006747304785
ETH/USDT:USDT,1h,is,short_only,baseline,0.2431401156907999,159,0,159,373,0.0561050604607255,-0.1191087635878171,0.2511135278950726,0.03,200,0,0.5045006747304785
ETH/USDT:USDT,1h,is,both,baseline,0.4184419422795445,306,162,144,827,0.1480039857297317,-0.0908362145250434,0.4110526183435768,0.025,200,0,0.5045006747304785
ETH/USDT:USDT,1h,oos,long_only,baseline,0.3684743347071447,97,97,0,236,0.1515045261905024,0.0366759671767802,0.2956671746394768,0.0,200,0,-0.3776426295974515
ETH/USDT:USDT,1h,oos,short_only,baseline,0.2744937990319831,96,0,96,218,0.1363910251125012,-0.0105270000793661,0.2685919812085151,0.02,200,0,-0.3776426295974515
ETH/USDT:USDT,1h,oos,both,baseline,0.6807764239097996,183,90,93,454,0.2708813753251222,0.0757007229786888,0.5130513262928874,0.0,200,0,-0.3776426295974515
SOL/USDT:USDT,1h,is,long_only,baseline,0.1484904065769091,177,177,0,418,0.0829865086409536,-0.0873869564754422,0.2580594174939237,0.22,200,0,4.691092883155781
