timeframe,segment,feature,axis,excluded_symbol,n,correlation
15m,is,approach_mom,death_vs_rest,BTC/USDT:USDT,4796,0.04306208638914118
15m,is,approach_mom,death_vs_rest,ETH/USDT:USDT,4777,0.043817999897763894
15m,is,approach_mom,death_vs_rest,SOL/USDT:USDT,4512,0.05629611183526629
15m,is,approach_mom,death_vs_rest,BNB/USDT:USDT,4698,0.04490304059135533
15m,is,approach_mom,death_vs_rest,XRP/USDT:USDT,4667,0.04852557836529801
15m,is,approach_mom,death_vs_rest,TRX/USDT:USDT,4830,0.040465310536270276
15m,is,approach_mom,death_vs_rest,DOGE/USDT:USDT,4683,0.04174386126808271
15m,is,approach_mom,death_vs_rest,LINK/USDT:USDT,4615,0.04461591362448691
15m,is,approach_mom,death_vs_rest,LTC/USDT:USDT,4662,0.042960269792074686
15m,oos,approach_mom,death_vs_rest,BTC/USDT:USDT,2393,0.07440266804127067
15m,oos,approach_mom,death_vs_rest,ETH/USDT:USDT,2264,0.06920416572913118
15m,oos,approach_mom,death_vs_rest,SOL/USDT:USDT,2163,0.0844493754103915
15m,oos,approach_mom,death_vs_rest,BNB/USDT:USDT,2380,0.07902601819495782
15m,oos,approach_mom,death_vs_rest,XRP/USDT:USDT,2247,0.07560026720769586
15m,oos,approach_mom,death_vs_rest,TRX/USDT:USDT,2488,0.07795809214308697
15m,oos,approach_mom,death_vs_rest,DOGE/USDT:USDT,2181,0.0733068227414215
15m,oos,approach_mom,death_vs_rest,LINK/USDT:USDT,2195,0.0921413765129658
15m,oos,approach_mom,death_vs_rest,LTC/USDT:USDT,2225,0.07641815586123295
15m,is,freshness_bars,death_vs_rest,BTC/USDT:USDT,4796,-0.02401331180936803
15m,is,freshness_bars,death_vs_rest,ETH/USDT:USDT,4777,-0.02556898155498361
15m,is,freshness_bars,death_vs_rest,SOL/USDT:USDT,4512,-0.030080736640446484
15m,is,freshness_bars,death_vs_rest,BNB/USDT:USDT,4698,-0.024317343138527684
15m,is,freshness_bars,death_vs_rest,XRP/USDT:USDT,4667,-0.024824308150142693
15m,is,freshness_bars,death_vs_rest,TRX/USDT:USDT,4830,-0.026636423410231744
15m,is,freshness_bars,death_vs_rest,DOGE/USDT:USDT,4683,-0.02569389875432894
15m,is,freshness_bars,death_vs_rest,LINK/USDT:USDT,4615,-0.02166422982089099
15m,is,freshness_bars,death_vs_rest,LTC/USDT:USDT,4662,-0.017576635878325805
15m,oos,freshness_bars,death_vs_rest,BTC/USDT:USDT,2393,-0.052401470693020126
15m,oos,freshness_bars,death_vs_rest,ETH/USDT:USDT,2264,-0.054287344101924206
15m,oos,freshness_bars,death_vs_rest,SOL/USDT:USDT,2163,-0.04909969161968874
15m,oos,freshness_bars,death_vs_rest,BNB/USDT:USDT,2380,-0.04804647166145711
15m,oos,freshness_bars,death_vs_rest,XRP/USDT:USDT,2247,-0.056464155582691966
15m,oos,freshness_bars,death_vs_rest,TRX/USDT:USDT,2488,-0.05101144733485078
15m,oos,freshness_bars,death_vs_rest,DOGE/USDT:USDT,2181,-0.0522076445234046
15m,oos,freshness_bars,death_vs_rest,LINK/USDT:USDT,2195,-0.055216610885931806
15m,oos,freshness_bars,death_vs_rest,LTC/USDT:USDT,2225,-0.054093006247834446
15m,is,tap_rsi,death_vs_rest,BTC/USDT:USDT,4796,0.04971943385073929
15m,is,tap_rsi,death_vs_rest,ETH/USDT:USDT,4777,0.05160703359310962
15m,is,tap_rsi,death_vs_rest,SOL/USDT:USDT,4512,0.06512396549147559
15m,is,tap_rsi,death_vs_rest,BNB/USDT:USDT,4698,0.05609752494779559
15m,is,tap_rsi,death_vs_rest,XRP/USDT:USDT,4667,0.059924311237684956
15m,is,tap_rsi,death_vs_rest,TRX/USDT:USDT,4830,0.0576484759439426
15m,is,tap_rsi,death_vs_rest,DOGE/USDT:USDT,4683,0.05855361822766247
15m,is,tap_rsi,death_vs_rest,LINK/USDT:USDT,4615,0.06189882224332201
15m,is,tap_rsi,death_vs_rest,LTC/USDT:USDT,4662,0.05471600194366614
15m,oos,tap_rsi,death_vs_rest,BTC/USDT:USDT,2393,0.09804345632699946
15m,oos,tap_rsi,death_vs_rest,ETH/USDT:USDT,2264,0.09153201369485314
15m,oos,tap_rsi,death_vs_rest,SOL/USDT:USDT,2163,0.10140931360304492
15m,oos,tap_rsi,death_vs_rest,BNB/USDT:USDT,2380,0.10020034383002423
15m,oos,tap_rsi,death_vs_rest,XRP/USDT:USDT,2247,0.11183611893342849
15m,oos,tap_rsi,death_vs_rest,TRX/USDT:USDT,2488,0.09852577238926623
15m,oos,tap_rsi,death_vs_rest,DOGE/USDT:USDT,2181,0.10290940682360537
