symbol,timeframe,segment,arm,fill,combine_obs,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,zones,buy_hold
BTC/USDT:USDT,1h,is,long_only,baseline,False,0.0316491049637084,164,164,0,398,-0.007174754899867,-0.1555831849710281,0.14756874183344,0.295,200,0,507,2.904079957756246
BTC/USDT:USDT,1h,oos,long_only,baseline,False,0.0574113146932812,91,91,0,278,0.0146108446573728,-0.0940786291434398,0.1146056386281508,0.235,200,0,270,-0.4695280111553433
ETH/USDT:USDT,1h,is,long_only,baseline,False,0.3573112967105293,194,194,0,506,0.0642133989144599,-0.1153062535443869,0.2519319165624147,0.0,200,0,498,0.5045006747304785
ETH/USDT:USDT,1h,oos,long_only,baseline,False,0.381826830114038,99,99,0,269,0.1175235416467385,-0.018327424977114,0.2687623733058168,0.0,200,0,259,-0.3776426295974515
SOL/USDT:USDT,1h,is,long_only,baseline,False,0.2380711959746975,188,188,0,454,0.1565985445777255,-0.0495495473527566,0.3473498806302519,0.23,200,0,489,4.691092883155781
SOL/USDT:USDT,1h,oos,long_only,baseline,False,-0.0972434580422514,77,77,0,232,-0.0245071670110304,-0.1379390436568665,0.0969851624002154,0.9,200,0,261,-0.5352087439526967
BNB/USDT:USDT,1h,is,long_only,baseline,False,0.164494325123583,146,146,0,459,0.0555409361705271,-0.1055316109806182,0.2531962974440801,0.115,200,0,477,1.7387059279349089
BNB/USDT:USDT,1h,oos,long_only,baseline,False,-0.0511132456571875,90,90,0,216,-0.0510397127143125,-0.1421875650815225,0.0439213891467901,0.505,200,0,237,-0.1740271531728354
XRP/USDT:USDT,1h,is,long_only,baseline,False,0.5669608952644613,196,196,0,451,0.2195847546092498,0.0175950712960846,0.4701744025808573,0.01,200,0,508,2.7753382690834822
XRP/USDT:USDT,1h,oos,long_only,baseline,False,-0.08180881037049,75,75,0,211,-0.0546391692954675,-0.157315575226164,0.0327082327804588,0.72,200,0,251,-0.6271351387630457
TRX/USDT:USDT,1h,is,long_only,baseline,False,0.0593262900576077,144,144,0,372,0.0470698910827685,-0.0941552496355419,0.1796296422907944,0.42,200,0,450,2.7044954800879553
TRX/USDT:USDT,1h,oos,long_only,baseline,False,-0.0737961219822003,65,65,0,173,-0.0530834782995843,-0.1192702258433766,0.0166466411511046,0.745,200,0,246,0.0743428213331574
BTC/USDT:USDT,15m,is,long_only,baseline,False,0.3895838281702823,531,531,0,1936,-0.013645497998088996,-0.18251656512640058,0.15645369842094642,0.0,200,0,2048,2.900357839741186
BTC/USDT:USDT,15m,oos,long_only,baseline,False,-0.05738427538314609,263,263,0,947,-0.11739671066058653,-0.22784918801065004,0.020979334974541235,0.17,200,0,1046,-0.46876948255955997
ETH/USDT:USDT,15m,is,long_only,baseline,False,-0.03258072592161243,653,653,0,1863,-0.1498703221518511,-0.35247828843143997,0.09584514880995738,0.16,200,0,2036,0.5135007458975633
ETH/USDT:USDT,15m,oos,long_only,baseline,False,0.4695958862586134,370,370,0,1124,0.15185703523557842,-0.07850588482827771,0.37537489688452624,0.0,200,0,1069,-0.37563719922875793
SOL/USDT:USDT,15m,is,long_only,baseline,False,0.8813857934774747,802,802,0,1888,-0.12041965161477977,-0.3622329992550463,0.12030176453955664,0.0,200,0,2003,5.425963644748473
SOL/USDT:USDT,15m,oos,long_only,baseline,False,0.30642565557413765,379,379,0,963,0.04308201565108411,-0.13948763155647156,0.22861563101310822,0.005,200,0,1015,-0.5328090292369574
BNB/USDT:USDT,15m,is,long_only,baseline,False,-0.11313410260916626,560,560,0,1676,-0.20997698706200565,-0.3581143479866774,-0.003087991804676858,0.145,200,0,1980,1.7524629103228069
BNB/USDT:USDT,15m,oos,long_only,baseline,False,-0.1297496248694055,275,275,0,880,-0.2548055240045426,-0.34750341329721934,-0.12870388571899438,0.035,200,0,1073,-0.17551263169819864
XRP/USDT:USDT,15m,is,long_only,baseline,False,0.3333129904481464,664,664,0,1777,-0.10478900448731478,-0.316656784397884,0.1246797345470437,0.0,200,0,1937,2.605949768349183
XRP/USDT:USDT,15m,oos,long_only,baseline,False,-0.003648002761549287,355,355,0,1017,-0.07946778614594147,-0.21469196033247825,0.11116899264293316,0.165,200,0,1024,-0.6218819125404118
TRX/USDT:USDT,15m,is,long_only,baseline,False,-0.2633916458751035,376,376,0,1558,-0.1782292157158604,-0.2946915360774846,-0.061940186366099076,0.935,200,0,1864,2.727719729563614
TRX/USDT:USDT,15m,oos,long_only,baseline,False,-0.11494548902504066,116,116,0,822,-0.04825325414169393,-0.09923920007103497,0.007925157994372057,1.0,200,0,987,0.07622414590629756
