barrier,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate,lens,guard,threshold_fraction,mean_net_r,net_r_win,net_r_loss,cost_r_median,breakeven_win_rate,win_rate_margin,profit_factor,cap_hit_rate,effective_risk_mean,guard_reject_rate
zone,BTC/USDT:USDT,1h,is,default,-1,286.0,162.0,0.0452481728732314,0.134116583939256,0.4938271604938271,baseline,0.003,0.3333333333333333,0.0750744835809707,1.3271491073623614,-1.1464617347423371,0.1402391536352589,0.4560956614541036,0.0377314990397235,1.058280562505599,0.5864197530864198,0.0077124893990967,0.0734265734265734
zone,BTC/USDT:USDT,1h,is,filter_bot3,-1,96.0,71.0,0.1791053591254611,0.0416301745818838,0.6197183098591549,baseline,0.003,0.3333333333333333,0.3419234394803627,1.2971657349796752,-1.2147677087407391,0.2042220711291408,0.4816888284516564,0.1380294814074985,1.8285323036574277,0.8873239436619719,0.0061238117086386,0.1770833333333333
zone,BTC/USDT:USDT,1h,is,matched_random,0,96.0,75.0,-0.080937245972838,0.109797889194361,0.4133333333333333,baseline,0.003,0.3333333333333333,-0.1236280138875196,1.3361671803213515,-1.1521200825346791,0.1361579161996836,0.4544631664798735,-0.0411298331465401,0.7853747838151471,0.56,0.0077915966330614,0.09375
zone,BTC/USDT:USDT,1h,is,matched_random,1,96.0,69.0,-0.0210223916850252,0.0879411969684111,0.463768115942029,baseline,0.003,0.3333333333333333,0.0002797409821697,1.3269235186368882,-1.1470878505029922,0.137259256044712,0.4549037024178848,0.0088644135241441,0.938385397648833,0.5507246376811594,0.0078153994707246,0.0625
zone,BTC/USDT:USDT,1h,is,matched_random,2,96.0,74.0,-0.0585069809801292,0.135905109589192,0.3918918918918919,baseline,0.003,0.3333333333333333,-0.1709577775500713,1.3610497244444355,-1.1582515010576424,0.1310876290519725,0.452435051620789,-0.0605431597288971,0.8512640167751745,0.5540540540540541,0.0080582662668727,0.0416666666666666
zone,BTC/USDT:USDT,1h,is,matched_random,3,96.0,67.0,0.0054710225226725,0.1010397109345369,0.4776119402985074,baseline,0.003,0.3333333333333333,0.037177963748994,1.3335967424765631,-1.1481192053733549,0.1455203446107805,0.4582081378443122,0.0194038024541952,1.0172538504691555,0.6268656716417911,0.007798761038678,0.0833333333333333
zone,BTC/USDT:USDT,1h,is,matched_random,4,96.0,75.0,-0.0919762088145462,0.1173397072387638,0.4133333333333333,baseline,0.003,0.3333333333333333,-0.1192238648854465,1.3322098840284942,-1.141824915256632,0.1302166647003103,0.4520866658801241,-0.0387533325467907,0.7657995849719365,0.56,0.0078644968208362,0.0729166666666666
zone,BTC/USDT:USDT,1h,is,matched_random,5,96.0,71.0,0.086808749180501,0.0430592529035147,0.5211267605633803,baseline,0.003,0.3333333333333333,0.1438214715903324,1.3354083418079268,-1.1529054165876378,0.1426488910987647,0.4570595564395058,0.0640672041238744,1.2778343110051542,0.5915492957746479,0.0077376772333085,0.0833333333333333
zone,BTC/USDT:USDT,1h,is,matched_random,6,96.0,71.0,-0.0166168361415793,0.0998542662835917,0.4507042253521127,baseline,0.003,0.3333333333333333,-0.0236229102116807,1.3330249504632885,-1.1367698728167837,0.1320815513991899,0.452832620559676,-0.0021283952075633,0.9526068281950116,0.5915492957746479,0.0080132011239062,0.09375
zone,BTC/USDT:USDT,1h,is,matched_random,7,96.0,71.0,-0.0496820619268941,0.1012345429209122,0.4366197183098591,baseline,0.003,0.3333333333333333,-0.0758709550307941,1.3185241085889694,-1.1565271293361108,0.1457710792100769,0.4583084316840307,-0.0216887133741716,0.856239153577842,0.647887323943662,0.0074965443950683,0.1145833333333333
zone,BTC/USDT:USDT,1h,is,matched_random,8,96.0,67.0,0.0194450907349732,0.0678028412762685,0.4776119402985074,baseline,0.003,0.3333333333333333,0.0317048158863517,1.333308837015729,-1.158333146289079,0.1378294161717531,0.4551317664687013,0.0224801738298061,1.063574504961634,0.6119402985074627,0.0077096590902752,0.0729166666666666
zone,BTC/USDT:USDT,1h,is,matched_random,9,96.0,70.0,-0.100663354974996,0.1009324687216721,0.4,baseline,0.003,0.3333333333333333,-0.1675474424009541,1.3180504698433626,-1.157946050563832,0.1521812057651425,0.460872482306057,-0.060872482306057,0.7150711852389546,0.6571428571428571,0.0075003484854792,0.0520833333333333
zone,BTC/USDT:USDT,1h,is,matched_random,10,96.0,65.0,-0.0675458163435325,0.1097842881337111,0.4,baseline,0.003,0.3333333333333333,-0.1494184352898038,1.3507926827118186,-1.149559180624219,0.1156340760687738,0.4462536304275096,-0.0462536304275095,0.8000455641064153,0.5076923076923077,0.008066856075469,0.0833333333333333
zone,BTC/USDT:USDT,1h,is,matched_random,11,96.0,69.0,0.0669788211251832,0.0575748831673463,0.5072463768115942,baseline,0.003,0.3333333333333333,0.1033259852080979,1.3356130363025032,-1.1652048026832014,0.1351466528292148,0.4540586611316859,0.0531877156799082,1.218791030974298,0.6666666666666666,0.0077266939141573,0.1041666666666666
zone,BTC/USDT:USDT,1h,is,matched_random,12,96.0,74.0,0.0670623753233414,0.0433052671180515,0.5135135135135135,baseline,0.003,0.3333333333333333,0.1233803884511527,1.3292127198281034,-1.1494426280022951,0.1406594598246361,0.4562637839298544,0.057249729583659,1.2031847115754186,0.5945945945945946,0.0078255671176822,0.0729166666666666
zone,BTC/USDT:USDT,1h,is,matched_random,13,96.0,66.0,-0.1131143454380375,0.1498673373889657,0.4090909090909091,baseline,0.003,0.3333333333333333,-0.1287399028612776,1.3205865331547106,-1.132119743180039,0.1310876290519725,0.452435051620789,-0.0433441425298799,0.6767087919748038,0.5151515151515151,0.0079747115913265,0.0520833333333333
zone,BTC/USDT:USDT,1h,is,matched_random,14,96.0,73.0,0.0180669405375039,0.1077993595202471,0.4931506849315068,baseline,0.003,0.3333333333333333,0.0691604265291302,1.3237219200836507,-1.151493999632025,0.1455203446107805,0.4582081378443122,0.0349425470871946,1.0512631528618008,0.684931506849315,0.0076691708386413,0.0729166666666666
zone,BTC/USDT:USDT,1h,is,matched_random,15,96.0,76.0,0.0562682435129527,0.0585517094293824,0.5263157894736842,baseline,0.003,0.3333333333333333,0.1547059753966242,1.3223243597539345,-1.142647785000387,0.1440846178547726,0.457633847141909,0.0686819423317751,1.1555669565415312,0.5657894736842105,0.0077787664013868,0.03125
zone,BTC/USDT:USDT,1h,is,matched_random,16,96.0,68.0,-0.0930386569815653,0.1424030194382375,0.4117647058823529,baseline,0.003,0.3333333333333333,-0.1266308072749439,1.3243809294313542,-1.1423390229693526,0.1333265119041351,0.453330604761654,-0.0415658988793011,0.7413865614104229,0.5882352941176471,0.0078878101872171,0.1041666666666666
zone,BTC/USDT:USDT,1h,is,matched_random,17,96.0,78.0,-0.1281156990857607,0.1740643820798062,0.358974358974359,baseline,0.003,0.3333333333333333,-0.2646487297728451,1.3379194188412775,-1.1620868929967538,0.1361246133706011,0.4544498453482404,-0.0954754863738814,0.6921566549632476,0.5897435897435898,0.0077370894591522,0.0520833333333333
zone,BTC/USDT:USDT,1h,is,matched_random,18,96.0,72.0,0.0621130004117512,0.1233382541674829,0.5138888888888888,baseline,0.003,0.3333333333333333,0.1341275839402616,1.336177744557442,-1.1366111572836148,0.1287062519149768,0.4514825007659907,0.0624063881228981,1.1770097341703127,0.5694444444444444,0.0080419634319714,0.0729166666666666
zone,BTC/USDT:USDT,1h,is,matched_random,19,96.0,67.0,0.0177769242845195,0.0844474351543908,0.4925373134328358,baseline,0.003,0.3333333333333333,0.0796683293400663,1.3314357031330104,-1.1352823569883794,0.1378294161717531,0.4551317664687013,0.0374055469641345,1.055916534512868,0.5671641791044776,0.007921519508187,0.0625
zone,BTC/USDT:USDT,1h,is,matched_random,-1,96.0,70.9,-0.0210614215355752,0.1008021460814423,0.4536241900161299,baseline,0.003,0.3333333333333333,-0.0236468079046077,1.3320214402712407,-1.1488336369839505,0.1369436763927001,0.45477747055708,-0.0011532805409501,0.949771665487498,0.5900563503284525,0.0078208049541701,0.0739583333333333
atr,BTC/USDT:USDT,1h,is,default,-1,286.0,189.0,0.150425272828808,0.1377390991292911,0.4814814814814814,baseline,0.003,0.3333333333333333,0.0631048003770154,1.3621876143461435,-1.143186384022889,0.1281091656111785,0.4512436662444714,0.03023781523701,1.142966943752766,0.5873015873015873,0.008347909162071,0.0209790209790209
atr,BTC/USDT:USDT,1h,is,filter_bot3,-1,96.0,77.0,0.2350243142666437,0.0461620338505524,0.5454545454545454,baseline,0.003,0.3333333333333333,0.2366437079243512,1.3895433827039336,-1.1468359018111478,0.1176468477697096,0.4470587391078838,0.0983958063466615,1.638532805093216,0.5194805194805194,0.0087263279816693,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,0,96.0,82.0,-0.0122304903122738,0.0809478097590885,0.4390243902439024,baseline,0.003,0.3333333333333333,-0.0415171352106668,1.3612289017623067,-1.1393183815373418,0.1294756870828163,0.4517902748331265,-0.012765884589224,0.971767195233634,0.6219512195121951,0.0083425311784854,0.0104166666666666
atr,BTC/USDT:USDT,1h,is,matched_random,1,96.0,76.0,0.0350543220295418,0.0755883777622973,0.4736842105263157,baseline,0.003,0.3333333333333333,0.0380609797842684,1.3542760138692396,-1.1465325508922055,0.1337548419620008,0.4535019367848004,0.0201822737415153,1.0930702940751684,0.6052631578947368,0.0081904997680099,0.03125
atr,BTC/USDT:USDT,1h,is,matched_random,2,96.0,80.0,0.0495375673556973,0.0847199883693273,0.4625,baseline,0.003,0.3333333333333333,0.0146648512278022,1.3661030266419978,-1.1482005555239474,0.1241687297159408,0.4496674918863763,0.0128325081136236,1.1164806580915554,0.575,0.0084196515151307,0.0208333333333333
