timeframe,segment,barrier,arm,bucket,n_trades,survival_rate,win_rate,mean_net_r,cost_r_median,breakeven_win_rate,win_rate_margin,cap_hit_rate,effective_risk_mean
1h,is,atr,default,0~0.2%,1,1.0,1.0,0.8971877217932593,0.6028122782067408,0.6411249112826963,0.3588750887173036,1.0,0.0018285426888552
1h,is,atr,default,0.2~0.3%,4,0.25,0.25,-0.7661835360424645,0.3947499221386262,0.5578999688554505,-0.3078999688554504,1.0,0.0027223181771788
1h,is,atr,default,0.3~0.5%,62,0.4838709677419355,0.4838709677419355,-0.0487087970863936,0.2494791934835073,0.4997916773934029,-0.0159207096514674,1.0,0.0041570641190321
1h,is,atr,default,0.5~1%,379,0.4195250659630607,0.4195250659630606,-0.1034042369356956,0.1478326053131345,0.4591330421252538,-0.0396079761621931,1.0,0.0075881902283079
1h,is,atr,default,1~2%,542,0.4501845018450184,0.4501845018450184,0.041878531927148,0.0827936156504855,0.4331174462601942,0.0170670555848242,0.0,0.01
1h,is,atr,default,>2%,178,0.4662921348314607,0.4662921348314606,0.1190019145210641,0.0450907863680072,0.4180363145472029,0.0482558202842577,0.0,0.01
1h,is,atr,filter_bot3,0~0.2%,0,,,,,,,,
1h,is,atr,filter_bot3,0.2~0.3%,2,0.5,0.5,-0.0806653604616215,0.330665360461632,0.5322661441846528,-0.0322661441846527,1.0,0.0028733623847862
1h,is,atr,filter_bot3,0.3~0.5%,16,0.4375,0.4375,-0.1331571324972551,0.2320917598201203,0.4928367039280482,-0.0553367039280481,1.0,0.0043362987355129
1h,is,atr,filter_bot3,0.5~1%,136,0.4485294117647058,0.4485294117647059,-0.026099852641127,0.1421352422628234,0.4568540969051294,-0.0083246851404235,1.0,0.0077846984926971
1h,is,atr,filter_bot3,1~2%,218,0.481651376146789,0.481651376146789,0.1224415004701472,0.0823868661706643,0.4329547464682657,0.0486966296785232,0.0,0.01
1h,is,atr,filter_bot3,>2%,95,0.5052631578947369,0.5052631578947369,0.216907383154969,0.0449860796718296,0.4179944318687319,0.0872687260260049,0.0,0.01
1h,is,atr,matched_random,0~0.2%,1,1.0,1.0,0.8971877217932593,0.6028122782067408,0.6411249112826963,0.3588750887173036,1.0,0.0018285426888552
1h,is,atr,matched_random,0.2~0.3%,4,0.25,0.25,-0.7661835360424645,0.3947499221386262,0.5578999688554505,-0.3078999688554504,1.0,0.0027223181771788
1h,is,atr,matched_random,0.3~0.5%,87,0.5172413793103448,0.5172413793103449,0.0224372676659781,0.2555066167967708,0.5022026467187083,0.0150387325916365,1.0,0.004051568189907
1h,is,atr,matched_random,0.5~1%,433,0.4434180138568129,0.4434180138568129,-0.041951929990302,0.1434896536604488,0.4573958614641795,-0.0139778476073665,1.0,0.0076520968266243
1h,is,atr,matched_random,1~2%,630,0.5,0.5,0.1658819011715346,0.0834164302873068,0.4333665721149227,0.0666334278850772,0.0,0.01
1h,is,atr,matched_random,>2%,226,0.495575221238938,0.495575221238938,0.1919688182968666,0.0473746341728809,0.4189498536691524,0.0766253675697856,0.0,0.01
1h,is,zone,default,0~0.2%,37,0.7837837837837838,0.7027027027027027,0.0636509892714564,0.7750508758952185,0.7100203503580873,-0.0073176476553845,1.0,0.0013785426733053
1h,is,zone,default,0.2~0.3%,35,0.6571428571428571,0.6571428571428571,0.2062751362586574,0.4235577725136142,0.5694231090054457,0.0877197481374114,1.0,0.0025227896261137
1h,is,zone,default,0.3~0.5%,132,0.6060606060606061,0.6060606060606061,0.2400263970368693,0.2695138933438104,0.5078055573375242,0.0982550487230818,1.0,0.0040682939244008
1h,is,zone,default,0.5~1%,321,0.4890965732087228,0.4890965732087227,0.0698896877135464,0.1510532574978951,0.460421302999158,0.0286752702095646,1.0,0.007449610477627
1h,is,zone,default,1~2%,356,0.5084269662921348,0.5084269662921348,0.1861942029853952,0.0865418718294392,0.4346167487317757,0.0738102175603591,0.0,0.01
1h,is,zone,default,>2%,208,0.4567307692307693,0.4567307692307692,0.0960938806064968,0.0438344909228016,0.4175337963691207,0.0391969728616485,0.0,0.01
1h,is,zone,filter_bot3,0~0.2%,27,0.7407407407407407,0.6666666666666666,-0.0048252368255764,0.7131861163762463,0.6852744465504985,-0.0186077798838318,1.0,0.0014304080965547
1h,is,zone,filter_bot3,0.2~0.3%,31,0.6451612903225806,0.6451612903225806,0.181981572551222,0.4235577725136142,0.5694231090054457,0.0757381813171349,1.0,0.0025477847312125
1h,is,zone,filter_bot3,0.3~0.5%,112,0.6071428571428572,0.6071428571428571,0.2422294391491338,0.2698180342441999,0.5079272136976799,0.0992156434451771,1.0,0.0040684967555331
1h,is,zone,filter_bot3,0.5~1%,201,0.5323383084577115,0.5323383084577115,0.1781201405034922,0.1496984041785097,0.4598793616714038,0.0724589467863076,1.0,0.0074601114339487
1h,is,zone,filter_bot3,1~2%,136,0.5882352941176471,0.5882352941176471,0.3815572807583207,0.0909158052489136,0.4363663220995654,0.1518689720180816,0.0,0.01
1h,is,zone,filter_bot3,>2%,15,0.6,0.6,0.4552752727910684,0.0465595997262227,0.418623839890489,0.1813761601095109,0.0,0.01
