symbol,timeframe,threshold_fraction,is_threshold_value,oos_coverage
BTC/USDT:USDT,1h,0.25,1.0730870426257886,0.2311320754716981
BTC/USDT:USDT,1h,0.3333333333333333,1.2795792389867164,0.3254716981132075
BTC/USDT:USDT,1h,0.5,1.5784058360049824,0.4292452830188679
ETH/USDT:USDT,1h,0.25,1.252773736377534,0.2829268292682926
ETH/USDT:USDT,1h,0.3333333333333333,1.3902178156756002,0.3951219512195122
ETH/USDT:USDT,1h,0.5,1.6574216213227788,0.5024390243902439
SOL/USDT:USDT,1h,0.25,1.0825663393333178,0.2208588957055214
SOL/USDT:USDT,1h,0.3333333333333333,1.224775211249704,0.2822085889570552
SOL/USDT:USDT,1h,0.5,1.4502524453182846,0.3496932515337423
BNB/USDT:USDT,1h,0.25,1.2139983786817152,0.301775147928994
BNB/USDT:USDT,1h,0.3333333333333333,1.3569404010684187,0.3491124260355029
BNB/USDT:USDT,1h,0.5,1.6534872089743553,0.4733727810650887
XRP/USDT:USDT,1h,0.25,1.1075056128549663,0.2922077922077922
XRP/USDT:USDT,1h,0.3333333333333333,1.281557577182521,0.4090909090909091
XRP/USDT:USDT,1h,0.5,1.638992486810061,0.577922077922078
TRX/USDT:USDT,1h,0.25,1.2028866587431348,0.4732824427480916
TRX/USDT:USDT,1h,0.3333333333333333,1.3826918555302432,0.5343511450381679
TRX/USDT:USDT,1h,0.5,1.746486913559246,0.6793893129770993
BTC/USDT:USDT,15m,0.25,1.1127040524992675,0.2483574244415243
BTC/USDT:USDT,15m,0.3333333333333333,1.266707359954904,0.3114323258869908
BTC/USDT:USDT,15m,0.5,1.6004113848121129,0.4533508541392904
ETH/USDT:USDT,15m,0.25,1.0987516300745197,0.23357664233576642
ETH/USDT:USDT,15m,0.3333333333333333,1.247598753726088,0.29927007299270075
ETH/USDT:USDT,15m,0.5,1.5807776449848692,0.4732360097323601
SOL/USDT:USDT,15m,0.25,1.0338323505290465,0.20612813370473537
SOL/USDT:USDT,15m,0.3333333333333333,1.1551594492847568,0.2785515320334262
SOL/USDT:USDT,15m,0.5,1.4226057698332402,0.43036211699164345
BNB/USDT:USDT,15m,0.25,1.0921780167423467,0.26456692913385826
BNB/USDT:USDT,15m,0.3333333333333333,1.27593756676564,0.3653543307086614
BNB/USDT:USDT,15m,0.5,1.586050497305173,0.5181102362204725
XRP/USDT:USDT,15m,0.25,1.1229674512286014,0.27111716621253407
XRP/USDT:USDT,15m,0.3333333333333333,1.263758013315538,0.3555858310626703
XRP/USDT:USDT,15m,0.5,1.5873918085258885,0.5354223433242506
TRX/USDT:USDT,15m,0.25,1.1072775120537726,0.2740619902120718
TRX/USDT:USDT,15m,0.3333333333333333,1.2528954634209155,0.3523654159869494
TRX/USDT:USDT,15m,0.5,1.6075104045777022,0.531810766721044
