symbol,timeframe,segment,arm,fill,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold
BTC/USDT:USDT,1h,is,long_only,baseline,0.1719537157828775,74,74,0,163,0.065643714003516,-0.0347636462459955,0.1557881974198766,0.005,200,0,2.904079957756246
BTC/USDT:USDT,1h,is,short_only,baseline,0.029703600200519,82,0,82,208,0.0249481227765592,-0.0531561320849596,0.1202691477737214,0.46,200,0,2.904079957756246
BTC/USDT:USDT,1h,is,both,baseline,0.2067649604100048,156,74,82,371,0.0971683751149957,-0.0358523491520589,0.2435205952535488,0.065,200,0,2.904079957756246
BTC/USDT:USDT,1h,oos,long_only,baseline,-0.0239370427044554,30,30,0,92,0.0033367432247843,-0.055254652560432,0.0673111231332672,0.805,200,0,-0.4695280111553433
BTC/USDT:USDT,1h,oos,short_only,baseline,0.0492666460880445,31,0,31,92,0.0215363810075248,-0.0452607333672445,0.0864243493786727,0.21,200,0,-0.4695280111553433
BTC/USDT:USDT,1h,oos,both,baseline,0.0241503055722752,61,30,31,184,0.0148630916438406,-0.0710587730182438,0.1075737286484009,0.4,200,0,-0.4695280111553433
ETH/USDT:USDT,1h,is,long_only,baseline,0.2447052074812056,79,79,0,172,0.1012886098732427,-0.0046117357921499,0.2093625805931076,0.01,200,0,0.5045006747304785
ETH/USDT:USDT,1h,is,short_only,baseline,0.203387505376073,90,0,90,187,0.0439008605432344,-0.0821240641045191,0.17802360481791,0.015,200,0,0.5045006747304785
ETH/USDT:USDT,1h,is,both,baseline,0.4978626945594158,169,79,90,359,0.1271625197593568,-0.0218849857532479,0.3019085124681483,0.0,200,0,0.5045006747304785
ETH/USDT:USDT,1h,oos,long_only,baseline,0.3131940269187882,43,43,0,86,0.1666999607026214,0.0654095257789225,0.2635399769076983,0.005,200,0,-0.3776426295974515
ETH/USDT:USDT,1h,oos,short_only,baseline,0.067965222300208,45,0,45,92,0.0740124414474441,-0.015341891274488,0.1679832006794556,0.585,200,0,-0.3776426295974515
ETH/USDT:USDT,1h,oos,both,baseline,0.4024455508816296,88,43,45,178,0.2433892693371212,0.1056480372557552,0.3703844430294064,0.01,200,0,-0.3776426295974515
