symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,max_zone_width_atr,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1784070000000,26328,118,0.576271186440678,0.21260412169057855,0.05088037368038523,18.976173651967148,1.5093381937696562,0.4406779661016949,0.6798418972332015,253,172,1.0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1752476400000,17552,74,0.6081081081081081,0.17195371578287758,0.05088037368038523,25.165289826272474,1.7381262909349797,0.5202702702702703,0.6756756756756757,148,100,1.0
BTC/USDT:USDT,1h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784070000000,8776,44,0.5227272727272727,0.03468601648704717,0.039548513331149546,8.96238483645993,1.2203838590690668,0.3068181818181818,0.6857142857142857,105,72,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784070000000,8776,30,0.43333333333333335,-0.023937042704455416,0.06375452959310729,-9.021990156568855,0.8010040058550523,0.08333333333333333,0.6144578313253012,83,51,1.0
ETH/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1784070000000,26328,127,0.6850393700787402,0.6997934770125918,0.041728300303765016,43.284053967007466,2.7350926473443447,0.7125984251968503,0.6666666666666666,246,164,1.0
ETH/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1752476400000,17552,79,0.6329113924050633,0.2447052074812056,0.041728300303765016,28.867298933218326,1.9211080173233905,0.5822784810126582,0.6516129032258065,155,101,1.0
ETH/USDT:USDT,1h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784070000000,8776,48,0.7708333333333334,0.36561931837041683,0.01147664068487082,69.95016138859532,4.306037832203224,0.9270833333333334,0.6923076923076923,91,63,1.0
ETH/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784070000000,8776,43,0.7674418604651163,0.3131940269187882,0.011476640684870735,69.12510592729099,4.284186496902433,0.9186046511627907,0.7037037037037037,81,57,1.0
SOL/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1784070000000,26328,137,0.5109489051094891,0.2449918320083414,0.07808988476747396,13.93387138153165,1.3574947698756932,0.2773722627737226,0.7054263565891473,258,182,1.0
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1752476400000,17552,97,0.5154639175257731,0.18113957671786537,0.07808988476747396,14.753733912300511,1.4000970589569761,0.28865979381443296,0.7616279069767442,172,131,1.0
SOL/USDT:USDT,1h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784070000000,8776,40,0.5,0.05405987281190573,0.03691197030382825,11.72426852464878,1.2745592218828268,0.25,0.5930232558139535,86,51,1.0
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784070000000,8776,32,0.4375,-0.006895791793955505,0.06730743334214717,-1.4397523147215938,0.958965574806581,0.09375,0.56,75,42,1.0
BNB/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1784070000000,26328,105,0.5714285714285714,0.2538248111338813,0.07825526785664362,21.54483543717529,1.6052150167435317,0.42857142857142855,0.7064220183486238,218,154,1.0
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1752476400000,17552,64,0.5625,0.1543075661751507,0.027964636167780263,22.40007528534207,1.6150451034034725,0.40625,0.6575342465753424,146,96,1.0
BNB/USDT:USDT,1h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784070000000,8776,41,0.5853658536585366,0.08621380286753684,0.06731440829536467,19.964477238921955,1.5905791854544231,0.4634146341463415,0.8055555555555556,72,58,1.0
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784070000000,8776,36,0.5277777777777778,0.01769078167386597,0.06731440829536467,5.323120758114872,1.1222451589144697,0.3194444444444444,0.7910447761194029,67,53,1.0
XRP/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1784070000000,26328,134,0.5746268656716418,0.41827498103967553,0.09908367511846806,24.24138997499614,1.6590713741875442,0.43656716417910446,0.6423357664233577,274,176,1.0
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1752476400000,17552,85,0.6,0.3571219775859183,0.034021668171777694,32.38946866577216,1.9968543318428302,0.5,0.6855345911949685,159,109,1.0
XRP/USDT:USDT,1h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784070000000,8776,49,0.5306122448979592,0.0450608010656033,0.09908367511846815,9.167265338074117,1.2212529986651908,0.32653061224489793,0.5826086956521739,115,67,1.0
XRP/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784070000000,8776,46,0.5,0.001071031966310511,0.09908367511846815,0.6598247080702522,1.00525887309166,0.25,0.5818181818181818,110,64,1.0
TRX/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1784070000000,26328,90,0.5777777777777777,0.10882206293177442,0.039979054087469504,14.824833937329835,1.388891986801297,0.4444444444444444,0.7352941176470589,204,150,1.0
TRX/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1752476400000,17552,57,0.5789473684210527,0.07831822478818468,0.039979054087469504,15.621501135090524,1.414000808570888,0.4473684210526316,0.7256637168141593,113,82,1.0
TRX/USDT:USDT,1h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784070000000,8776,33,0.5757575757575758,0.028288345167848637,0.030636123528407,13.198373149762386,1.3364943951050303,0.4393939393939394,0.7472527472527473,91,68,1.0
TRX/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784070000000,8776,31,0.5483870967741935,0.017252009645807448,0.03104703125455931,8.616786834284207,1.2066566139897388,0.3709677419354839,0.7529411764705882,85,64,1.0
