symbol,timeframe,segment,num_candidates,num_trades,win_rate,total_return,max_drawdown,engine_total_return,engine_num_trades
BTC/USDT:USDT,15m,full,761,267,0.550561797752809,0.19833918585373614,0.07786616736453092,0.19833918585373614,267.0
BTC/USDT:USDT,15m,is,518,193,0.5440414507772021,0.14718666894722737,0.07786616736453092,,
BTC/USDT:USDT,15m,oos,226,61,0.5573770491803278,0.015894403381469965,0.039948527454788815,,
BTC/USDT:USDT,15m,oos_warm,243,74,0.5675675675675675,0.04458953219309224,0.03896530322697696,,
BTC/USDT:USDT,1h,full,172,118,0.576271186440678,0.21260412169057855,0.05088037368038523,0.21260412169057855,118.0
BTC/USDT:USDT,1h,is,100,74,0.6081081081081081,0.17195371578287758,0.05088037368038523,,
BTC/USDT:USDT,1h,oos,51,30,0.43333333333333335,-0.023937042704455416,0.06375452959310729,,
BTC/USDT:USDT,1h,oos_warm,72,44,0.5227272727272727,0.03468601648704717,0.039548513331149546,,
ETH/USDT:USDT,15m,full,778,396,0.547979797979798,0.35107876067799737,0.06716887238616706,0.35107876067799737,396.0
ETH/USDT:USDT,15m,is,502,249,0.5461847389558233,0.23863109400441118,0.06716887238616706,,
ETH/USDT:USDT,15m,oos,266,139,0.5467625899280576,0.06718849207587227,0.06587582894412711,,
ETH/USDT:USDT,15m,oos_warm,276,147,0.5510204081632653,0.09078382354349797,0.06320855804134477,,
ETH/USDT:USDT,1h,full,164,127,0.6850393700787402,0.6997934770125918,0.041728300303765016,0.6997934770125918,127.0
ETH/USDT:USDT,1h,is,101,79,0.6329113924050633,0.2447052074812056,0.041728300303765016,,
ETH/USDT:USDT,1h,oos,57,43,0.7674418604651163,0.3131940269187882,0.011476640684870735,,
ETH/USDT:USDT,1h,oos_warm,63,48,0.7708333333333334,0.36561931837041683,0.01147664068487082,,
SOL/USDT:USDT,15m,full,878,616,0.5844155844155844,1.805419606361997,0.06398279890061943,1.805419606361997,616.0
SOL/USDT:USDT,15m,is,599,425,0.5647058823529412,0.9153052328099762,0.06398279890061943,,
SOL/USDT:USDT,15m,oos,266,178,0.6123595505617978,0.32535311191140026,0.03301924323839759,,
SOL/USDT:USDT,15m,oos_warm,279,191,0.6282722513089005,0.4647376085565849,0.0330192432383976,,
SOL/USDT:USDT,1h,full,182,137,0.5109489051094891,0.2449918320083414,0.07808988476747396,0.2449918320083414,137.0
SOL/USDT:USDT,1h,is,131,97,0.5154639175257731,0.18113957671786537,0.07808988476747396,,
SOL/USDT:USDT,1h,oos,42,32,0.4375,-0.006895791793955505,0.06730743334214717,,
SOL/USDT:USDT,1h,oos_warm,51,40,0.5,0.05405987281190573,0.03691197030382825,,
BNB/USDT:USDT,15m,full,688,280,0.5142857142857142,0.0965532858956769,0.059936589297976434,0.0965532858956769,280.0
BNB/USDT:USDT,15m,is,437,182,0.5,0.038369694498998796,0.059936589297976434,,
BNB/USDT:USDT,15m,oos,244,94,0.5319148936170213,0.03711505471000728,0.047300136837334035,,
BNB/USDT:USDT,15m,oos_warm,251,98,0.5408163265306123,0.05603359930949464,0.047300136837334035,,
BNB/USDT:USDT,1h,full,154,105,0.5714285714285714,0.2538248111338813,0.07825526785664362,0.2538248111338813,105.0
BNB/USDT:USDT,1h,is,96,64,0.5625,0.1543075661751507,0.027964636167780263,,
BNB/USDT:USDT,1h,oos,53,36,0.5277777777777778,0.01769078167386597,0.06731440829536467,,
BNB/USDT:USDT,1h,oos_warm,58,41,0.5853658536585366,0.08621380286753684,0.06731440829536467,,
XRP/USDT:USDT,15m,full,742,425,0.5741176470588235,0.7984134177623684,0.060626162031433596,0.7984134177623684,425.0
XRP/USDT:USDT,15m,is,463,277,0.5703971119133574,0.5088283337718064,0.042375889950464936,,
XRP/USDT:USDT,15m,oos,278,147,0.5782312925170068,0.17512161533245435,0.06062616203143372,,
XRP/USDT:USDT,15m,oos_warm,279,148,0.581081081081081,0.19192712484835847,0.06062616203143351,,
XRP/USDT:USDT,1h,full,176,134,0.5746268656716418,0.41827498103967553,0.09908367511846806,0.41827498103967553,134.0
XRP/USDT:USDT,1h,is,109,85,0.6,0.3571219775859183,0.034021668171777694,,
XRP/USDT:USDT,1h,oos,64,46,0.5,0.001071031966310511,0.09908367511846815,,
XRP/USDT:USDT,1h,oos_warm,67,49,0.5306122448979592,0.0450608010656033,0.09908367511846815,,
TRX/USDT:USDT,15m,full,636,105,0.49523809523809526,0.0013940889400151717,0.056527692593964035,0.0013940889400151717,105.0
TRX/USDT:USDT,15m,is,404,87,0.4942528735632184,0.007522512504275073,0.056527692593964035,,
TRX/USDT:USDT,15m,oos,226,16,0.4375,-0.014290732800009573,0.02194741924887512,,
TRX/USDT:USDT,15m,oos_warm,232,18,0.5,-0.006082666628487823,0.01555464420258833,,
TRX/USDT:USDT,1h,full,150,90,0.5777777777777777,0.10882206293177442,0.039979054087469504,0.10882206293177442,90.0
TRX/USDT:USDT,1h,is,82,57,0.5789473684210527,0.07831822478818468,0.039979054087469504,,
TRX/USDT:USDT,1h,oos,64,31,0.5483870967741935,0.017252009645807448,0.03104703125455931,,
TRX/USDT:USDT,1h,oos_warm,68,33,0.5757575757575758,0.028288345167848637,0.030636123528407,,
