scope,arm,sizing_mode,multiple,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional
15m,isolated,risk_pct,1.0,full,,6,2089,0.5444331061218041,0.5418663909152985,0.06435138042911524,,,,,,,
15m,book,risk_pct,1.0,full,,6,1803,0.5590682196339434,5.853392337189764,0.10136148645188504,2.0,0.02,1.0000000000000002,0.0,1709.0,324.0,494.0
15m,book,risk_pct,2.0,full,,6,1798,0.5561735261401557,42.61798915328447,0.19374128229592447,2.0,0.04,2.0000000000000004,0.0,1704.0,320.0,501.0
15m,book,risk_pct,3.0,full,,6,1800,0.5566666666666666,242.09087620760175,0.2777920950078193,2.0,0.06,3.000000000000001,0.0,1706.0,328.0,505.0
15m,book,risk_pct,5.0,full,,6,1792,0.5569196428571429,6182.191398283234,0.42335652555889836,2.0,0.1,5.000000000000001,0.0,1698.0,320.0,509.0
15m,book,fixed_notional,1.0,full,,6,2089,0.5572044040210627,0.4842498889860508,0.02074094048227185,4.0,0.007288490123577364,0.6667885166774327,0.0,0.0,382.0,0.0
15m,book,fixed_notional,2.0,full,,6,2089,0.5572044040210627,1.1938949609475509,0.041109755408063484,4.0,0.014576980247154725,1.3338210899753096,0.0,0.0,382.0,0.0
15m,book,fixed_notional,3.0,full,,6,2089,0.5572044040210627,2.229454953857046,0.06111186472556105,4.0,0.021865470370732092,2.001098255966911,0.0,0.0,382.0,0.0
15m,book,fixed_notional,5.0,full,,6,2089,0.5572044040210627,5.911629618111915,0.1000373818969758,4.0,0.03644245061788681,3.336388518185855,0.0,0.0,382.0,0.0
15m,isolated,risk_pct,1.0,full,BNB,5,1809,0.5504625844890221,0.6309290119192228,0.065234338655343,,,,,,,
15m,book,risk_pct,1.0,full,BNB,5,1591,0.5637963544940289,5.583390273107373,0.10155773732358112,2.0,0.02,1.0000000000000002,0.0,1497.0,295.0,369.0
15m,book,risk_pct,2.0,full,BNB,5,1593,0.5649717514124294,38.84210194781878,0.19501085183280076,2.0,0.04,2.0000000000000004,0.0,1499.0,296.0,354.0
15m,book,risk_pct,3.0,full,BNB,5,1590,0.5635220125786163,228.1395021711955,0.2807222821389526,2.0,0.06,3.000000000000001,0.0,1496.0,296.0,367.0
15m,book,risk_pct,5.0,full,BNB,5,1590,0.5635220125786163,5354.570711654302,0.43047283346413223,3.0,0.1,5.000000000000002,0.0,1496.0,294.0,367.0
15m,book,fixed_notional,1.0,full,BNB,5,1809,0.5638474295190713,0.46008687596616293,0.019996201948384747,4.0,0.0072884901235773635,0.6666666666666666,0.0,0.0,330.0,0.0
15m,book,fixed_notional,2.0,full,BNB,5,1809,0.5638474295190713,1.1240208549591346,0.039743393369945354,4.0,0.01457698024715473,1.333333333333333,0.0,0.0,330.0,0.0
15m,book,fixed_notional,3.0,full,BNB,5,1809,0.5638474295190713,2.0785265084195714,0.059240772850394786,4.0,0.02186547037073209,2.0,0.0,0.0,330.0,0.0
15m,book,fixed_notional,5.0,full,BNB,5,1809,0.5638474295190713,5.396366963907259,0.09748351974034364,4.0,0.03644245061788682,3.333333333333333,0.0,0.0,330.0,0.0
15m,isolated,risk_pct,1.0,full,BTC,5,1822,0.5432073677956031,0.610571831927611,0.06164842304203211,,,,,,,
15m,book,risk_pct,1.0,full,BTC,5,1631,0.5542611894543225,4.624998463690136,0.10188787234114484,2.0,0.02,1.0000000000000002,0.0,1531.0,288.0,326.0
15m,book,risk_pct,2.0,full,BTC,5,1632,0.5551470588235294,27.99256482221528,0.1943222424985234,2.0,0.04,2.0000000000000004,0.0,1532.0,288.0,323.0
15m,book,risk_pct,3.0,full,BTC,5,1630,0.5552147239263804,135.9996473186994,0.2780871043704354,2.0,0.06,3.000000000000001,0.0,1530.0,288.0,325.0
15m,book,risk_pct,5.0,full,BTC,5,1627,0.5531653349723418,2360.5161249403345,0.42246596100429934,2.0,0.10000000000000002,5.000000000000001,0.0,1527.0,288.0,330.0
15m,book,fixed_notional,1.0,full,BTC,5,1822,0.5581778265642151,0.43611275309254527,0.02139999898134272,4.0,0.0072884901235773635,0.6667885166774326,0.0,0.0,322.0,0.0
15m,book,fixed_notional,2.0,full,BTC,5,1822,0.5581778265642151,1.0549899491415726,0.0423815160059094,4.0,0.014576980247154725,1.3338210899753098,0.0,0.0,322.0,0.0
15m,book,fixed_notional,3.0,full,BTC,5,1822,0.5581778265642151,1.9299926359217083,0.06295195310636388,4.0,0.021865470370732092,2.001098255966911,0.0,0.0,322.0,0.0
15m,book,fixed_notional,5.0,full,BTC,5,1822,0.5581778265642151,4.8924895902676795,0.1028886143324571,4.0,0.03644245061788682,3.3363885181858555,0.0,0.0,322.0,0.0
15m,isolated,risk_pct,1.0,full,ETH,5,1693,0.5437237677502054,0.5800239169627587,0.06378788203770488,,,,,,,
15m,book,risk_pct,1.0,full,ETH,5,1513,0.5617977528089888,4.803334267445113,0.09102239564314617,2.0,0.02,1.0000000000000002,0.0,1425.0,271.0,324.0
15m,book,risk_pct,2.0,full,ETH,5,1512,0.5621693121693122,29.8223650966657,0.18337482992586893,2.0,0.04,2.0000000000000004,0.0,1424.0,274.0,324.0
15m,book,risk_pct,3.0,full,ETH,5,1518,0.5592885375494071,153.702230894943,0.25163076385252076,2.0,0.06,3.000000000000001,0.0,1430.0,271.0,323.0
15m,book,risk_pct,5.0,full,ETH,5,1519,0.5622119815668203,2949.9345105131683,0.40262880053138334,2.0,0.1,5.000000000000001,0.0,1431.0,271.0,323.0
15m,book,fixed_notional,1.0,full,ETH,5,1693,0.5593620791494389,0.4064709798572951,0.019672248279645664,3.0,0.0072884901235773635,0.5003417514836581,0.0,0.0,311.0,0.0
15m,book,fixed_notional,2.0,full,ETH,5,1693,0.5593620791494389,0.9715218814710544,0.039030249817877304,3.0,0.014576980247154725,1.0013698147519756,0.0,0.0,311.0,0.0
15m,book,fixed_notional,3.0,full,ETH,5,1693,0.5593620791494389,1.754323885609128,0.05807761051646132,3.0,0.021865470370732092,1.5030884290554662,0.0,0.0,311.0,0.0
15m,book,fixed_notional,5.0,full,ETH,5,1693,0.5593620791494389,4.322052815317174,0.09525475186037911,3.0,0.03644245061788682,2.5086144430601753,0.0,0.0,311.0,0.0
15m,isolated,risk_pct,1.0,full,SOL,5,1473,0.536436610463048,0.2891557478259588,0.0644250967348144,,,,,,,
15m,book,risk_pct,1.0,full,SOL,5,1331,0.5432006010518408,1.7825707556591213,0.09199506728551915,2.0,0.02,1.0000000000000002,0.0,1275.0,252.0,272.0
15m,book,risk_pct,2.0,full,SOL,5,1328,0.5436746987951807,6.288029483349394,0.1779096246084914,2.0,0.04,2.0000000000000004,0.0,1272.0,251.0,276.0
15m,book,risk_pct,3.0,full,SOL,5,1328,0.5414156626506024,16.973176831839833,0.2578502463378522,2.0,0.06,3.000000000000001,0.0,1272.0,247.0,272.0
15m,book,risk_pct,5.0,full,SOL,5,1327,0.5440844009042954,90.34260234024178,0.4052609253296072,2.0,0.1,5.000000000000002,0.0,1271.0,247.0,274.0
15m,book,fixed_notional,1.0,full,SOL,5,1473,0.5458248472505092,0.23650943001815067,0.01564029357345742,3.0,0.0072884901235773635,0.5002788300777404,0.0,0.0,278.0,0.0
