symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,max_zone_width_atr,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
BTC/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1784592000000,2136,15,0.6666666666666666,0.096582413351198,0.0205877821066681,9.752106841622046,2.759630804022891,0.6666666666666666,0.7407407407407407,27,20,0.8646370023419204
BTC/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1723075200000,1424,8,0.625,0.0419028018304688,0.0111609483427029,7.649639171141896,2.289563545314692,0.5625,0.75,16,12,0.7969079409697821
BTC/USDT:USDT,1d,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,7,0.7142857142857143,0.0524805302612347,0.0205877821066681,11.65509465025144,3.441697308109673,0.7857142857142857,0.7272727272727273,11,8,1.0
BTC/USDT:USDT,1d,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,7,0.7142857142857143,0.0524805302612347,0.0205877821066681,11.65509465025144,3.441697308109673,0.7857142857142857,0.7272727272727273,11,8,1.0
ETH/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1784592000000,2136,13,0.7692307692307693,0.1218728859993007,0.0104826014889356,15.516973782459702,4.504258237621108,0.9230769230769232,0.7368421052631579,19,14,0.8646370023419204
ETH/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1723075200000,1424,3,1.0,0.045049545290651,0.0,955.88363067181,,1.5,0.6,5,3,0.7969079409697821
ETH/USDT:USDT,1d,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,10,0.7,0.0735116732549589,0.0104826014889357,11.332307297069208,3.208931234478223,0.75,0.7857142857142857,14,11,1.0
ETH/USDT:USDT,1d,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,6,0.6666666666666666,0.0380390363213178,0.0104826014889356,9.313962396552723,2.746884455283541,0.6666666666666666,0.7777777777777778,9,7,1.0
SOL/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1784592000000,2136,10,0.3,-0.026205329329679,0.0587326233999409,-4.112324512801876,0.626529609016005,-0.25,0.65,20,13,0.8763466042154566
SOL/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1723075200000,1424,6,0.3333333333333333,-0.0107791149428852,0.0297274819265428,-2.577461281434942,0.7344751700108043,-0.1666666666666666,0.8,10,8,0.814476458186929
SOL/USDT:USDT,1d,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,4,0.25,-0.0155943072167377,0.0298938091444553,-5.951848847093676,0.4783432535686032,-0.375,0.5,10,5,1.0
SOL/USDT:USDT,1d,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,3,0.3333333333333333,-0.0054810462668769,0.0199274536782872,-2.3560031658359506,0.724949993342649,-0.1666666666666666,0.4444444444444444,9,4,1.0
BNB/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1784592000000,2136,15,0.6,0.0722786376457426,0.030464151168731,7.185040353977853,2.117077537865398,0.5,0.75,24,18,0.8646370023419204
BNB/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1723075200000,1424,9,0.6666666666666666,0.0584390815730808,0.0200112214552448,9.895110484405649,2.855466662919539,0.6666666666666666,0.75,16,12,0.7969079409697821
BNB/USDT:USDT,1d,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,6,0.5,0.0130754394027981,0.0304641511687307,3.131612752541203,1.4167573617737586,0.25,0.75,8,6,1.0
BNB/USDT:USDT,1d,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,6,0.5,0.0130754394027981,0.0304641511687307,3.131612752541203,1.4167573617737586,0.25,0.75,8,6,1.0
XRP/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1784592000000,2136,10,0.9,0.1292510113735757,0.0105178325657513,29.25925983797501,11.76775537666014,1.25,0.7333333333333333,15,11,0.8646370023419204
XRP/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1723075200000,1424,9,1.0,0.1412545354927933,0.0,1742.689377043174,,1.5,0.8333333333333334,12,10,0.7969079409697821
XRP/USDT:USDT,1d,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,1,0.0,-0.0105178325657514,0.0105178325657514,,0.0,-1.0,0.3333333333333333,3,1,1.0
XRP/USDT:USDT,1d,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,1,0.0,-0.0105178325657514,0.0105178325657514,,0.0,-1.0,0.3333333333333333,3,1,1.0
TRX/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1784592000000,2136,4,0.25,-0.0129090404609913,0.0275458072120133,-5.005236410428698,0.5383100327777169,-0.375,0.5,10,5,0.8646370023419204
TRX/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1723075200000,1424,3,0.3333333333333333,-0.0042635678692939,0.0190285312819854,-1.823223787837192,0.7792605831447255,-0.1666666666666666,0.8,5,4,0.7969079409697821
