universe,scope,arm,leverage_mode,multiple,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional,skipped_sizing
nine,15m,isolated,,1.0,full,,9,7847,0.5699081869272455,3.555110438610807,0.08501916492813232,,,,,,,,
nine,15m,book,combined,1.0,full,,9,6267,0.572363172171693,11984.51903559066,0.1711983678551907,3.0,0.026771207894867505,1.0000000000000002,0.0,5454.0,1161.0,2337.0,3275.0
nine,15m,book,combined,2.0,full,,9,6259,0.5724556638440645,86434673.51970296,0.31800762385832515,3.0,0.053542415789734996,2.0000000000000004,0.0,5447.0,1159.0,2353.0,3269.0
nine,15m,book,combined,3.0,full,,9,6264,0.5731162196679438,421247385415.2397,0.4428394440131862,3.0,0.0803136236846025,3.000000000000001,0.0,5451.0,1160.0,2346.0,3270.0
nine,15m,book,combined,5.0,full,,9,6269,0.5736162067315361,3.5983861455968835e+18,0.6361142322184005,4.0,0.1338560394743375,5.000000000000001,0.0,5457.0,1152.0,2361.0,3258.0
nine,15m,book,cap_only,1.0,full,,9,6267,0.572363172171693,11984.51903559066,0.1711983678551907,3.0,0.026771207894867505,1.0000000000000002,0.0,5454.0,1161.0,2337.0,3275.0
nine,15m,book,cap_only,2.0,full,,9,7548,0.5741918388977213,147737.83009788586,0.16144014054044295,5.0,0.04183050891669715,2.0000000000000004,0.0,6484.0,1437.0,406.0,3649.0
nine,15m,book,cap_only,3.0,full,,9,7792,0.5735369609856262,244141.83461227638,0.17657911332124937,5.0,0.049764185374326295,3.0000000000000004,0.0,6656.0,1472.0,75.0,3701.0
nine,15m,book,cap_only,5.0,full,,9,7847,0.5723206320886963,231650.20707020492,0.18030552847439274,5.0,0.049976751382919675,5.000000000000001,0.0,6697.0,1487.0,0.0,3706.0
nine,15m,isolated,,1.0,full,BNB,8,7078,0.5712507415025141,3.778994739276993,0.08815448688190175,,,,,,,,
nine,15m,book,combined,1.0,full,BNB,8,5784,0.5753803596127247,7900.65152832676,0.15840276660465336,4.0,0.032481088385184556,1.0000000000000002,0.0,4991.0,1092.0,1905.0,2839.0
nine,15m,book,combined,2.0,full,BNB,8,5798,0.5753708175232839,43315065.28751351,0.2969977236234994,4.0,0.06505827980775732,2.0000000000000004,0.0,5004.0,1098.0,1875.0,2849.0
nine,15m,book,combined,3.0,full,BNB,8,5776,0.5756578947368421,156832003405.44586,0.4171569763043344,4.0,0.097733489202768,3.000000000000001,0.0,4982.0,1087.0,1919.0,2838.0
nine,15m,book,combined,5.0,full,BNB,8,5781,0.5749870264660093,5.982610910967293e+17,0.6083134639345247,4.0,0.16338587945303087,5.000000000000002,0.0,4987.0,1089.0,1908.0,2842.0
nine,15m,book,cap_only,1.0,full,BNB,8,5784,0.5753803596127247,7900.65152832676,0.15840276660465336,4.0,0.032481088385184556,1.0000000000000002,0.0,4991.0,1092.0,1905.0,2839.0
nine,15m,book,cap_only,2.0,full,BNB,8,6859,0.5751567283860621,62341.08900850597,0.1544318491076961,4.0,0.04010767363138124,2.0000000000000004,0.0,5845.0,1309.0,305.0,3147.0
nine,15m,book,cap_only,3.0,full,BNB,8,7047,0.5744288349652334,90467.46633104305,0.16203425842676694,5.0,0.0497641853743263,3.0000000000000004,0.0,5981.0,1337.0,42.0,3194.0
nine,15m,book,cap_only,5.0,full,BNB,8,7078,0.5737496467928793,85584.65042821689,0.16200907696007785,5.0,0.049965907168059945,5.0,0.0,6004.0,1346.0,0.0,3196.0
nine,15m,isolated,,1.0,full,BTC,8,7189,0.5693381996548533,3.821182391406377,0.08591328962358244,,,,,,,,
nine,15m,book,combined,1.0,full,BTC,8,5900,0.5727118644067797,8036.397790599761,0.16057336006113956,3.0,0.026771207894867508,1.0000000000000002,0.0,5081.0,1089.0,1853.0,2753.0
nine,15m,book,combined,2.0,full,BTC,8,5896,0.5734396200814111,43958412.76498016,0.3003843744501063,3.0,0.05354241578973501,2.0000000000000004,0.0,5077.0,1086.0,1871.0,2742.0
nine,15m,book,combined,3.0,full,BTC,8,5892,0.5736591989137814,159454550173.61682,0.42106988556185737,3.0,0.08031362368460251,3.000000000000001,0.0,5073.0,1085.0,1874.0,2744.0
nine,15m,book,combined,5.0,full,BTC,8,5900,0.5733898305084746,6.394782444927279e+17,0.6120234786520553,3.0,0.13385603947433752,5.000000000000002,0.0,5081.0,1084.0,1863.0,2748.0
nine,15m,book,cap_only,1.0,full,BTC,8,5900,0.5727118644067797,8036.397790599761,0.16057336006113956,3.0,0.026771207894867508,1.0000000000000002,0.0,5081.0,1089.0,1853.0,2753.0
nine,15m,book,cap_only,2.0,full,BTC,8,6973,0.5733543668435394,73703.28921038912,0.17531412306662195,5.0,0.04183050891669716,2.0000000000000004,0.0,5933.0,1300.0,285.0,3037.0
nine,15m,book,cap_only,3.0,full,BTC,8,7159,0.5727056851515575,98422.26252308788,0.19453467275453315,5.0,0.04976418537432631,3.0000000000000004,0.0,6064.0,1330.0,44.0,3062.0
nine,15m,book,cap_only,5.0,full,BTC,8,7189,0.5721240784531924,97130.51359344128,0.19453467275453337,5.0,0.04997675138291968,5.000000000000001,0.0,6082.0,1340.0,0.0,3066.0
nine,15m,isolated,,1.0,full,DOGE,8,6864,0.5667570866919305,3.1614934179737433,0.08766022058315763,,,,,,,,
nine,15m,book,combined,1.0,full,DOGE,8,5595,0.5694369973190349,2891.734537590371,0.1299768038134026,3.0,0.026611454271879702,1.0000000000000002,0.0,4889.0,1033.0,1889.0,3125.0
nine,15m,book,combined,2.0,full,DOGE,8,5592,0.5693848354792561,5552052.786390366,0.24475755402363536,3.0,0.053222908543759405,2.0000000000000004,0.0,4886.0,1022.0,1915.0,3113.0
nine,15m,book,combined,3.0,full,DOGE,8,5594,0.5702538434036467,7393521861.65075,0.34642169999524497,3.0,0.07983436281563912,3.000000000000001,0.0,4888.0,1030.0,1901.0,3117.0
nine,15m,book,combined,5.0,full,DOGE,8,5586,0.5694593626924453,4357903311329103.0,0.5239496542159576,3.0,0.13305727135939852,5.000000000000002,0.0,4880.0,1016.0,1934.0,3106.0
nine,15m,book,cap_only,1.0,full,DOGE,8,5595,0.5694369973190349,2891.734537590371,0.1299768038134026,3.0,0.026611454271879702,1.0000000000000002,0.0,4889.0,1033.0,1889.0,3125.0
nine,15m,book,cap_only,2.0,full,DOGE,8,6644,0.5705900060204696,21455.841208637437,0.13813255324581625,4.0,0.04,2.0000000000000004,0.0,5726.0,1254.0,303.0,3441.0
nine,15m,book,cap_only,3.0,full,DOGE,8,6832,0.5698185011709602,30888.55837267617,0.14326371765263374,5.0,0.04976418537432631,3.0000000000000004,0.0,5859.0,1288.0,44.0,3478.0
nine,15m,book,cap_only,5.0,full,DOGE,8,6864,0.5690559440559441,30717.66034485904,0.14331114955217714,5.0,0.04997675138291968,5.0,0.0,5880.0,1296.0,0.0,3482.0
nine,15m,isolated,,1.0,full,ETH,8,7041,0.5693414993750371,3.695510287689323,0.08725045149587798,,,,,,,,
nine,15m,book,combined,1.0,full,ETH,8,5780,0.5730103806228374,6491.558543062364,0.17127863412934816,3.0,0.026771207894867505,1.0000000000000002,0.0,4997.0,1077.0,1877.0,2933.0
nine,15m,book,combined,2.0,full,ETH,8,5781,0.5730842414807127,28822767.646916285,0.3175681525145949,3.0,0.053542415789735,2.0000000000000004,0.0,4998.0,1081.0,1862.0,2943.0
nine,15m,book,combined,3.0,full,ETH,8,5766,0.5730142212972598,80303432372.00372,0.44160050447032356,3.0,0.0803136236846025,3.000000000000001,0.0,4983.0,1078.0,1891.0,2932.0
nine,15m,book,combined,5.0,full,ETH,8,5772,0.5727650727650727,2.271604130122972e+17,0.6332363768195565,3.0,0.13385603947433752,5.000000000000002,0.0,4990.0,1076.0,1869.0,2950.0
nine,15m,book,cap_only,1.0,full,ETH,8,5780,0.5730103806228374,6491.558543062364,0.17127863412934816,3.0,0.026771207894867505,1.0000000000000002,0.0,4997.0,1077.0,1877.0,2933.0
nine,15m,book,cap_only,2.0,full,ETH,8,6846,0.5742039146947122,54791.57629868009,0.15253152394924885,5.0,0.041831312294125796,2.0000000000000004,0.0,5840.0,1297.0,286.0,3238.0
nine,15m,book,cap_only,3.0,full,ETH,8,7009,0.5728349265230418,70571.65739485015,0.15312360220709575,5.0,0.049764185374326295,3.0000000000000004,0.0,5943.0,1330.0,45.0,3283.0
nine,15m,book,cap_only,5.0,full,ETH,8,7041,0.5720778298537139,69128.88475358322,0.15692801115969135,5.0,0.049764185374326295,5.0,0.0,5969.0,1341.0,0.0,3285.0
nine,15m,isolated,,1.0,full,LINK,8,6810,0.5700280989141735,3.442976487216086,0.08561522023570195,,,,,,,,
