scope,leverage_mode,multiple,segment,month,monthly_return,equity_end,num_exits
15m,combined,1.0,full,2020-09,0.02404698754084067,10240.469875408407,42
15m,combined,1.0,full,2020-10,0.10443842912095813,11309.968462656556,76
15m,combined,1.0,full,2020-11,0.36496538709381343,15437.715480648827,104
15m,combined,1.0,full,2020-12,0.4554588925215064,22468.960276527258,121
15m,combined,1.0,full,2021-01,0.6689317811339717,37499.16189453309,161
15m,combined,1.0,full,2021-02,0.3016417691011377,48810.475428210026,98
15m,combined,1.0,full,2021-03,0.12296922697617019,54812.66185995636,85
15m,combined,1.0,full,2021-04,0.43197656311419896,78490.44714536105,138
15m,combined,1.0,full,2021-05,0.6217268945310082,127290.0690993966,149
15m,combined,1.0,full,2021-06,0.2893102410088999,164116.38966858256,128
15m,combined,1.0,full,2021-07,0.02607184741041979,168395.20713757083,91
15m,combined,1.0,full,2021-08,0.23541297830422625,208037.62438198348,103
15m,combined,1.0,full,2021-09,0.21566266158638125,252903.5721663099,112
15m,combined,1.0,full,2021-10,0.1745905290551466,297058.1406307624,105
15m,combined,1.0,full,2021-11,0.2076423394235709,358739.98789615004,122
15m,combined,1.0,full,2021-12,0.32848154368571914,476579.4529020736,140
15m,combined,1.0,full,2022-01,0.26195966235511836,601424.0454696879,141
15m,combined,1.0,full,2022-02,0.04433369185090941,628087.3937732683,91
15m,combined,1.0,full,2022-03,0.21502366738487733,763141.0486206061,81
15m,combined,1.0,full,2022-04,0.03976361445085952,793486.2950495805,110
15m,combined,1.0,full,2022-05,0.16797382321513932,926771.2216978746,109
15m,combined,1.0,full,2022-06,0.15552109245312673,1070903.694550447,145
15m,combined,1.0,full,2022-07,0.30528999668826784,1397839.8799132067,95
15m,combined,1.0,full,2022-08,0.04036098149288225,1454258.0694363962,99
15m,combined,1.0,full,2022-09,0.050970442786727244,1528382.2471617404,93
15m,combined,1.0,full,2022-10,0.1469710964355473,1753010.261799727,55
15m,combined,1.0,full,2022-11,0.567588356187307,2747998.474674115,116
15m,combined,1.0,full,2022-12,0.02788034306193965,2824613.614881716,58
15m,combined,1.0,full,2023-01,0.16255420059972536,3283766.423051914,43
15m,combined,1.0,full,2023-02,0.09393581649954386,3592229.7031950825,63
15m,combined,1.0,full,2023-03,0.16390127474880245,4181000.7307392685,87
15m,combined,1.0,full,2023-04,0.23208029717073808,5151328.622800311,79
15m,combined,1.0,full,2023-05,0.03193121064603632,5315816.782161904,36
15m,combined,1.0,full,2023-06,0.12584179712295152,5984768.719205503,69
15m,combined,1.0,full,2023-07,0.25826554009342684,7530428.244805359,65
15m,combined,1.0,full,2023-08,0.015267441856102515,7645398.620184477,37
15m,combined,1.0,full,2023-09,0.03945734746601448,7947065.770057284,28
15m,combined,1.0,full,2023-10,0.048356065964537454,8331354.606658692,54
15m,combined,1.0,full,2023-11,0.14958269622944775,9577581.09196633,72
15m,combined,1.0,full,2023-12,0.1608926308845644,11118543.31136305,77
15m,combined,1.0,full,2024-01,0.11268850697776678,12371475.356888188,78
15m,combined,1.0,full,2024-02,0.3050744590476411,16145696.509012075,67
15m,combined,1.0,full,2024-03,0.16342843887555558,18784362.484038427,92
15m,combined,1.0,full,2024-04,-0.04968463315424654,17851068.324982587,106
15m,combined,1.0,full,2024-05,0.019647103616595052,18201790.11403044,78
15m,combined,1.0,full,2024-06,0.02933032827721238,18735654.59330787,56
15m,combined,1.0,full,2024-07,0.15247226148209014,21592322.21949683,95
15m,combined,1.0,full,2024-08,-0.10924744064100422,19233416.279520914,117
15m,combined,1.0,full,2024-09,-0.007908253757555439,19081313.542957764,57
15m,combined,1.0,full,2024-10,0.12732679642936406,21510876.068046816,96
15m,combined,1.0,full,2024-11,0.06905112211046016,22996226.19812449,95
15m,combined,1.0,full,2024-12,0.25317048437116996,28818191.923412655,128
15m,combined,1.0,full,2025-01,0.2173448174099082,35081676.585090466,96
15m,combined,1.0,full,2025-02,0.15387999031998945,40480044.63841318,116
15m,combined,1.0,full,2025-03,0.1515496079551224,46614779.533370554,104
15m,combined,1.0,full,2025-04,0.052668843182579916,49069926.04660419,90
15m,combined,1.0,full,2025-05,0.03192245689033624,50636358.645438895,84
15m,combined,1.0,full,2025-06,-0.009304739262076533,50165200.53106209,83
15m,combined,1.0,full,2025-07,0.1631411800391953,58349210.54260242,86
15m,combined,1.0,full,2025-08,0.009890873108920895,58926335.180085,103
15m,combined,1.0,full,2025-09,0.03595215572699173,61044863.95890033,57
15m,combined,1.0,full,2025-10,0.3928445075723739,85026003.48065709,105
15m,combined,1.0,full,2025-11,-0.05787581093509275,80105054.57864404,69
15m,combined,1.0,full,2025-12,0.11839353340063741,89588975.03346062,78
15m,combined,1.0,full,2026-01,0.07296650094718982,96125969.06509739,80
15m,combined,1.0,full,2026-02,-0.027779948701787127,93455594.57555941,75
15m,combined,1.0,full,2026-03,0.186697173838148,110903489.9621801,67
15m,combined,1.0,full,2026-04,0.025013654599162827,113677591.55393578,39
15m,combined,1.0,full,2026-05,0.11642843732297425,126912895.89719987,75
15m,combined,1.0,full,2026-06,-0.010450541318345663,125586587.43479528,78
15m,combined,1.0,full,2026-07,-0.04563701583072666,119855190.35590659,39
15m,combined,2.0,full,2020-09,0.04561785700461285,10456.178570046128,42
15m,combined,2.0,full,2020-10,0.2155358489370569,12709.859894778481,76
15m,combined,2.0,full,2020-11,0.845606993964295,23457.406314109463,104
15m,combined,2.0,full,2020-12,1.0973305229820651,49197.93425257399,122
15m,combined,2.0,full,2021-01,1.7256026454603246,134094.01974999878,160
15m,combined,2.0,full,2021-02,0.6714414879514181,224130.3078963248,98
15m,combined,2.0,full,2021-03,0.2522333714572258,280663.4511027609,88
15m,combined,2.0,full,2021-04,1.019132811403702,566696.7830833831,138
15m,combined,2.0,full,2021-05,1.5833730410441915,1463989.19186408,149
15m,combined,2.0,full,2021-06,0.6434189431957589,2405947.5705432794,128
15m,combined,2.0,full,2021-07,0.0460933480464667,2516845.749293882,89
15m,combined,2.0,full,2021-08,0.5127178561340844,3807277.506092024,102
15m,combined,2.0,full,2021-09,0.46420105799757105,5574619.752510295,110
15m,combined,2.0,full,2021-10,0.3710095604429329,7642856.976525631,104
15m,combined,2.0,full,2021-11,0.44628738031556203,11053767.594705772,121
15m,combined,2.0,full,2021-12,0.7464553839044408,19304911.928202335,135
15m,combined,2.0,full,2022-01,0.5742861084303081,30391454.67303949,142
15m,combined,2.0,full,2022-02,0.10866109390798506,33693823.3832669,93
15m,combined,2.0,full,2022-03,0.4683070271375189,49472877.64478125,81
15m,combined,2.0,full,2022-04,0.07417622381578837,53142588.889771655,110
15m,combined,2.0,full,2022-05,0.3526442401594092,71883016.76890904,107
15m,combined,2.0,full,2022-06,0.2954553135169966,93121236.02491458,143
15m,combined,2.0,full,2022-07,0.6933400686504747,157685920.2032459,99
15m,combined,2.0,full,2022-08,0.07649233478196171,169747684.4018343,100
15m,combined,2.0,full,2022-09,0.09778528796357988,186346510.60221854,93
15m,combined,2.0,full,2022-10,0.3123359208003851,244549219.57910118,54
15m,combined,2.0,full,2022-11,1.399038606563935,586683018.9753447,115
15m,combined,2.0,full,2022-12,0.0540359469060363,618384991.4393694,58
15m,combined,2.0,full,2023-01,0.34839376097405284,833826464.3368388,43
15m,combined,2.0,full,2023-02,0.17212364934581648,977347718.2996148,66
15m,combined,2.0,full,2023-03,0.34887023902868686,1318315250.396943,86
15m,combined,2.0,full,2023-04,0.5121316188185141,1993466173.6958644,79
15m,combined,2.0,full,2023-05,0.0637516611528981,2120552953.7210875,37
15m,combined,2.0,full,2023-06,0.2638416636884635,2680043172.9703445,69
15m,combined,2.0,full,2023-07,0.5775221110498152,4227827363.928823,66
15m,combined,2.0,full,2023-08,0.029319380688127117,4351784643.895534,37
15m,combined,2.0,full,2023-09,0.07958959281846911,4698141411.736846,28
15m,combined,2.0,full,2023-10,0.09575733160717426,5148022896.837929,53
15m,combined,2.0,full,2023-11,0.3140178803161908,6764594134.722192,72
15m,combined,2.0,full,2023-12,0.3413289090949967,9073545671.19733,78
15m,combined,2.0,full,2024-01,0.2329389937659443,11187128269.735376,78
15m,combined,2.0,full,2024-02,0.6970791933698828,18985442620.127926,65
15m,combined,2.0,full,2024-03,0.3433456472666001,25504011705.178646,92
15m,combined,2.0,full,2024-04,-0.10205961550079379,22901082076.82037,105
15m,combined,2.0,full,2024-05,0.035900557082675144,23723243681.17429,79
15m,combined,2.0,full,2024-06,0.057244178368383025,25081261273.936047,56
15m,combined,2.0,full,2024-07,0.32228055193217253,33164464000.45518,96
15m,combined,2.0,full,2024-08,-0.21151088797642104,26149818770.456856,119
15m,combined,2.0,full,2024-09,-0.018054021027240963,25677709392.516487,57
15m,combined,2.0,full,2024-10,0.26533081522884405,32490796958.84223,97
15m,combined,2.0,full,2024-11,0.13565316448072373,36898276382.80985,94
15m,combined,2.0,full,2024-12,0.5551742389343768,57383248891.6266,125
15m,combined,2.0,full,2025-01,0.47157877562603234,84443971145.38376,97
15m,combined,2.0,full,2025-02,0.3200960495705436,111474152719.07007,115
15m,combined,2.0,full,2025-03,0.3178919598328409,146910889597.64066,104
15m,combined,2.0,full,2025-04,0.10266328723356377,161993244454.1416,88
15m,combined,2.0,full,2025-05,0.060013481871033614,171715023093.42014,83
15m,combined,2.0,full,2025-06,-0.02216731388041948,167908562278.5248,82
15m,combined,2.0,full,2025-07,0.3343385976209743,224046875519.28082,87
15m,combined,2.0,full,2025-08,-0.007211692612715925,222431118322.19635,99
