threshold_atr,lens,barrier,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate,guard,threshold_fraction,mean_net_r,net_r_win,net_r_loss,cost_r_median,breakeven_win_rate,win_rate_margin,profit_factor,cap_hit_rate,effective_risk_mean,guard_reject_rate
1.6,baseline,zone,ETH/USDT:USDT,4h,is,default,-1,142.0,91.0,0.1971952274658742,0.1120049296705351,0.5054945054945055,0.003,0.3333333333333333,0.2123221489484203,1.4396718998056015,-1.0423020408166983,0.0406488347086092,0.4162595338834436,0.0892349716110618,1.3646309634724287,0.0439560439560439,0.0098289775384336,0.0211267605633802
1.6,baseline,zone,ETH/USDT:USDT,4h,is,filter_bot3,-1,70.0,58.0,0.221531234588968,0.0550283824274972,0.5689655172413793,0.003,0.3333333333333333,0.3693234975560107,1.4374985852505957,-1.0406676182008414,0.0434547378563193,0.4173818951425277,0.1515836220988516,1.730733465794961,0.0517241379310344,0.0097802122287357,0.0428571428571428
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,0,70.0,53.0,0.1452931339385366,0.0643073098274491,0.5283018867924528,0.003,0.3333333333333333,0.2688218277717931,1.436716721798232,-1.0392204535378182,0.0434547378563193,0.4173818951425277,0.1109199916499251,1.5045384445049166,0.0377358490566037,0.0098619078782801,0.0285714285714285
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,1,70.0,57.0,0.1026921940595046,0.0811598955980083,0.4912280701754385,0.003,0.3333333333333333,0.183856542890598,1.4512854776817004,-1.0398679458732247,0.0393890164923527,0.4157556065969411,0.0754724635784974,1.3121095346772975,0.0350877192982456,0.0098705950734392,0.0142857142857142
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,2,70.0,49.0,-0.0929221503570161,0.1694308832097484,0.3469387755102041,0.003,0.3333333333333333,-0.1866847833707152,1.4363570143623026,-1.0489257384163808,0.0417374394502622,0.4166949757801049,-0.0697562002699008,0.717943792094708,0.0408163265306122,0.0098494677384905,0.0428571428571428
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,3,70.0,52.0,-0.0061828895936285,0.1091283346931628,0.4230769230769231,0.003,0.3333333333333333,0.0071550230099684,1.434876150548523,-1.0398404705183049,0.0380280597514034,0.4152112239005614,0.0078656991763616,0.9803846769883569,0.0769230769230769,0.0097007106922589,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,4,70.0,60.0,0.140997550008843,0.0473020302962668,0.5166666666666667,0.003,0.3333333333333333,0.2378388940277595,1.4358924034251133,-1.0428389953280324,0.0434547378563193,0.4173818951425277,0.099284771524139,1.4399984068353868,0.0666666666666666,0.009740615933291,0.0142857142857142
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,5,70.0,54.0,0.069882420165037,0.0699872933264531,0.4814814814814814,0.003,0.3333333333333333,0.1501597150817557,1.4334685346132416,-1.0414841887689097,0.0404926522440161,0.4161970608976064,0.065284420583875,1.2229465815486098,0.0555555555555555,0.0097639316530865,0.0142857142857142
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,6,70.0,53.0,0.1112049926864732,0.0577914035799753,0.5094339622641509,0.003,0.3333333333333333,0.2183092214501833,1.4396038772942772,-1.0499583057725297,0.0392030855125597,0.4156812342050239,0.093752728059127,1.3892337867457865,0.0754716981132075,0.0097063576603295,0.0428571428571428
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,7,70.0,51.0,0.1506993055452996,0.0736043839551915,0.5294117647058824,0.003,0.3333333333333333,0.2767994521918574,1.4474296856490871,-1.0401595604475262,0.0417374394502622,0.4166949757801049,0.1127167889257774,1.544814419146838,0.0196078431372549,0.0099447969947214,0.0428571428571428
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,8,70.0,55.0,0.0962811055768064,0.0970514116585239,0.4909090909090909,0.003,0.3333333333333333,0.1737142210982179,1.4436864846037976,-1.0509018901393057,0.040193386004719,0.4160773544018876,0.0748317365072033,1.3180765047196834,0.0545454545454545,0.0098157411687207,0.0142857142857142
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,9,70.0,55.0,0.0779961456992265,0.0898990078329533,0.4727272727272727,0.003,0.3333333333333333,0.1383300354343106,1.451474888355918,-1.0389722464954063,0.0393890164923527,0.4157556065969411,0.0569716661303316,1.236688405700506,0.0181818181818181,0.0099488117587417,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,10,70.0,60.0,0.158848225878475,0.0626881358529941,0.5166666666666667,0.003,0.3333333333333333,0.2373544993695119,1.4503426807370712,-1.059288039333741,0.0404211103566641,0.4161684441426656,0.100498222524001,1.4667839117233137,0.05,0.0098603709881217,0.0285714285714285
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,11,70.0,57.0,0.1067156620518875,0.0847335669767446,0.4912280701754385,0.003,0.3333333333333333,0.1800080495486787,1.4511165622317428,-1.0472691351108314,0.040193386004719,0.4160773544018876,0.0751507157735509,1.3168612303076563,0.0175438596491228,0.0099506078373823,0.0142857142857142
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,12,70.0,53.0,0.2577669664156939,0.0588906276875851,0.6037735849056604,0.003,0.3333333333333333,0.4525039117299592,1.442806927281067,-1.05652925482411,0.040193386004719,0.4160773544018876,0.1876962305037727,2.0086303402845695,0.0754716981132075,0.0097054882710711,0.0285714285714285
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,13,70.0,57.0,0.0956929375629959,0.0909001056676871,0.4912280701754385,0.003,0.3333333333333333,0.168490415268322,1.432719077502146,-1.0521441551643358,0.0450336646481311,0.4180134658592524,0.0732146043161861,1.3011545152266253,0.0526315789473684,0.0098069769042495,0.0142857142857142
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,14,70.0,55.0,0.1000664012932049,0.085092449571743,0.4909090909090909,0.003,0.3333333333333333,0.1799216535488322,1.443833695491791,-1.0388506726104494,0.0389897263992974,0.4155958905597189,0.075313200349372,1.3235252287455517,0.0545454545454545,0.0098157411687207,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,15,70.0,55.0,0.2099034515236932,0.0676493764643855,0.5636363636363636,0.003,0.3333333333333333,0.3533713714157151,1.4428408573024367,-1.0538600478546334,0.0406488347086092,0.4162595338834436,0.1473768297529199,1.7433690100384978,0.0545454545454545,0.0098157411687207,0.0285714285714285
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,16,70.0,52.0,0.0753099139266742,0.0856025754580015,0.4807692307692308,0.003,0.3333333333333333,0.147801606031088,1.4390496229007972,-1.047798409589013,0.0433302215527036,0.4173320886210814,0.0634371421481493,1.2475935960972877,0.0576923076923076,0.0097884169911965,0.0142857142857142
