symbol,timeframe,segment,lens,tp_rule,r_multiple,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data
BTC/USDT:USDT,4h,full,baseline,entry_r,1.5,86,60,52,0.6976744186046512,0.2580248461440513,0.0525647001677471,0.6346153846153846,17.960288868970725,0.5865384615384616,33,19,0
BTC/USDT:USDT,4h,full,baseline,zone_height,1.5,86,60,52,0.6976744186046512,0.2764634205701309,0.0471293990308144,0.5961538461538461,17.837976656020828,0.6038707105922558,31,21,0
BTC/USDT:USDT,4h,full,pen_5bp,entry_r,1.5,86,54,46,0.627906976744186,0.2119673542969745,0.0525647001677471,0.6086956521739131,16.429821684221135,0.5217391304347823,28,18,0
BTC/USDT:USDT,4h,full,pen_5bp,zone_height,1.5,86,54,46,0.627906976744186,0.2363538616492123,0.0426753921942319,0.6086956521739131,17.34042361070582,0.5934675400619536,28,18,0
BTC/USDT:USDT,4h,is,baseline,entry_r,1.5,61,40,37,0.6557377049180327,0.2211799469355113,0.0525647001677471,0.6756756756756757,22.27062267546892,0.6891891891891893,25,12,0
BTC/USDT:USDT,4h,is,baseline,zone_height,1.5,61,40,37,0.6557377049180327,0.2231675067413887,0.0468162857419607,0.6216216216216216,20.832309227370253,0.6431320820957975,23,14,0
BTC/USDT:USDT,4h,is,pen_5bp,entry_r,1.5,61,38,33,0.6229508196721312,0.1755827587547537,0.0525647001677471,0.6363636363636364,19.46382956930017,0.5909090909090902,21,12,0
BTC/USDT:USDT,4h,is,pen_5bp,zone_height,1.5,61,38,33,0.6229508196721312,0.2008246388955718,0.0426753921942319,0.6363636363636364,20.701050044793373,0.6952288217949364,21,12,0
BTC/USDT:USDT,4h,oos_warm,baseline,entry_r,1.5,25,20,15,0.8,0.0301715560438087,0.0467661419317679,0.5333333333333333,7.871352314692047,0.3333333333333331,8,7,0
BTC/USDT:USDT,4h,oos_warm,baseline,zone_height,1.5,25,20,15,0.8,0.0435720484193752,0.0471293990308144,0.5333333333333333,10.481709966674757,0.5070259942168528,8,7,0
BTC/USDT:USDT,4h,oos_warm,pen_5bp,entry_r,1.5,25,16,13,0.64,0.0309502629834083,0.0395407056323266,0.5384615384615384,8.850623684797526,0.3461538461538467,7,6,0
BTC/USDT:USDT,4h,oos_warm,pen_5bp,zone_height,1.5,25,16,13,0.64,0.0295873532261275,0.0399067161910905,0.5384615384615384,8.53790197612303,0.335150440278228,7,6,0
BTC/USDT:USDT,4h,oos,baseline,entry_r,1.5,25,20,15,0.8,0.0301715560438087,0.0467661419317679,0.5333333333333333,7.871352314692047,0.3333333333333331,8,7,0
BTC/USDT:USDT,4h,oos,baseline,zone_height,1.5,25,20,15,0.8,0.0435720484193752,0.0471293990308144,0.5333333333333333,10.481709966674757,0.5070259942168528,8,7,0
BTC/USDT:USDT,4h,oos,pen_5bp,entry_r,1.5,25,16,13,0.64,0.0309502629834083,0.0395407056323266,0.5384615384615384,8.850623684797526,0.3461538461538467,7,6,0
BTC/USDT:USDT,4h,oos,pen_5bp,zone_height,1.5,25,16,13,0.64,0.0295873532261275,0.0399067161910905,0.5384615384615384,8.53790197612303,0.335150440278228,7,6,0
ETH/USDT:USDT,4h,full,baseline,entry_r,1.5,120,84,68,0.7,0.367972332430133,0.0471152411781898,0.6176470588235294,18.144179414812896,0.544117647058823,42,26,0
ETH/USDT:USDT,4h,full,baseline,zone_height,1.5,120,84,68,0.7,0.4372241042887874,0.0320287205995512,0.6029411764705882,19.02275340314668,0.6723942614369678,41,27,0
ETH/USDT:USDT,4h,full,pen_5bp,entry_r,1.5,120,79,66,0.6583333333333333,0.3169563302385257,0.0471152411781897,0.6060606060606061,16.45889091823175,0.5151515151515151,40,26,0
ETH/USDT:USDT,4h,full,pen_5bp,zone_height,1.5,120,79,66,0.6583333333333333,0.350923506734128,0.032028720599551,0.5757575757575758,16.44793222996529,0.61306459033531,38,28,0
ETH/USDT:USDT,4h,is,baseline,entry_r,1.5,74,53,43,0.7162162162162162,0.1981860095807307,0.0471152411781898,0.6046511627906976,16.581818927915382,0.5116279069767437,26,17,0
ETH/USDT:USDT,4h,is,baseline,zone_height,1.5,74,53,43,0.7162162162162162,0.2749227228717289,0.0320287205995512,0.6046511627906976,19.700471696761856,0.7432396547848079,26,17,0
ETH/USDT:USDT,4h,is,pen_5bp,entry_r,1.5,74,49,41,0.6621621621621622,0.1535027840719363,0.0471152411781897,0.5853658536585366,13.828268813069078,0.4634146341463418,24,17,0
