timeframe,segment,feature,control,n,correlation
15m,is,rvol_sma20,zone_width_atr,5280,0.10023481586849695
15m,is,rvol_sma20,stop_width_atr,5280,0.07736850079975359
15m,is,rvol_sma50,zone_width_atr,5280,0.10321121056904262
15m,is,rvol_sma50,stop_width_atr,5280,0.07080417579037376
15m,is,reg_4h_trend,zone_width_atr,5280,0.04782818205369334
15m,is,reg_4h_trend,stop_width_atr,5280,0.006937773898550204
15m,is,reg_4h_ema_slope,zone_width_atr,5280,0.04016959601182501
15m,is,reg_4h_ema_slope,stop_width_atr,5280,0.02801798310303357
15m,is,reg_4h_vol_pctl,zone_width_atr,5279,-0.15543710276486428
15m,is,reg_4h_vol_pctl,stop_width_atr,5279,-0.2664337558163114
15m,is,reg_4h_dev_pctl,zone_width_atr,5280,-0.1030636959564321
15m,is,reg_4h_dev_pctl,stop_width_atr,5280,-0.16420734218793803
15m,is,reg_1d_trend,zone_width_atr,5280,-0.007623118769542863
15m,is,reg_1d_trend,stop_width_atr,5280,-0.05218277309080928
15m,is,reg_1d_ema_slope,zone_width_atr,5245,-0.005448771431222274
15m,is,reg_1d_ema_slope,stop_width_atr,5245,-0.02501792728713987
15m,is,reg_1d_vol_pctl,zone_width_atr,5236,-0.06479620185382486
15m,is,reg_1d_vol_pctl,stop_width_atr,5236,-0.1503813392382049
15m,is,reg_1d_dev_pctl,zone_width_atr,5280,-0.06088163299356103
15m,is,reg_1d_dev_pctl,stop_width_atr,5280,-0.11122405564646536
15m,is,band_lower_slope_3_atr,zone_width_atr,5280,0.17936923855516404
15m,is,band_lower_slope_3_atr,stop_width_atr,5280,0.07303730289998447
15m,is,band_lower_slope_3_pct,zone_width_atr,5280,0.27532224706449127
15m,is,band_lower_slope_3_pct,stop_width_atr,5280,0.19991403641082198
15m,is,band_lower_slope_5_atr,zone_width_atr,5280,0.1670790840096797
15m,is,band_lower_slope_5_atr,stop_width_atr,5280,0.09276510598134476
15m,is,band_lower_slope_5_pct,zone_width_atr,5280,0.26180438711698406
15m,is,band_lower_slope_5_pct,stop_width_atr,5280,0.2036064775146462
15m,oos,rvol_sma20,zone_width_atr,2567,0.14770640269268276
15m,oos,rvol_sma20,stop_width_atr,2567,0.11316566710452629
15m,oos,rvol_sma50,zone_width_atr,2567,0.14853640179967334
15m,oos,rvol_sma50,stop_width_atr,2567,0.11698556641584977
15m,oos,reg_4h_trend,zone_width_atr,2567,0.0705120874114294
15m,oos,reg_4h_trend,stop_width_atr,2567,0.03404730125679601
15m,oos,reg_4h_ema_slope,zone_width_atr,2567,0.06941666502882285
15m,oos,reg_4h_ema_slope,stop_width_atr,2567,0.05042452799592137
15m,oos,reg_4h_vol_pctl,zone_width_atr,2567,-0.19330012722783288
15m,oos,reg_4h_vol_pctl,stop_width_atr,2567,-0.28742422816962965
15m,oos,reg_4h_dev_pctl,zone_width_atr,2567,-0.0766498747312522
15m,oos,reg_4h_dev_pctl,stop_width_atr,2567,-0.14970403281299346
15m,oos,reg_1d_trend,zone_width_atr,2567,0.0007674645323159251
15m,oos,reg_1d_trend,stop_width_atr,2567,-0.03735610390465077
15m,oos,reg_1d_ema_slope,zone_width_atr,2567,-0.017569590101807118
15m,oos,reg_1d_ema_slope,stop_width_atr,2567,-0.04332130806112497
15m,oos,reg_1d_vol_pctl,zone_width_atr,2567,-0.10970607672605243
15m,oos,reg_1d_vol_pctl,stop_width_atr,2567,-0.1781255688566157
15m,oos,reg_1d_dev_pctl,zone_width_atr,2567,-0.010580948754043753
15m,oos,reg_1d_dev_pctl,stop_width_atr,2567,-0.034256659722409696
15m,oos,band_lower_slope_3_atr,zone_width_atr,2567,0.1488600520995017
15m,oos,band_lower_slope_3_atr,stop_width_atr,2567,0.06217035325760909
15m,oos,band_lower_slope_3_pct,zone_width_atr,2567,0.30177559249652863
15m,oos,band_lower_slope_3_pct,stop_width_atr,2567,0.234966240925125
15m,oos,band_lower_slope_5_atr,zone_width_atr,2567,0.1275559027352526
15m,oos,band_lower_slope_5_atr,stop_width_atr,2567,0.07049652526639288
15m,oos,band_lower_slope_5_pct,zone_width_atr,2567,0.2735056848520295
15m,oos,band_lower_slope_5_pct,stop_width_atr,2567,0.226568086586652
1h,is,rvol_sma20,zone_width_atr,1448,0.15641214032369222
1h,is,rvol_sma20,stop_width_atr,1448,0.13556223453612523
1h,is,rvol_sma50,zone_width_atr,1448,0.1672372740006258
1h,is,rvol_sma50,stop_width_atr,1448,0.13782862045523334
1h,is,reg_4h_trend,zone_width_atr,1448,0.1165365969664147
1h,is,reg_4h_trend,stop_width_atr,1448,0.099246478884923
1h,is,reg_4h_ema_slope,zone_width_atr,1448,0.07803676992558826
1h,is,reg_4h_ema_slope,stop_width_atr,1448,0.09015973187743294
1h,is,reg_4h_vol_pctl,zone_width_atr,1448,-0.1909552709705821
1h,is,reg_4h_vol_pctl,stop_width_atr,1448,-0.2334463656348951
1h,is,reg_4h_dev_pctl,zone_width_atr,1448,-0.09015695985620154
1h,is,reg_4h_dev_pctl,stop_width_atr,1448,-0.1281115165353687
1h,is,reg_1d_trend,zone_width_atr,1448,-0.00020256703515436977
1h,is,reg_1d_trend,stop_width_atr,1448,-0.00598839625978993
1h,is,reg_1d_ema_slope,zone_width_atr,1447,0.025220427113460245
1h,is,reg_1d_ema_slope,stop_width_atr,1447,0.022326168516693418
1h,is,reg_1d_vol_pctl,zone_width_atr,1446,-0.08162927783117507
1h,is,reg_1d_vol_pctl,stop_width_atr,1446,-0.12490219100747262
1h,is,reg_1d_dev_pctl,zone_width_atr,1448,-0.03539665670707659
1h,is,reg_1d_dev_pctl,stop_width_atr,1448,-0.06512635829587389
1h,is,band_lower_slope_3_atr,zone_width_atr,1448,0.24635858955839743
1h,is,band_lower_slope_3_atr,stop_width_atr,1448,0.10534043555300203
1h,is,band_lower_slope_3_pct,zone_width_atr,1448,0.3040886298882583
1h,is,band_lower_slope_3_pct,stop_width_atr,1448,0.19782030900658304
1h,is,band_lower_slope_5_atr,zone_width_atr,1448,0.22959264300599783
1h,is,band_lower_slope_5_atr,stop_width_atr,1448,0.12676503826508906
1h,is,band_lower_slope_5_pct,zone_width_atr,1448,0.29513428979227097
1h,is,band_lower_slope_5_pct,stop_width_atr,1448,0.2100928052752654
1h,oos,rvol_sma20,zone_width_atr,769,0.18994924737559146
1h,oos,rvol_sma20,stop_width_atr,769,0.15946965672101102
1h,oos,rvol_sma50,zone_width_atr,769,0.20743602798644
1h,oos,rvol_sma50,stop_width_atr,769,0.17402787988836885
1h,oos,reg_4h_trend,zone_width_atr,769,0.07880466826330444
1h,oos,reg_4h_trend,stop_width_atr,769,0.048574227503099816
1h,oos,reg_4h_ema_slope,zone_width_atr,769,0.03559694421223651
1h,oos,reg_4h_ema_slope,stop_width_atr,769,0.025296737718451257
1h,oos,reg_4h_vol_pctl,zone_width_atr,769,-0.11279844456196034
1h,oos,reg_4h_vol_pctl,stop_width_atr,769,-0.1651924034036301
1h,oos,reg_4h_dev_pctl,zone_width_atr,769,0.014330463421428156
1h,oos,reg_4h_dev_pctl,stop_width_atr,769,0.005625301814379547
1h,oos,reg_1d_trend,zone_width_atr,769,0.04697827460649262
1h,oos,reg_1d_trend,stop_width_atr,769,0.017559640297442863
1h,oos,reg_1d_ema_slope,zone_width_atr,769,0.011298633414081043
1h,oos,reg_1d_ema_slope,stop_width_atr,769,0.005351235376342884
1h,oos,reg_1d_vol_pctl,zone_width_atr,769,0.028511034839843737
1h,oos,reg_1d_vol_pctl,stop_width_atr,769,-0.046543391589362215
1h,oos,reg_1d_dev_pctl,zone_width_atr,769,0.05885834442614146
1h,oos,reg_1d_dev_pctl,stop_width_atr,769,0.04207445426912121
1h,oos,band_lower_slope_3_atr,zone_width_atr,769,0.19644720195129337
1h,oos,band_lower_slope_3_atr,stop_width_atr,769,0.0628073211889175
1h,oos,band_lower_slope_3_pct,zone_width_atr,769,0.23948759504859504
1h,oos,band_lower_slope_3_pct,stop_width_atr,769,0.12981631292904947
1h,oos,band_lower_slope_5_atr,zone_width_atr,769,0.2132146153978668
1h,oos,band_lower_slope_5_atr,stop_width_atr,769,0.0937777842664182
1h,oos,band_lower_slope_5_pct,zone_width_atr,769,0.2510204208952317
1h,oos,band_lower_slope_5_pct,stop_width_atr,769,0.15114184100254502
4h,is,rvol_sma20,zone_width_atr,343,0.15300462738906845
4h,is,rvol_sma20,stop_width_atr,343,0.17660070152527976
4h,is,rvol_sma50,zone_width_atr,343,0.08112650249440762
4h,is,rvol_sma50,stop_width_atr,343,0.09264139731008461
4h,is,reg_4h_trend,zone_width_atr,0,
4h,is,reg_4h_trend,stop_width_atr,0,
4h,is,reg_4h_ema_slope,zone_width_atr,0,
4h,is,reg_4h_ema_slope,stop_width_atr,0,
4h,is,reg_4h_vol_pctl,zone_width_atr,0,
4h,is,reg_4h_vol_pctl,stop_width_atr,0,
4h,is,reg_4h_dev_pctl,zone_width_atr,0,
4h,is,reg_4h_dev_pctl,stop_width_atr,0,
4h,is,reg_1d_trend,zone_width_atr,344,0.07151504912361478
4h,is,reg_1d_trend,stop_width_atr,344,0.07870176517591183
4h,is,reg_1d_ema_slope,zone_width_atr,343,0.04063850131901146
4h,is,reg_1d_ema_slope,stop_width_atr,343,0.08059529116730046
4h,is,reg_1d_vol_pctl,zone_width_atr,343,-0.17766110929676535
