timeframe,segment,feature,axis,n,raw_correlation,partial_correlation,p_value,permutations
15m,is,band_lower_slope_3_atr,death_vs_rest,5280,0.051795057800183626,0.031962374918352736,0.0155,2000
15m,oos,band_lower_slope_3_atr,death_vs_rest,2567,0.09325579206186098,0.07251489739982547,0.001,2000
15m,is,band_lower_slope_3_pct,death_vs_rest,5280,0.05119188774539975,0.01687919819384456,0.226,2000
15m,oos,band_lower_slope_3_pct,death_vs_rest,2567,0.09320074968164645,0.046572570186721826,0.0125,2000
15m,is,band_lower_slope_5_atr,death_vs_rest,5280,0.04664200729737301,0.02705648530056913,0.0445,2000
15m,oos,band_lower_slope_5_atr,death_vs_rest,2567,0.09074069692686304,0.07240714624607904,0.001,2000
15m,is,band_lower_slope_5_pct,death_vs_rest,5280,0.04883019353264481,0.015611293741372434,0.267,2000
15m,oos,band_lower_slope_5_pct,death_vs_rest,2567,0.08958820571309309,0.04678189942957026,0.013,2000
1h,is,band_lower_slope_3_atr,death_vs_rest,1448,0.05991374702316161,0.028319266792845424,0.265,2000
1h,oos,band_lower_slope_3_atr,death_vs_rest,769,0.052585011067997546,0.022730590840359464,0.5265,2000
1h,is,band_lower_slope_3_pct,death_vs_rest,1448,0.05094533086888052,0.007076885453578918,0.7985,2000
1h,oos,band_lower_slope_3_pct,death_vs_rest,769,0.05657807972921079,0.018363197958175554,0.611,2000
1h,is,band_lower_slope_5_atr,death_vs_rest,1448,0.05735618506674168,0.02619709635151237,0.305,2000
1h,oos,band_lower_slope_5_atr,death_vs_rest,769,0.060393197247311126,0.02738585337810325,0.4375,2000
1h,is,band_lower_slope_5_pct,death_vs_rest,1448,0.04776197056935441,0.004028497387911271,0.9015,2000
1h,oos,band_lower_slope_5_pct,death_vs_rest,769,0.05189344673462039,0.011040028453602345,0.7745,2000
