timeframe,segment,feature,axis,n,positive_rate,correlation,p_value,hypothesis_sign,direction_matches,permutations
15m,is,rvol_sma20,death_vs_rest,5280,0.09640151515151515,0.011417157242328996,0.3965,-1,False,2000
15m,is,rvol_sma20,death_vs_winner,3583,0.14205972648618476,0.009076337485487612,0.5995,-1,False,2000
15m,is,rvol_sma50,death_vs_rest,5280,0.09640151515151515,0.008815911742166995,0.4915,-1,False,2000
15m,is,rvol_sma50,death_vs_winner,3583,0.14205972648618476,0.006094035212440883,0.7285,-1,False,2000
15m,is,reg_4h_trend,death_vs_rest,5280,0.09640151515151515,-0.016593471179641047,0.2245,-1,True,2000
15m,is,reg_4h_trend,death_vs_winner,3583,0.14205972648618476,-0.021018758306043894,0.2095,-1,True,2000
15m,is,reg_4h_ema_slope,death_vs_rest,5280,0.09640151515151515,-0.007688925578956347,0.5565,-1,True,2000
15m,is,reg_4h_ema_slope,death_vs_winner,3583,0.14205972648618476,-0.01154962686959343,0.4925,-1,True,2000
15m,is,reg_4h_vol_pctl,death_vs_rest,5279,0.09641977647281683,0.0006097464326233567,0.9625,1,True,2000
15m,is,reg_4h_vol_pctl,death_vs_winner,3583,0.14205972648618476,-0.005885829224925383,0.7205,1,False,2000
15m,is,reg_4h_dev_pctl,death_vs_rest,5280,0.09640151515151515,-0.02909158418342823,0.0395,1,False,2000
15m,is,reg_4h_dev_pctl,death_vs_winner,3583,0.14205972648618476,-0.03519368418112824,0.0285,1,False,2000
15m,is,reg_1d_trend,death_vs_rest,5280,0.09640151515151515,-0.021491086250450625,0.128,-1,True,2000
15m,is,reg_1d_trend,death_vs_winner,3583,0.14205972648618476,-0.027115917256625727,0.107,-1,True,2000
15m,is,reg_1d_ema_slope,death_vs_rest,5245,0.09609151572926597,-0.005984571641635307,0.6705,-1,True,2000
15m,is,reg_1d_ema_slope,death_vs_winner,3557,0.14169243744728705,-0.009065294211721057,0.5905,-1,True,2000
15m,is,reg_1d_vol_pctl,death_vs_rest,5236,0.09587471352177235,0.006346358545966696,0.6485,1,True,2000
15m,is,reg_1d_vol_pctl,death_vs_winner,3551,0.14136862855533652,0.01260064526576269,0.458,1,True,2000
15m,is,reg_1d_dev_pctl,death_vs_rest,5280,0.09640151515151515,0.0033110957488905078,0.8005,1,True,2000
15m,is,reg_1d_dev_pctl,death_vs_winner,3583,0.14205972648618476,0.005103166614256447,0.7675,1,True,2000
15m,is,band_lower_slope_3_atr,death_vs_rest,5280,0.09640151515151515,0.051795057800183626,0.0,-1,False,2000
15m,is,band_lower_slope_3_atr,death_vs_winner,3583,0.14205972648618476,0.07653169691664817,0.0,-1,False,2000
15m,is,band_lower_slope_3_pct,death_vs_rest,5280,0.09640151515151515,0.05119188774539975,0.001,-1,False,2000
15m,is,band_lower_slope_3_pct,death_vs_winner,3583,0.14205972648618476,0.07703496566847798,0.0,-1,False,2000
15m,is,band_lower_slope_5_atr,death_vs_rest,5280,0.09640151515151515,0.04664200729737301,0.001,-1,False,2000
15m,is,band_lower_slope_5_atr,death_vs_winner,3583,0.14205972648618476,0.0691720738468577,0.0,-1,False,2000
15m,is,band_lower_slope_5_pct,death_vs_rest,5280,0.09640151515151515,0.04883019353264481,0.001,-1,False,2000
15m,is,band_lower_slope_5_pct,death_vs_winner,3583,0.14205972648618476,0.07343641316771686,0.0,-1,False,2000
15m,oos,rvol_sma20,death_vs_rest,2567,0.14102064666926373,0.026744793847451466,0.2135,-1,False,2000
15m,oos,rvol_sma20,death_vs_winner,1779,0.2034851039910062,0.023317800957660527,0.3725,-1,False,2000
15m,oos,rvol_sma50,death_vs_rest,2567,0.14102064666926373,0.019191898080677193,0.3925,-1,False,2000
15m,oos,rvol_sma50,death_vs_winner,1779,0.2034851039910062,0.009819419276685098,0.6935,-1,False,2000
15m,oos,reg_4h_trend,death_vs_rest,2567,0.14102064666926373,-0.009301545435057115,0.6435,-1,True,2000
15m,oos,reg_4h_trend,death_vs_winner,1779,0.2034851039910062,-0.017962887990685912,0.464,-1,True,2000
15m,oos,reg_4h_ema_slope,death_vs_rest,2567,0.14102064666926373,-0.008234734679969847,0.7215,-1,True,2000
15m,oos,reg_4h_ema_slope,death_vs_winner,1779,0.2034851039910062,-0.018170234997032405,0.4705,-1,True,2000
15m,oos,reg_4h_vol_pctl,death_vs_rest,2567,0.14102064666926373,-0.010151920692714025,0.62,1,False,2000
15m,oos,reg_4h_vol_pctl,death_vs_winner,1779,0.2034851039910062,-0.021237051189932334,0.374,1,False,2000
15m,oos,reg_4h_dev_pctl,death_vs_rest,2567,0.14102064666926373,-0.006555549560703156,0.756,1,False,2000
15m,oos,reg_4h_dev_pctl,death_vs_winner,1779,0.2034851039910062,-0.018489353485363954,0.4595,1,False,2000
15m,oos,reg_1d_trend,death_vs_rest,2567,0.14102064666926373,0.02078829068112322,0.518,-1,False,2000
15m,oos,reg_1d_trend,death_vs_winner,1779,0.2034851039910062,0.0076880527039464314,0.8105,-1,False,2000
15m,oos,reg_1d_ema_slope,death_vs_rest,2567,0.14102064666926373,0.03701405705927704,0.2975,-1,False,2000
15m,oos,reg_1d_ema_slope,death_vs_winner,1779,0.2034851039910062,0.029072434164188355,0.511,-1,False,2000
15m,oos,reg_1d_vol_pctl,death_vs_rest,2567,0.14102064666926373,0.01612267093047313,0.4575,1,True,2000
15m,oos,reg_1d_vol_pctl,death_vs_winner,1779,0.2034851039910062,0.020747958585286934,0.4015,1,True,2000
15m,oos,reg_1d_dev_pctl,death_vs_rest,2567,0.14102064666926373,-0.00014038594033511658,0.994,1,False,2000
15m,oos,reg_1d_dev_pctl,death_vs_winner,1779,0.2034851039910062,-0.003492878552325783,0.888,1,False,2000
15m,oos,band_lower_slope_3_atr,death_vs_rest,2567,0.14102064666926373,0.09325579206186098,0.0,-1,False,2000
15m,oos,band_lower_slope_3_atr,death_vs_winner,1779,0.2034851039910062,0.12968421057153232,0.0,-1,False,2000
15m,oos,band_lower_slope_3_pct,death_vs_rest,2567,0.14102064666926373,0.09320074968164645,0.0,-1,False,2000
