timeframe,segment,feature,threshold,n_low,n_high,death_rate_low,death_rate_high,death_diff
15m,is,rvol_sma20,0.6,621,4659,0.07890499194847021,0.0987336338270015,-0.019828641878531283
15m,is,rvol_sma20,0.8,1474,3806,0.08887381275440977,0.09931686810299527,-0.0104430553485855
15m,is,rvol_sma20,1.0,2347,2933,0.0916063059224542,0.10023866348448687,-0.008632357562032678
15m,is,rvol_sma20,1.2,3169,2111,0.0949826443673083,0.098531501657982,-0.003548857290673696
15m,is,rvol_sma50,0.6,948,4332,0.06751054852320675,0.10272391505078486,-0.035213366527578116
15m,is,rvol_sma50,0.8,1884,3396,0.08864118895966029,0.10070671378091872,-0.01206552482125843
15m,is,rvol_sma50,1.0,2787,2493,0.09185504126300682,0.10148415563578018,-0.009629114372773362
15m,is,rvol_sma50,1.2,3516,1764,0.09243458475540386,0.10430839002267574,-0.011873805267271872
15m,oos,rvol_sma20,0.6,305,2262,0.1377049180327869,0.14146772767462423,-0.003762809641837339
15m,oos,rvol_sma20,0.8,663,1904,0.1191553544494721,0.1486344537815126,-0.0294790993320405
15m,oos,rvol_sma20,1.0,1018,1549,0.12671905697445973,0.15041962556488056,-0.02370056859042083
15m,oos,rvol_sma20,1.2,1396,1171,0.1346704871060172,0.14859094790777114,-0.013920460801753937
15m,oos,rvol_sma50,0.6,460,2107,0.14130434782608695,0.14095870906502136,0.0003456387610655809
15m,oos,rvol_sma50,0.8,886,1681,0.11738148984198646,0.15348007138607972,-0.03609858154409326
15m,oos,rvol_sma50,1.0,1225,1342,0.13142857142857142,0.1497764530551416,-0.018347881626570167
15m,oos,rvol_sma50,1.2,1530,1037,0.1392156862745098,0.14368370298939248,-0.004468016714882672
1h,is,rvol_sma20,0.6,134,1314,0.06716417910447761,0.10882800608828005,-0.04166382698380244
1h,is,rvol_sma20,0.8,389,1059,0.08483290488431877,0.11237016052880075,-0.02753725564448198
1h,is,rvol_sma20,1.0,644,804,0.09627329192546584,0.11194029850746269,-0.01566700658199685
1h,is,rvol_sma20,1.2,889,559,0.10798650168728909,0.1001788908765653,0.007807610810723786
1h,is,rvol_sma50,0.6,238,1210,0.06302521008403361,0.11322314049586776,-0.05019793041183415
1h,is,rvol_sma50,0.8,489,959,0.08384458077709611,0.11574556830031282,-0.03190098752321671
1h,is,rvol_sma50,1.0,779,669,0.09370988446726572,0.11808669656203288,-0.024376812094767164
1h,is,rvol_sma50,1.2,979,469,0.10112359550561797,0.11300639658848614,-0.011882801082868169
1h,oos,rvol_sma20,0.6,102,667,0.13725490196078433,0.1409295352323838,-0.0036746332715994756
1h,oos,rvol_sma20,0.8,245,524,0.13877551020408163,0.14122137404580154,-0.0024458638417199086
1h,oos,rvol_sma20,1.0,350,419,0.13428571428571429,0.14558472553699284,-0.011299011251278551
1h,oos,rvol_sma20,1.2,450,319,0.12666666666666668,0.15987460815047022,-0.033207941483803544
1h,oos,rvol_sma50,0.6,146,623,0.1232876712328767,0.14446227929373998,-0.02117460806086327
1h,oos,rvol_sma50,0.8,268,501,0.13805970149253732,0.14171656686626746,-0.0036568653737301393
1h,oos,rvol_sma50,1.0,406,363,0.1477832512315271,0.1322314049586777,0.015551846272849418
1h,oos,rvol_sma50,1.2,522,247,0.1417624521072797,0.13765182186234817,0.0041106302449315235
4h,is,rvol_sma20,0.6,30,313,0.06666666666666667,0.11501597444089456,-0.0483493077742279
4h,is,rvol_sma20,0.8,78,265,0.10256410256410256,0.11320754716981132,-0.010643444605708763
4h,is,rvol_sma20,1.0,146,197,0.1095890410958904,0.1116751269035533,-0.0020860858076628963
4h,is,rvol_sma20,1.2,222,121,0.11711711711711711,0.09917355371900827,0.017943563398108847
4h,is,rvol_sma50,0.6,40,303,0.1,0.11221122112211221,-0.012211221122112204
4h,is,rvol_sma50,0.8,107,236,0.12149532710280374,0.1059322033898305,0.015563123712973234
4h,is,rvol_sma50,1.0,184,159,0.14130434782608695,0.07547169811320754,0.0658326497128794
4h,is,rvol_sma50,1.2,239,104,0.13389121338912133,0.057692307692307696,0.07619890569681363
4h,oos,rvol_sma20,0.6,22,193,0.13636363636363635,0.11398963730569948,0.02237399905793687
4h,oos,rvol_sma20,0.8,54,161,0.12962962962962962,0.11180124223602485,0.017828387393604775
4h,oos,rvol_sma20,1.0,94,121,0.10638297872340426,0.12396694214876033,-0.017583963425356078
4h,oos,rvol_sma20,1.2,126,89,0.1111111111111111,0.12359550561797752,-0.01248439450686642
4h,oos,rvol_sma50,0.6,22,193,0.18181818181818182,0.10880829015544041,0.07300989166274141
4h,oos,rvol_sma50,0.8,61,154,0.14754098360655737,0.1038961038961039,0.04364487971045347
4h,oos,rvol_sma50,1.0,96,119,0.13541666666666666,0.10084033613445378,0.03457633053221287
4h,oos,rvol_sma50,1.2,132,83,0.12878787878787878,0.0963855421686747,0.03240233661920408
