timeframe,segment,feature,n,positive_rate,correlation,p_value,partial_correlation,p_partial,hypothesis_sign,direction_matches
15m,is,tap_rsi,3583,0.14205972648618476,0.08990650562484195,0.0,0.04923719196360642,0.0025,1,True
15m,is,rsi_ema_slope,3583,0.14205972648618476,0.08353627853172645,0.0,0.05983943386038756,0.0005,1,True
15m,is,deepen_run_4,3583,0.14205972648618476,-0.03161157126873657,0.0535,,,1,False
15m,is,monotone_fall_4,3583,0.14205972648618476,-0.018592434809702345,0.267,,,1,False
15m,is,slope_trend_4,3583,0.14205972648618476,0.06334250957800379,0.0,,,-1,False
15m,is,deepen_run_5,3583,0.14205972648618476,-0.029780018387259802,0.0685,,,1,False
15m,is,monotone_fall_5,3583,0.14205972648618476,-0.012225645544554952,0.476,,,1,False
15m,is,slope_trend_5,3583,0.14205972648618476,0.047090284722696524,0.002,,,-1,False
15m,is,deepen_run_6,3583,0.14205972648618476,-0.028914332176916677,0.076,,,1,False
15m,is,monotone_fall_6,3583,0.14205972648618476,-0.019981638599328073,0.2435,,,1,False
15m,is,slope_trend_6,3583,0.14205972648618476,0.04155130446846028,0.007,,,-1,False
15m,oos,tap_rsi,1779,0.2034851039910062,0.13736821724866063,0.0,0.09504287886630668,0.0,1,True
15m,oos,rsi_ema_slope,1779,0.2034851039910062,0.06348581552754996,0.0075,0.036593525338797124,0.12,1,True
15m,oos,deepen_run_4,1779,0.2034851039910062,-0.01283698543420712,0.581,,,1,False
15m,oos,monotone_fall_4,1779,0.2034851039910062,-0.021194741516410043,0.3965,,,1,False
15m,oos,slope_trend_4,1779,0.2034851039910062,0.004566219655503258,0.8525,,,-1,False
15m,oos,deepen_run_5,1779,0.2034851039910062,-0.006458755635581334,0.7735,,,1,False
15m,oos,monotone_fall_5,1779,0.2034851039910062,0.0012920546859356502,1.0,,,1,True
15m,oos,slope_trend_5,1779,0.2034851039910062,0.012546677684950106,0.6065,,,-1,False
15m,oos,deepen_run_6,1779,0.2034851039910062,-0.006177010577684032,0.793,,,1,False
15m,oos,monotone_fall_6,1779,0.2034851039910062,-0.0069315480844065885,0.812,,,1,False
15m,oos,slope_trend_6,1779,0.2034851039910062,0.014052768108259544,0.547,,,-1,False
1h,is,tap_rsi,1044,0.14559386973180077,0.05447414739486614,0.0745,-0.011875124618833865,0.717,1,True
1h,is,rsi_ema_slope,1044,0.14559386973180077,0.018467153070242385,0.5555,-0.014282870458617094,0.646,1,True
1h,is,deepen_run_4,1044,0.14559386973180077,0.06941785312002458,0.0245,,,1,True
1h,is,monotone_fall_4,1044,0.14559386973180077,0.018971158425033982,0.5885,,,1,True
1h,is,slope_trend_4,1044,0.14559386973180077,-0.01950372323044854,0.5175,,,-1,True
1h,is,deepen_run_5,1044,0.14559386973180077,0.06744048831005096,0.0315,,,1,True
