timeframe,segment,feature,remove_fraction,threshold,n_subset,n_removed,base_death_rate,gate_death_rate,matched_death_mean,p_death,winner_removed_rate,death_removed_rate
15m,is,band_lower_slope_3_atr,0.25,0.007530780391692996,3583,896,0.14205972648618476,0.13732787495347973,0.14209155191663564,0.14285714285714285,0.84375,0.15625
15m,oos,band_lower_slope_3_atr,0.25,0.007530780391692996,1779,400,0.2034851039910062,0.1899927483683829,0.2021392313270486,0.047619047619047616,0.75,0.25
15m,is,band_lower_slope_3_atr,0.3333333333333333,-0.031027519346469124,3583,1194,0.14205972648618476,0.13269150272080368,0.1428003348681457,0.047619047619047616,0.8391959798994975,0.16080402010050251
15m,oos,band_lower_slope_3_atr,0.3333333333333333,-0.031027519346469124,1779,551,0.2034851039910062,0.1767100977198697,0.20248371335504892,0.047619047619047616,0.7368421052631579,0.2631578947368421
15m,is,band_lower_slope_3_atr,0.5,-0.11012720078786066,3583,1792,0.14205972648618476,0.11892797319932999,0.141820212171971,0.047619047619047616,0.8348214285714286,0.16517857142857142
15m,oos,band_lower_slope_3_atr,0.5,-0.11012720078786066,1779,822,0.2034851039910062,0.15987460815047022,0.2043887147335423,0.047619047619047616,0.745742092457421,0.2542579075425791
15m,is,band_lower_slope_3_pct,0.25,4.1908234561604446e-05,3583,896,0.14205972648618476,0.13770003721622628,0.14209155191663564,0.23809523809523808,0.8448660714285714,0.15513392857142858
15m,oos,band_lower_slope_3_pct,0.25,4.1908234561604446e-05,1779,399,0.2034851039910062,0.1891304347826087,0.20221014492753625,0.047619047619047616,0.7468671679197995,0.2531328320802005
15m,is,band_lower_slope_3_pct,0.3333333333333333,-0.00017835830741290962,3583,1194,0.14205972648618476,0.13059857681038092,0.1428003348681457,0.047619047619047616,0.8350083752093802,0.16499162479061977
15m,oos,band_lower_slope_3_pct,0.3333333333333333,-0.00017835830741290962,1779,567,0.2034851039910062,0.16831683168316833,0.2022689768976898,0.047619047619047616,0.7213403880070547,0.2786596119929453
15m,is,band_lower_slope_3_pct,0.5,-0.0007302709142299854,3583,1792,0.14205972648618476,0.11892797319932999,0.141820212171971,0.047619047619047616,0.8348214285714286,0.16517857142857142
15m,oos,band_lower_slope_3_pct,0.5,-0.0007302709142299854,1779,901,0.2034851039910062,0.15261958997722094,0.2034738041002278,0.047619047619047616,0.7469478357380688,0.25305216426193117
15m,is,band_lower_slope_5_atr,0.25,0.02255479819951936,3583,896,0.14205972648618476,0.14067733531819873,0.14209155191663564,0.42857142857142855,0.8537946428571429,0.14620535714285715
15m,oos,band_lower_slope_5_atr,0.25,0.02255479819951936,1779,401,0.2034851039910062,0.19085631349782292,0.20206821480406387,0.047619047619047616,0.7531172069825436,0.24688279301745636
15m,is,band_lower_slope_5_atr,0.3333333333333333,-0.013413711561714862,3583,1194,0.14205972648618476,0.13143574717455003,0.1428003348681457,0.047619047619047616,0.8366834170854272,0.16331658291457288
15m,oos,band_lower_slope_5_atr,0.3333333333333333,-0.013413711561714862,1779,558,0.2034851039910062,0.1891891891891892,0.20253890253890253,0.047619047619047616,0.7652329749103942,0.23476702508960573
15m,is,band_lower_slope_5_atr,0.5,-0.08033211148656817,3583,1792,0.14205972648618476,0.12227805695142378,0.141820212171971,0.047619047619047616,0.8381696428571429,0.16183035714285715
15m,oos,band_lower_slope_5_atr,0.5,-0.08033211148656817,1779,850,0.2034851039910062,0.16576964477933262,0.20430570505920342,0.047619047619047616,0.7552941176470588,0.2447058823529412
15m,is,band_lower_slope_5_pct,0.25,0.0001432739585133368,3583,896,0.14205972648618476,0.1384443617417194,0.14209155191663564,0.2857142857142857,0.8470982142857143,0.15290178571428573
15m,oos,band_lower_slope_5_pct,0.25,0.0001432739585133368,1779,377,0.2034851039910062,0.19258202567760344,0.20189015691868759,0.047619047619047616,0.7559681697612732,0.2440318302387268
15m,is,band_lower_slope_5_pct,0.3333333333333333,-7.79166910653003e-05,3583,1194,0.14205972648618476,0.13185433235663457,0.1428003348681457,0.047619047619047616,0.8375209380234506,0.1624790619765494
15m,oos,band_lower_slope_5_pct,0.3333333333333333,-7.79166910653003e-05,1779,567,0.2034851039910062,0.1848184818481848,0.2022689768976898,0.047619047619047616,0.7566137566137566,0.24338624338624337
15m,is,band_lower_slope_5_pct,0.5,-0.0005197167924165813,3583,1792,0.14205972648618476,0.12060301507537688,0.141820212171971,0.047619047619047616,0.8364955357142857,0.16350446428571427
15m,oos,band_lower_slope_5_pct,0.5,-0.0005197167924165813,1779,905,0.2034851039910062,0.15102974828375287,0.20354691075514872,0.047619047619047616,0.7458563535911602,0.2541436464088398
1h,is,band_lower_slope_3_atr,0.25,0.03117158456132721,1044,261,0.14559386973180077,0.13409961685823754,0.14342273307790548,0.19047619047619047,0.8199233716475096,0.18007662835249041
1h,oos,band_lower_slope_3_atr,0.25,0.03117158456132721,530,102,0.2037735849056604,0.1939252336448598,0.20467289719626164,0.19047619047619047,0.7549019607843137,0.24509803921568626
1h,is,band_lower_slope_3_atr,0.3333333333333333,-0.00868119269975361,1044,348,0.14559386973180077,0.13505747126436782,0.14418103448275862,0.14285714285714285,0.8333333333333334,0.16666666666666666
