symbol,timeframe,segment,window_start,window_end,window_days,eligible,filled_base,trades_base,no_touch,expired,invalidated,cond_failed,filled_wait,trades_wait,missed_reentries,slot_busy_skips,peak_concurrent_waiting,mean_concurrent_waiting,total_return_base,total_return_wait,mdd_base,mdd_wait,funding_coverage
BTC/USDT:USDT,4h,full,1600128000000,1784678400000,2136.0,86,60,52,0,9,17,0,68,56,8,8,5,0.16104868913857678,25.80248461440513,29.918290095505927,5.256470016774714,4.8949644456742085,0.8647003745318352
BTC/USDT:USDT,1h,full,1600128000000,1784678400000,2136.0,485,344,254,0,54,87,0,378,268,34,90,5,0.22705992509363296,98.93945855778715,108.53576849625104,5.0880373680385,5.058930050822022,0.8647003745318352
ETH/USDT:USDT,4h,full,1600128000000,1784678400000,2136.0,120,84,68,0,13,23,0,92,72,8,16,6,0.2247191011235955,36.7972332430133,44.94636716261983,4.711524117818985,4.7115241178189775,0.8647003745318352
ETH/USDT:USDT,1h,full,1600128000000,1784678400000,2136.0,463,316,250,0,55,92,0,348,262,32,66,6,0.21676029962546817,129.1865427922825,154.69546921358682,9.923531382306281,9.923531382306303,0.8647003745318352
SOL/USDT:USDT,4h,full,1600128000000,1784678400000,2136.0,126,88,76,0,13,25,0,93,76,5,12,5,0.23595505617977527,33.64607263108505,33.64607263108505,4.127244900984847,4.127244900984847,0.8764044943820225
SOL/USDT:USDT,1h,full,1600128000000,1784678400000,2136.0,498,357,280,0,56,85,0,394,296,37,77,6,0.23314606741573032,99.17816651373589,125.66476528844164,7.808988476747407,8.610641478988864,0.8764044943820225
BNB/USDT:USDT,4h,full,1600128000000,1784678400000,2136.0,107,71,61,0,12,24,0,78,63,7,10,6,0.20037453183520598,36.20290124854666,33.4353797206295,3.655780647703523,3.6557806477035113,0.8647003745318352
BNB/USDT:USDT,1h,full,1600128000000,1784678400000,2136.0,421,296,220,0,44,81,0,321,225,25,76,7,0.19709737827715357,106.7979652057256,120.80467841538885,7.825526785664367,7.825526785664357,0.8647003745318352
XRP/USDT:USDT,4h,full,1600128000000,1784678400000,2136.0,102,69,58,0,10,23,0,73,60,4,11,5,0.19101123595505617,23.54777687168118,24.02134237324273,4.197993634679846,4.197993634679847,0.8647003745318352
XRP/USDT:USDT,1h,full,1600128000000,1784678400000,2136.0,484,317,246,0,55,112,0,344,255,27,71,7,0.22659176029962547,151.02486946241672,161.00032801062054,9.908367511846773,10.895854258789793,0.8647003745318352
TRX/USDT:USDT,4h,full,1600128000000,1784678400000,2136.0,131,86,69,0,16,29,0,93,71,7,17,5,0.24531835205992508,44.72588997146612,45.25181021017046,3.174749222355513,3.297723396432629,0.8647003745318352
TRX/USDT:USDT,1h,full,1600128000000,1784678400000,2136.0,463,330,227,0,63,70,0,355,234,25,103,6,0.21676029962546817,102.97312523163895,108.63202794468383,3.9979054087469352,3.779635050000554,0.8647003745318352
DOGE/USDT:USDT,4h,full,1600128000000,1784678400000,2136.0,109,82,63,0,12,15,0,86,64,4,19,6,0.20411985018726592,25.64398219993025,24.352087219874484,4.290245639092527,5.274351276595099,0.0
DOGE/USDT:USDT,1h,full,1600128000000,1784678400000,2136.0,423,292,232,0,58,73,0,327,246,35,60,6,0.19803370786516855,139.3011522071071,152.31352180815193,5.865260036753162,5.001428612623558,0.0
LINK/USDT:USDT,4h,full,1600128000000,1784678400000,2136.0,112,66,59,0,21,25,0,78,61,12,7,5,0.20973782771535582,31.639369460307172,35.29248645212914,4.047994906380022,3.748083327504347,0.0
LINK/USDT:USDT,1h,full,1600128000000,1784678400000,2136.0,503,329,266,0,55,119,0,354,273,25,63,6,0.23548689138576778,89.84227321323549,80.71262889889785,6.055816693638752,7.0839978784680415,0.0
LTC/USDT:USDT,4h,full,1600128000000,1784678400000,2136.0,95,67,53,0,6,22,0,70,54,3,14,4,0.17790262172284643,23.49005568532921,25.30240316289166,4.105744500519392,4.105744500519379,0.0
LTC/USDT:USDT,1h,full,1600128000000,1784678400000,2136.0,457,303,242,0,45,109,0,330,249,27,61,5,0.2136196941323346,55.35891210943633,56.82803625926904,8.556436412275763,8.556436412275715,0.0
