symbol,timeframe,window_start,window_end,seeds,adopted_entries,tp_entries,reentries_total,re_is_n,actual_is_net_pp,null_is_mean_net_pp,p_is,re_oos_n,actual_oos_net_pp,null_oos_mean_net_pp,p_oos,funding_coverage
BTC/USDT:USDT,4h,1600128000000,1784678400000,20,52,33,36,27,19.441243025594137,-119.864554303205,0.047619047619047616,9,17.955561815524167,-47.843280676769716,0.047619047619047616,0.8647003745318352
BTC/USDT:USDT,1h,1600128000000,1784678400000,20,254,155,168,112,69.55432919081554,-664.4627138000028,0.047619047619047616,56,12.03783044367905,-512.7152824316788,0.047619047619047616,0.8647003745318352
ETH/USDT:USDT,4h,1600128000000,1784678400000,20,68,42,48,32,20.37785242433678,-208.07728525459848,0.09523809523809523,16,-6.780652199555382,-97.41418919949828,0.09523809523809523,0.8647003745318352
ETH/USDT:USDT,1h,1600128000000,1784678400000,20,250,157,138,80,16.099942304358937,-535.0474687085155,0.047619047619047616,58,18.882023109502853,-270.68392436049595,0.047619047619047616,0.8647003745318352
SOL/USDT:USDT,4h,1600128000000,1784678400000,20,76,44,40,15,27.157899373233207,-273.8950882042418,0.047619047619047616,25,13.267170603964313,-210.61438023854976,0.047619047619047616,0.8764044943820225
SOL/USDT:USDT,1h,1600128000000,1784678400000,20,280,153,177,109,107.81460245556441,-709.902923734262,0.047619047619047616,68,7.344698968396943,-304.96650183025184,0.047619047619047616,0.8764044943820225
BNB/USDT:USDT,4h,1600128000000,1784678400000,20,61,38,50,35,21.94257932513518,126.1977245493545,1.0,15,1.6359353852623657,-56.041513748007695,0.19047619047619047,0.8647003745318352
BNB/USDT:USDT,1h,1600128000000,1784678400000,20,220,134,124,77,34.498621008220205,419.9530642892746,1.0,47,-5.173723974844986,-87.22905908701992,0.047619047619047616,0.8647003745318352
XRP/USDT:USDT,4h,1600128000000,1784678400000,20,58,34,26,15,10.104583132846278,-163.53953361948865,0.047619047619047616,11,-1.9767923698302035,-42.84061292400522,0.047619047619047616,0.8647003745318352
XRP/USDT:USDT,1h,1600128000000,1784678400000,20,246,153,149,108,55.38697555632805,-207.0386383872151,0.047619047619047616,41,-6.542527332475714,-218.2285311642867,0.047619047619047616,0.8647003745318352
TRX/USDT:USDT,4h,1600128000000,1784678400000,20,69,46,46,29,17.211433161635973,-31.748387650218746,0.19047619047619047,17,4.36923934952211,-4.824528849365739,0.47619047619047616,0.8647003745318352
TRX/USDT:USDT,1h,1600128000000,1784678400000,20,227,143,138,105,42.15670421828142,-536.5648153002485,0.047619047619047616,33,0.5809280422435897,-54.27206643117468,0.047619047619047616,0.8647003745318352
DOGE/USDT:USDT,4h,1600128000000,1784678400000,20,63,37,52,30,74.20253656682257,-28.834386559268673,0.23809523809523808,22,5.560712694129874,-149.5948183364804,0.09523809523809523,0.0
DOGE/USDT:USDT,1h,1600128000000,1784678400000,20,232,141,139,91,33.46444235313339,-449.18459905364926,0.047619047619047616,48,-13.014398172948608,-210.51823517395573,0.047619047619047616,0.0
LINK/USDT:USDT,4h,1600128000000,1784678400000,20,59,36,37,26,28.878081877026837,-183.09903290444416,0.047619047619047616,11,0.8373351390543942,-48.39720598743213,0.09523809523809523,0.0
LINK/USDT:USDT,1h,1600128000000,1784678400000,20,266,146,161,101,22.110222743934827,-377.809561818744,0.047619047619047616,60,8.424120007774869,-177.26287384867942,0.047619047619047616,0.0
LTC/USDT:USDT,4h,1600128000000,1784678400000,20,53,31,33,15,5.115361227693912,-162.43795951598045,0.047619047619047616,18,17.2134451732709,-131.54604366974044,0.047619047619047616,0.0
LTC/USDT:USDT,1h,1600128000000,1784678400000,20,242,132,124,74,12.693177424009807,-474.08815764402016,0.047619047619047616,50,25.385275974271302,-248.21192678965508,0.047619047619047616,0.0
