cap_on,scope,segment,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,adv_capped_entries,first_adv_cap_time,first_adv_cap_equity
False,both,full,,36,9,11626,0.5779287803199725,19741530939.372326,0.22061126943759654,11,0.10861381649176806,5.000000000000001,0,8158,0,,
False,both,is,,36,9,7707,0.5917996626443492,104452366.26721576,0.22061126943759654,11,0.10861381649176806,5.000000000000001,0,5103,0,,
False,both,oos_warm,,36,9,3919,0.5506506761929063,188.00032097758435,0.1652786864330193,11,0.10135924091035685,5.000000000000001,0,3055,0,,
False,both,oos,,36,9,3844,0.5470863683662851,127.46378656252097,0.1739982483281592,8,0.07937040461078997,5.000000000000001,0,3020,0,,
False,15m,full,,9,9,7847,0.5723206320886963,231650.20707020492,0.18030552847439274,5,0.049976751382919675,5.000000000000001,0,6697,0,,
False,15m,is,,9,9,5280,0.5821969696969697,17087.153626927717,0.16884324208906237,5,0.049976751382919675,5.000000000000001,0,4295,0,,
False,15m,oos_warm,,9,9,2567,0.5520062329567589,12.556245579696007,0.13882874506381093,5,0.03981943641701782,5.0,0,2402,0,,
False,15m,oos,,9,9,2534,0.5493291239147593,10.636464619305748,0.14230554763103925,5,0.03981943641701783,5.0,0,2374,0,,
False,1h,full,,9,9,2217,0.5926928281461434,641.7856372420684,0.11228275127520859,6,0.05,5.0,0,1103,0,,
False,1h,is,,9,9,1447,0.6164478230822391,153.7375063288934,0.11228275127520859,6,0.05,5.0,0,635,0,,
False,1h,oos_warm,,9,9,770,0.548051948051948,3.1540390076846228,0.07902928141698418,4,0.04,3.952510444038805,0,468,0,,
False,1h,oos,,9,9,756,0.5436507936507936,2.756864874779375,0.07902928141698401,4,0.039999999999999994,3.952510444038806,0,465,0,,
False,2h,full,,9,9,1075,0.587906976744186,32.79754271039244,0.11024736322397759,5,0.05,3.19916733640608,0,312,0,,
False,2h,is,,9,9,680,0.6044117647058823,12.77654967929073,0.11024736322397759,5,0.05,2.770839064446101,0,153,0,,
False,2h,oos_warm,,9,9,395,0.5594936708860759,1.4532661295591145,0.09354882481907655,4,0.04010504603420117,3.1991673364060804,0,159,0,,
False,2h,oos,,9,9,378,0.5555555555555556,1.2627458370296627,0.10341710661052343,4,0.04010504603420116,3.1991673364060804,0,157,0,,
False,4h,full,,9,9,559,0.6100178890876565,10.087425797960655,0.09037676612439167,7,0.07,3.427839819273696,0,57,0,,
False,4h,is,,9,9,344,0.6337209302325582,4.397020812148576,0.09037676612439167,7,0.07,3.232231889439166,0,25,0,,
False,4h,oos_warm,,9,9,215,0.5720930232558139,1.0543603932382652,0.06300854459880434,5,0.04535375294728064,3.4278398192736965,0,32,0,,
False,4h,oos,,9,9,202,0.5594059405940595,0.85704165609101,0.05853109599862348,5,0.04535375294728063,3.427839819273697,0,31,0,,
False,both,oos_warm,BNB,32,8,3601,0.5526242710358233,138.94527386689165,0.15973230770998872,11,0.10135924091035686,5.0,0,2796,0,,
False,both,oos_warm,BTC,32,8,3609,0.5533388750346356,157.9524261859288,0.1845580845194627,11,0.10989005815510479,5.000000000000001,0,2783,0,,
