symbol,timeframe,segment,lens,combine_obs,real_total_return,real_num_trades,real_long,real_short,pool_size,real_zones,fake_zones,pool_k,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold
BTC/USDT:USDT,4h,is,baseline,False,0.2211799469355113,37,37,0,291,244,1952,8,0.1069285345248898,-0.0290823263698175,0.2243323690927907,0.035,200,0,4.737081522462245
BTC/USDT:USDT,4h,is,pen_5bp,False,0.1755827587547537,33,33,0,281,244,1952,8,0.0892525472367444,-0.0350198057804138,0.2154754412431997,0.085,200,0,4.737081522462245
BTC/USDT:USDT,4h,oos_warm,baseline,False,0.0301715560438087,15,15,0,221,363,2904,8,0.0392002365118121,-0.0419176716233278,0.1036211913527975,0.58,200,0,0.0802191530647187
BTC/USDT:USDT,4h,oos_warm,pen_5bp,False,0.0309502629834083,13,13,0,203,363,2904,8,0.0240466739443888,-0.0422123643683917,0.088444188244833,0.415,200,0,0.0802191530647187
ETH/USDT:USDT,4h,is,baseline,False,0.1981860095807307,43,43,0,394,248,1984,8,0.1972075407118499,0.0658931183896569,0.3324863483754412,0.5,200,0,6.128286238337011
ETH/USDT:USDT,4h,is,pen_5bp,False,0.1535027840719363,41,41,0,379,248,1984,8,0.178805426520049,0.0484904189057446,0.314630400127886,0.655,200,0,6.128286238337011
ETH/USDT:USDT,4h,oos_warm,baseline,False,0.1417028086555727,25,25,0,227,366,2928,8,0.1255311240202161,0.023253931641627,0.2404142739544444,0.385,200,0,-0.2867911916521223
ETH/USDT:USDT,4h,oos_warm,pen_5bp,False,0.1417019086764476,25,25,0,217,366,2928,8,0.1279999147504917,0.0056563200086273,0.2361762228565228,0.355,200,0,-0.2867911916521223
SOL/USDT:USDT,4h,is,baseline,False,0.1839623396345101,38,38,0,374,243,1944,8,0.2134337819397417,0.0775865860979116,0.3530045865264956,0.67,200,0,49.09800307219662
SOL/USDT:USDT,4h,is,pen_5bp,False,0.1674289009064736,37,37,0,367,243,1944,8,0.1927535882056398,0.0620206140876043,0.3057328214865419,0.63,200,0,49.09800307219662
