symbol,timeframe,segment,direction,n_obs,retrace_rate,disp_median,retrace_rate_lo_disp,retrace_rate_hi_disp,disp_retrace_delta,median_bars_to_retrace,bars_to_retrace_lo_disp,bars_to_retrace_hi_disp,bars_to_retrace_delta,n_never,never_frac_broke,never_mfe_r_median,never_mae_r_median,never_frac_reach_tp,never_gross_r_mean,never_net_r_mean
BTC/USDT:USDT,15m,full,long,3060,0.9761437908496732,0.4322247977551792,0.9803921568627451,0.9718954248366013,-0.00849673202614376,25.0,22.0,29.0,7.0,73,0.0,317.24918018932243,0.3040226370724473,0.9861111111111112,1.4946929501002535,1.3013370824870745
BTC/USDT:USDT,15m,full,short,2938,0.9894486044928523,0.4060734268059294,0.988427501701838,0.9904697072838666,0.002042205582028611,26.0,22.0,31.0,9.0,31,0.0,28.247480889506676,0.25964125560535506,1.0,1.5,1.3286200346151547
BTC/USDT:USDT,15m,is,long,2044,0.9686888454011742,0.4478667428236719,0.9755381604696673,0.961839530332681,-0.013698630136986356,24.0,19.5,29.0,9.5,64,0.0,372.7079151519612,0.3097865395185713,1.0,1.5,1.304475977249692
BTC/USDT:USDT,15m,is,short,1930,1.0,0.4182189304955334,1.0,1.0,0.0,25.0,21.0,34.0,13.0,0,,,,,,
BTC/USDT:USDT,15m,oos_warm,long,1016,0.9911417322834646,0.38632116902246927,0.9901574803149606,0.9921259842519685,0.0019685039370078705,28.0,24.0,33.0,9.0,9,0.0,8.293272789405354,0.1989334136428902,0.875,1.4522365509022812,1.2762259243861331
BTC/USDT:USDT,15m,oos_warm,short,1008,0.9692460317460317,0.38228035360772794,0.9682539682539683,0.9702380952380952,0.001984126984126977,26.0,24.0,28.0,4.0,31,0.0,28.247480889506676,0.25964125560535506,1.0,1.5,1.3286200346151547
ETH/USDT:USDT,15m,full,long,3073,0.9856817442238854,0.4122551460180104,0.9843851659076123,0.9869791666666666,0.00259400075905436,26.0,21.0,34.0,13.0,44,0.0,157.01902242551344,0.3002390615690457,0.9772727272727273,1.4787826135434476,1.3859757264823869
ETH/USDT:USDT,15m,full,short,2919,0.986296676944159,0.4270588490632335,0.989041095890411,0.9835503769705277,-0.005490718919883286,30.0,24.0,39.0,15.0,40,0.0,25.709300817522795,0.39445081452895725,0.975,1.4571934569809377,1.3254995984976194
ETH/USDT:USDT,15m,is,long,2021,0.9846610588817417,0.41995081486370445,0.9831849653808111,0.9861386138613861,0.0029536484805749996,26.0,21.0,33.0,12.0,31,0.0,233.50622665006307,0.31625441696113243,1.0,1.5,1.4101002272825967
ETH/USDT:USDT,15m,is,short,1945,1.0,0.44054841847270354,1.0,1.0,0.0,31.0,23.0,42.0,19.0,0,,,,,,
ETH/USDT:USDT,15m,oos_warm,long,1052,0.9876425855513308,0.4021311338613686,0.9866920152091255,0.9885931558935361,0.0019011406844106071,27.0,20.0,35.0,15.0,13,0.0,6.940731901352399,0.2842237061769589,0.9230769230769231,1.4281873073778226,1.3284480707280422
