symbol,timeframe,segment,direction,entry_point,stop_variant,rsi_gate,real_total_return,real_num_trades,real_mean_net_r,real_max_drawdown,returned_n,returned_mean_net_r,never_n,never_mean_net_r,pool_size,fake_zones,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,retap_total_return,retap_num_trades,buy_hold
BTC/USDT:USDT,1h,is,long,A_close,ob,False,-0.2503906779824316,259,-0.10981887468322979,0.4243351937120582,243,-0.2096655509821371,16,1.406602521606424,4159,7896,-0.08815774197807802,-0.2789658110763704,0.1295770672674571,0.955,200,,,4.777387162090623
BTC/USDT:USDT,1h,is,long,A_close,ob,True,0.0,0,,0.0,0,,0,,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,long,A_close,atr,False,-0.3567367178792161,488,-0.10202897486092916,0.4298975582461788,458,-0.13500380456737143,30,0.40138675865742324,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,long,A_close,atr,True,0.0,0,,0.0,0,,0,,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,long,B_open,ob,False,-0.1888275138909351,261,-0.07862840981928916,0.40520749446081017,245,-0.17562306135038544,16,1.406602191750623,4159,7896,-0.06848702897969047,-0.2786281348459274,0.14123130642137494,0.845,200,,,4.777387162090623
BTC/USDT:USDT,1h,is,long,B_open,ob,True,0.0,0,,0.0,0,,0,,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,long,B_open,atr,False,-0.3556875326596808,495,-0.10122180653692606,0.4279210682466088,465,-0.1336481432143813,30,0.40138641196362995,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,long,B_open,atr,True,0.0,0,,0.0,0,,0,,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,short,A_close,ob,False,-0.17507112714766446,241,-0.07452779706929251,0.2544162617327305,238,-0.09390872217899861,3,1.4630255949673918,3729,7896,-0.12109787380768944,-0.30691760389271977,0.09221346277654975,0.705,200,,,4.777387162090623
BTC/USDT:USDT,1h,is,short,A_close,ob,True,0.0025749563704235696,2,0.1355684313046892,0.010402297470693702,2,0.1355684313046892,0,,16,7896,0.0037575780734650645,0.002520443224769224,0.005699338959148008,0.975,200,,,4.777387162090623
BTC/USDT:USDT,1h,is,short,A_close,atr,False,-0.41203715566951044,450,-0.13946795991162916,0.4853227763717002,445,-0.15587232443220844,5,1.3205204824199317,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,short,A_close,atr,True,0.0015772475470719656,2,0.08577661362973621,0.01093292885031915,2,0.08577661362973621,0,,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,short,B_open,ob,False,-0.15712091880986373,246,-0.06409881504145011,0.23808597552399552,243,-0.08294358816822511,3,1.4623278082273254,3729,7896,-0.12978750524626792,-0.30345510239533113,0.07404290578644995,0.59,200,,,4.777387162090623
BTC/USDT:USDT,1h,is,short,B_open,ob,True,0.0,0,,0.0,0,,0,,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,short,B_open,atr,False,-0.4053359903350004,453,-0.13613173372595466,0.4738008208070711,448,-0.15237161774284705,5,1.3189618741876081,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,short,B_open,atr,True,0.0,0,,0.0,0,,0,,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,both,A_close,ob,False,-0.36301644230583224,299,-0.1447609057872047,0.4575212348599201,285,-0.22153844871375036,14,1.4182105037889026,7888,7896,-0.12155209613385161,-0.3343688300550949,0.12030310229158513,0.99,200,,,4.777387162090623
BTC/USDT:USDT,1h,is,both,A_close,ob,True,0.0025749563704235696,2,0.1355684313046892,0.010402297470693702,2,0.1355684313046892,0,,16,7896,0.0037575780734650645,0.002520443224769224,0.005699338959148008,0.975,200,,,4.777387162090623
BTC/USDT:USDT,1h,is,both,A_close,atr,False,-0.6003601262425318,912,-0.11604360284431371,0.6672922296906842,877,-0.1419338323441693,35,0.5326915763377817,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,both,A_close,atr,True,0.0015772475470719656,2,0.08577661362973621,0.01093292885031915,2,0.08577661362973621,0,,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,both,B_open,ob,False,-0.21558261468509035,305,-0.0730979136820736,0.3697564599679204,291,-0.14522641948246137,14,1.4261445997402722,7888,7896,-0.1021411920574687,-0.32785509574480903,0.2131205940303389,0.805,200,,,4.777387162090623
BTC/USDT:USDT,1h,is,both,B_open,ob,True,0.0,0,,0.0,0,,0,,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,both,B_open,atr,False,-0.5988034372066681,927,-0.11481693070050755,0.6621517613268544,892,-0.14021490637804643,35,0.5324686208527698,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,is,both,B_open,atr,True,0.0,0,,0.0,0,,0,,0,7896,,,,,0,,,4.777387162090623
BTC/USDT:USDT,1h,oos_warm,long,A_close,ob,False,-0.082224401168857,111,-0.07000708738264562,0.15137369928224753,107,-0.1149251891554379,4,1.1315521350395492,2104,12064,-0.03258783541608332,-0.17727360228404213,0.10763705908977117,0.765,200,,,0.08301096146083098
