symbol,timeframe,segment,arm,num_candidates,num_trades,win_rate,total_return,max_drawdown
BTC/USDT:USDT,1h,full,off,344,254,0.610236220472441,0.9893945855778715,0.050880373680385
BTC/USDT:USDT,1h,full,freeze,512,319,0.6081504702194357,1.4198497937280667,0.07168871505392178
BTC/USDT:USDT,1h,full,band,473,287,0.6167247386759582,1.2205426201066094,0.0613055355325676
BTC/USDT:USDT,1h,is,off,220,169,0.6568047337278107,0.8817102472013572,0.04261686530739744
BTC/USDT:USDT,1h,is,freeze,332,214,0.6401869158878505,1.154870040104259,0.04261686530739739
BTC/USDT:USDT,1h,is,band,303,192,0.6614583333333334,1.0586796523469897,0.042616865307397306
BTC/USDT:USDT,1h,oos_warm,off,124,85,0.5176470588235295,0.0572268437909981,0.05088037368038528
BTC/USDT:USDT,1h,oos_warm,freeze,180,105,0.5428571428571428,0.12296785824308444,0.07168871505392155
BTC/USDT:USDT,1h,oos_warm,band,170,95,0.5263157894736842,0.07862465030685671,0.06130553553256766
BTC/USDT:USDT,1h,oos,off,124,85,0.5176470588235295,0.0572268437909981,0.05088037368038528
BTC/USDT:USDT,1h,oos,freeze,180,105,0.5428571428571428,0.12296785824308444,0.07168871505392155
BTC/USDT:USDT,1h,oos,band,170,95,0.5263157894736842,0.07862465030685671,0.06130553553256766
BTC/USDT:USDT,2h,full,off,161,120,0.6083333333333333,0.48688265642973527,0.04580640454963048
BTC/USDT:USDT,2h,full,freeze,237,153,0.6143790849673203,0.7077744083294522,0.06221244741880167
BTC/USDT:USDT,2h,full,band,232,151,0.6225165562913907,0.7230094689469133,0.05257062624575937
BTC/USDT:USDT,2h,is,off,105,80,0.6125,0.3625890535014647,0.04580640454963048
BTC/USDT:USDT,2h,is,freeze,151,99,0.6161616161616161,0.4674246434520219,0.06221244741880167
BTC/USDT:USDT,2h,is,band,152,100,0.63,0.5166898453752307,0.05257062624575937
BTC/USDT:USDT,2h,oos_warm,off,56,40,0.6,0.09121870061180362,0.03408726764964041
BTC/USDT:USDT,2h,oos_warm,freeze,86,54,0.6111111111111112,0.16379019253215102,0.03408726764964031
BTC/USDT:USDT,2h,oos_warm,band,80,51,0.6078431372549019,0.13603283769638366,0.03731370145410069
BTC/USDT:USDT,2h,oos,off,56,40,0.6,0.09121870061180362,0.03408726764964041
BTC/USDT:USDT,2h,oos,freeze,86,54,0.6111111111111112,0.16379019253215102,0.03408726764964031
BTC/USDT:USDT,2h,oos,band,80,51,0.6078431372549019,0.13603283769638366,0.03731370145410069
BTC/USDT:USDT,4h,full,off,60,52,0.6346153846153846,0.2580248461440513,0.05256470016774714
BTC/USDT:USDT,4h,full,freeze,96,78,0.6410256410256411,0.4331336223615077,0.040978312387469976
BTC/USDT:USDT,4h,full,band,86,67,0.6417910447761194,0.3688912917018699,0.0447051989120062
BTC/USDT:USDT,4h,is,off,40,37,0.6756756756756757,0.22117994693551135,0.05256470016774714
BTC/USDT:USDT,4h,is,freeze,67,56,0.6428571428571429,0.2998826623191846,0.040978312387469976
BTC/USDT:USDT,4h,is,band,59,47,0.6808510638297872,0.3051659553592022,0.0447051989120062
BTC/USDT:USDT,4h,oos_warm,off,20,15,0.5333333333333333,0.030171556043808778,0.046766141931767945
BTC/USDT:USDT,4h,oos_warm,freeze,29,22,0.6363636363636364,0.10250999102071509,0.02920312180790341
BTC/USDT:USDT,4h,oos_warm,band,27,20,0.55,0.048825466279596365,0.039772542288860645
BTC/USDT:USDT,4h,oos,off,20,15,0.5333333333333333,0.030171556043808778,0.046766141931767945
BTC/USDT:USDT,4h,oos,freeze,29,22,0.6363636363636364,0.10250999102071509,0.02920312180790341
BTC/USDT:USDT,4h,oos,band,27,20,0.55,0.048825466279596365,0.039772542288860645
ETH/USDT:USDT,1h,full,off,316,250,0.628,1.291865427922825,0.09923531382306282
ETH/USDT:USDT,1h,full,freeze,454,321,0.6074766355140186,1.4973296166887766,0.12095107790714354
ETH/USDT:USDT,1h,full,band,442,299,0.6220735785953178,1.6310972799124963,0.09923531382306289
ETH/USDT:USDT,1h,is,off,199,159,0.5723270440251572,0.4273802016549262,0.09923531382306282
ETH/USDT:USDT,1h,is,freeze,279,198,0.5606060606060606,0.4619807461047161,0.12095107790714354
ETH/USDT:USDT,1h,is,band,276,188,0.574468085106383,0.5134351405538867,0.09923531382306289
ETH/USDT:USDT,1h,oos_warm,off,117,91,0.7252747252747253,0.6056446805592521,0.02133027532346156
ETH/USDT:USDT,1h,oos_warm,freeze,175,123,0.6829268292682927,0.7081822885442441,0.02173117007826029
ETH/USDT:USDT,1h,oos_warm,band,166,111,0.7027027027027027,0.7384935828499172,0.0213302753234616
ETH/USDT:USDT,1h,oos,off,114,88,0.7159090909090909,0.5541904731200539,0.021330275323461538
ETH/USDT:USDT,1h,oos,freeze,170,118,0.6864406779661016,0.6895312808734492,0.021731170078260333
ETH/USDT:USDT,1h,oos,band,162,107,0.7009345794392523,0.7012513730259671,0.021330275323461625
ETH/USDT:USDT,2h,full,off,158,130,0.5692307692307692,0.4633047185509753,0.04791979977714152
ETH/USDT:USDT,2h,full,freeze,230,160,0.55625,0.4922345009683395,0.03936128877938129
ETH/USDT:USDT,2h,full,band,220,153,0.6013071895424836,0.6505419231808406,0.04387692047929271
ETH/USDT:USDT,2h,is,off,92,78,0.5512820512820513,0.24196140970615743,0.04791979977714152
ETH/USDT:USDT,2h,is,freeze,134,96,0.5520833333333334,0.27384419839330365,0.03936128877938129
ETH/USDT:USDT,2h,is,band,125,90,0.5777777777777777,0.3204075815769424,0.04387692047929271
ETH/USDT:USDT,2h,oos_warm,off,66,52,0.5961538461538461,0.17822076202608095,0.025957895948020285
ETH/USDT:USDT,2h,oos_warm,freeze,96,64,0.5625,0.17144192582616397,0.03901280450489681
ETH/USDT:USDT,2h,oos_warm,band,95,63,0.6349206349206349,0.25002457287440266,0.02595789594802037
ETH/USDT:USDT,2h,oos,off,62,48,0.6041666666666666,0.17306339116005712,0.025450523260225743
ETH/USDT:USDT,2h,oos,freeze,90,59,0.559322033898305,0.1535914043569688,0.03901280450489681
ETH/USDT:USDT,2h,oos,band,88,57,0.631578947368421,0.2210102263716204,0.02412796378962807
ETH/USDT:USDT,4h,full,off,84,68,0.6176470588235294,0.36797233243013305,0.04711524117818985
ETH/USDT:USDT,4h,full,freeze,132,92,0.6086956521739131,0.4810415237930607,0.042791929161537394
ETH/USDT:USDT,4h,full,band,121,81,0.5679012345679012,0.3183332810871787,0.05678182414089719
ETH/USDT:USDT,4h,is,off,53,43,0.6046511627906976,0.19818600958073077,0.04711524117818985
ETH/USDT:USDT,4h,is,freeze,85,57,0.631578947368421,0.30391264557225584,0.042791929161537394
ETH/USDT:USDT,4h,is,band,76,48,0.5833333333333334,0.19517730993250407,0.05678182414089719
ETH/USDT:USDT,4h,oos_warm,off,31,25,0.64,0.1417028086555727,0.021519118346970754
ETH/USDT:USDT,4h,oos_warm,freeze,47,35,0.5714285714285714,0.1358441294532184,0.031608978720178725
ETH/USDT:USDT,4h,oos_warm,band,45,33,0.5454545454545454,0.10304410076328441,0.03810758898227841
ETH/USDT:USDT,4h,oos,off,28,22,0.5909090909090909,0.09348490631605255,0.02151911834697082
ETH/USDT:USDT,4h,oos,freeze,40,28,0.5,0.052576474770007736,0.03160897872017874
ETH/USDT:USDT,4h,oos,band,40,28,0.5,0.05235965278173553,0.038107588982278486
SOL/USDT:USDT,1h,full,off,357,280,0.5464285714285714,0.9917816651373589,0.07808988476747407
SOL/USDT:USDT,1h,full,freeze,534,375,0.5653333333333334,2.0986130388927586,0.09344511200762343
SOL/USDT:USDT,1h,full,band,492,337,0.56973293768546,1.778968057577225,0.07180045970476363
SOL/USDT:USDT,1h,is,off,233,187,0.5294117647058824,0.4754535649909289,0.0742376085663804
SOL/USDT:USDT,1h,is,freeze,342,247,0.5587044534412956,1.0674505520868487,0.09344511200762343
SOL/USDT:USDT,1h,is,band,316,224,0.5625,0.9152083554448763,0.07180045970476363
SOL/USDT:USDT,1h,oos_warm,off,124,93,0.5806451612903226,0.3499453404686463,0.04095675731964187
SOL/USDT:USDT,1h,oos_warm,freeze,192,128,0.578125,0.4987604108669355,0.04713203349390439
SOL/USDT:USDT,1h,oos_warm,band,176,113,0.584070796460177,0.4510003831576365,0.04713203349390442
SOL/USDT:USDT,1h,oos,off,117,87,0.5747126436781609,0.3063432069392269,0.04405544250917245
SOL/USDT:USDT,1h,oos,freeze,181,118,0.5677966101694916,0.4040913650618582,0.07048357187004196
SOL/USDT:USDT,1h,oos,band,165,103,0.5728155339805825,0.3593480945460911,0.05419970085578237
SOL/USDT:USDT,2h,full,off,163,136,0.6176470588235294,0.8527849438520574,0.04495639401679082
SOL/USDT:USDT,2h,full,freeze,260,188,0.5957446808510638,1.1642230907321103,0.05832819861965581
SOL/USDT:USDT,2h,full,band,248,175,0.6171428571428571,1.214497661809992,0.05467232918238197
SOL/USDT:USDT,2h,is,off,110,91,0.6153846153846154,0.5417351648459797,0.03174146590129161
