symbol,timeframe,segment,arm,lens,num_candidates,num_trades,win_rate,total_return,max_drawdown
BTC/USDT:USDT,1h,full,off,baseline,344,254,0.610236220472441,0.9893945855778716,0.050880373680385
BTC/USDT:USDT,1h,full,freeze,baseline,512,319,0.6081504702194357,1.4198497937280667,0.0716887150539217
BTC/USDT:USDT,1h,full,band,baseline,473,287,0.6167247386759582,1.2205426201066094,0.0613055355325676
BTC/USDT:USDT,1h,is,off,baseline,220,169,0.6568047337278107,0.8817102472013572,0.0426168653073974
BTC/USDT:USDT,1h,is,freeze,baseline,332,214,0.6401869158878505,1.154870040104259,0.0426168653073973
BTC/USDT:USDT,1h,is,band,baseline,303,192,0.6614583333333334,1.0586796523469897,0.0426168653073973
BTC/USDT:USDT,1h,oos_warm,off,baseline,124,85,0.5176470588235295,0.0572268437909981,0.0508803736803852
BTC/USDT:USDT,1h,oos_warm,freeze,baseline,180,105,0.5428571428571428,0.1229678582430844,0.0716887150539215
BTC/USDT:USDT,1h,oos_warm,band,baseline,170,95,0.5263157894736842,0.0786246503068567,0.0613055355325676
BTC/USDT:USDT,1h,oos,off,baseline,124,85,0.5176470588235295,0.0572268437909981,0.0508803736803852
BTC/USDT:USDT,1h,oos,freeze,baseline,180,105,0.5428571428571428,0.1229678582430844,0.0716887150539215
BTC/USDT:USDT,1h,oos,band,baseline,170,95,0.5263157894736842,0.0786246503068567,0.0613055355325676
BTC/USDT:USDT,2h,full,off,baseline,161,120,0.6083333333333333,0.4868826564297352,0.0458064045496304
BTC/USDT:USDT,2h,full,freeze,baseline,237,153,0.6143790849673203,0.7077744083294522,0.0622124474188016
BTC/USDT:USDT,2h,full,band,baseline,232,151,0.6225165562913907,0.7230094689469133,0.0525706262457593
BTC/USDT:USDT,2h,is,off,baseline,105,80,0.6125,0.3625890535014647,0.0458064045496304
BTC/USDT:USDT,2h,is,freeze,baseline,151,99,0.6161616161616161,0.4674246434520219,0.0622124474188016
BTC/USDT:USDT,2h,is,band,baseline,152,100,0.63,0.5166898453752307,0.0525706262457593
BTC/USDT:USDT,2h,oos_warm,off,baseline,56,40,0.6,0.0912187006118036,0.0340872676496404
BTC/USDT:USDT,2h,oos_warm,freeze,baseline,86,54,0.6111111111111112,0.163790192532151,0.0340872676496403
BTC/USDT:USDT,2h,oos_warm,band,baseline,80,51,0.6078431372549019,0.1360328376963836,0.0373137014541006
BTC/USDT:USDT,2h,oos,off,baseline,56,40,0.6,0.0912187006118036,0.0340872676496404
BTC/USDT:USDT,2h,oos,freeze,baseline,86,54,0.6111111111111112,0.163790192532151,0.0340872676496403
BTC/USDT:USDT,2h,oos,band,baseline,80,51,0.6078431372549019,0.1360328376963836,0.0373137014541006
BTC/USDT:USDT,4h,full,off,baseline,60,52,0.6346153846153846,0.2580248461440513,0.0525647001677471
BTC/USDT:USDT,4h,full,freeze,baseline,96,78,0.6410256410256411,0.4331336223615077,0.0409783123874699
