scenario,scope,segment,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events
alpha_0.00,15m,full,9,9,9338,0.5793531805525809,5452067.697414328,0.1659667694200889,6,0.05996590716805996,5.0,0
alpha_0.00,15m,oos_warm,9,9,3060,0.5584967320261438,28.087023694295873,0.1508353041230437,5,0.04235830334694438,5.0,0
alpha_0.00,15m,oos,9,9,3007,0.5547056867309611,21.15647285658718,0.16853986428174045,5,0.04235830334694438,5.0,0
alpha_0.25,15m,full,9,9,9338,0.5793531805525809,721294.4481142662,0.18905251499035033,6,0.059965907168059954,5.0,0
alpha_0.25,15m,oos_warm,9,9,3060,0.5584967320261438,16.1028713300771,0.15986976858101623,5,0.042362783362870506,5.0,0
alpha_0.25,15m,oos,9,9,3007,0.5547056867309611,12.08033664945856,0.18038697712086424,5,0.042362783362870506,5.0,0
alpha_0.50,15m,full,9,9,9338,0.5793531805525809,95038.86870442054,0.23366704046435607,6,0.059965907168059954,5.0,0
alpha_0.50,15m,oos_warm,9,9,3060,0.5584967320261438,9.048874921230421,0.17556027319437098,5,0.04236726447304506,5.0,0
alpha_0.50,15m,oos,9,9,3007,0.5547056867309611,6.7164532091260805,0.19510602715623848,5,0.04236726447304507,5.0,0
alpha_1.00,15m,full,9,9,9338,0.5793531805525809,1628.8763500786279,0.36862109330542925,6,0.059965907168059954,5.000000000000001,0
alpha_1.00,15m,oos_warm,9,9,3060,0.5584967320261438,2.461337396246709,0.23430998529167693,5,0.04237622997774359,5.0,0
alpha_1.00,15m,oos,9,9,3007,0.5547056867309611,1.679480184613807,0.25417738751448776,5,0.04237622997774358,5.0,0
limit_nonfill,15m,full,9,9,9338,0.5793531805525809,5452067.697414328,0.1659667694200889,6,0.05996590716805996,5.0,0
limit_nonfill,15m,oos_warm,9,9,3060,0.5584967320261438,28.087023694295873,0.1508353041230437,5,0.04235830334694438,5.0,0
limit_nonfill,15m,oos,9,9,3007,0.5547056867309611,21.15647285658718,0.16853986428174045,5,0.04235830334694438,5.0,0
alpha_0.00,1h,full,9,9,2588,0.5950540958268934,2149.3379520101867,0.11228275127520915,6,0.05915434518222158,5.0,0
alpha_0.00,1h,oos_warm,9,9,884,0.5509049773755657,4.382640312230025,0.10732853035201827,5,0.05,3.9525104440388055,0
alpha_0.00,1h,oos,9,9,857,0.5425904317386231,3.4704476065945156,0.10732853035201759,5,0.05,3.9525104440388055,0
alpha_0.25,1h,full,9,9,2588,0.5950540958268934,1219.598129948004,0.1277015048024858,6,0.05915434518222157,5.0,0
alpha_0.25,1h,oos_warm,9,9,884,0.5509049773755657,3.595124579664326,0.12770150480248557,5,0.05,3.9525104440388055,0
alpha_0.25,1h,oos,9,9,857,0.5425904317386231,2.822317344211941,0.1277015048024853,5,0.05,3.9525104440388055,0
alpha_0.50,1h,full,9,9,2588,0.5950540958268934,690.794621225937,0.15079029071730035,6,0.059154345182221575,5.0,0
alpha_0.50,1h,oos_warm,9,9,884,0.5509049773755657,2.921670332146709,0.15079029071730052,5,0.05,3.952510444038805,0
alpha_0.50,1h,oos,9,9,857,0.5425904317386231,2.2671921150736565,0.15079029071730057,5,0.05,3.9525104440388055,0
alpha_1.00,1h,full,9,9,2588,0.5950540958268934,220.19062994130138,0.19528929482302626,6,0.05915434518222159,5.0,0
alpha_1.00,1h,oos_warm,9,9,884,0.5509049773755657,1.8538440990680334,0.19528929482302665,5,0.05,3.952510444038806,0
alpha_1.00,1h,oos,9,9,857,0.5425904317386231,1.3849711241382712,0.1952892948230268,5,0.05000000000000001,3.952510444038805,0
limit_nonfill,1h,full,9,9,2588,0.5950540958268934,2149.3379520101867,0.11228275127520915,6,0.05915434518222158,5.0,0
limit_nonfill,1h,oos_warm,9,9,884,0.5509049773755657,4.382640312230025,0.10732853035201827,5,0.05,3.9525104440388055,0
limit_nonfill,1h,oos,9,9,857,0.5425904317386231,3.4704476065945156,0.10732853035201759,5,0.05,3.9525104440388055,0
alpha_0.00,2h,full,9,9,1318,0.6016691957511381,111.68966697463682,0.09830089072155358,6,0.055557278005933165,3.19916733640608,0
alpha_0.00,2h,oos_warm,9,9,467,0.5717344753747323,2.225571388224444,0.07736037610726153,6,0.05555727800593315,3.1991673364060795,0
alpha_0.00,2h,oos,9,9,441,0.562358276643991,1.7255641429519626,0.09154202663732143,5,0.04948415681179407,3.1991673364060795,0
alpha_0.25,2h,full,9,9,1318,0.6016691957511381,85.80680577101397,0.10339407759366916,6,0.05555727800593315,3.199548580021401,0
alpha_0.25,2h,oos_warm,9,9,467,0.5717344753747323,1.9351118165224772,0.07918719629820381,6,0.055557278005933165,3.1995485800214016,0
alpha_0.25,2h,oos,9,9,441,0.562358276643991,1.4850037902610864,0.09283780130632625,5,0.04948415681179408,3.199548580021402,0
alpha_0.50,2h,full,9,9,1318,0.6016691957511381,65.83434756469326,0.10846406148946175,6,0.055557278005933165,3.199931278905551,0
alpha_0.50,2h,oos_warm,9,9,467,0.5717344753747323,1.6701752291135072,0.0875890439524876,6,0.05555727800593316,3.199931278905551,0
alpha_0.50,2h,oos,9,9,441,0.562358276643991,1.2651416283905847,0.0941322526865689,5,0.04948415681179408,3.1999312789055514,0
alpha_1.00,2h,full,9,9,1318,0.6016691957511381,38.55615590150787,0.1271387734164017,6,0.05555727800593316,3.200701075938031,0
alpha_1.00,2h,oos_warm,9,9,467,0.5717344753747323,1.2082979958713342,0.107044983946642,6,0.055557278005933165,3.2007010759380314,0
alpha_1.00,2h,oos,9,9,441,0.562358276643991,0.880707620421598,0.10704498394664179,5,0.04948415681179407,3.2007010759380314,0
limit_nonfill,2h,full,9,9,1318,0.6016691957511381,111.68966697463682,0.09830089072155358,6,0.055557278005933165,3.19916733640608,0
limit_nonfill,2h,oos_warm,9,9,467,0.5717344753747323,2.225571388224444,0.07736037610726153,6,0.05555727800593315,3.1991673364060795,0
limit_nonfill,2h,oos,9,9,441,0.562358276643991,1.7255641429519626,0.09154202663732143,5,0.04948415681179407,3.1991673364060795,0
alpha_0.00,4h,full,9,9,665,0.6,13.835232800097176,0.08507020855343016,7,0.07,3.427839819273697,0
alpha_0.00,4h,oos_warm,9,9,258,0.562015503875969,1.1980336525417166,0.07276441927045543,5,0.04916787996269936,3.4278398192736965,0
alpha_0.00,4h,oos,9,9,236,0.538135593220339,0.8109315021038299,0.07466519534407867,5,0.04535375294728064,3.427839819273697,0
alpha_0.25,4h,full,9,9,665,0.6,12.10061644931773,0.09377817485564811,7,0.06999999999999999,3.427839819273697,0
alpha_0.25,4h,oos_warm,9,9,258,0.562015503875969,1.0816667424763458,0.07516058988886255,5,0.049167879962699355,3.4278398192736965,0
alpha_0.25,4h,oos,9,9,236,0.538135593220339,0.7186685042450641,0.07855934829031602,5,0.04535375294728065,3.4278398192736965,0
alpha_0.50,4h,full,9,9,665,0.6,10.5664590687428,0.10241831981178198,7,0.06999999999999999,3.4278398192736965,0
alpha_0.50,4h,oos_warm,9,9,258,0.562015503875969,0.9712567429591847,0.07874637808680426,5,0.04916787996269936,3.4278398192736965,0
alpha_0.50,4h,oos,9,9,236,0.538135593220339,0.6309428744352379,0.09007144442779044,5,0.04535375294728063,3.4278398192736965,0
alpha_1.00,4h,full,9,9,665,0.6,8.010525156816014,0.12076523197596707,7,0.06999999999999999,3.4278398192736965,0
alpha_1.00,4h,oos_warm,9,9,258,0.562015503875969,0.7671422470694997,0.10609360832850401,5,0.04916787996269936,3.4278398192736974,0
alpha_1.00,4h,oos,9,9,236,0.538135593220339,0.468252051868978,0.11634628677308172,5,0.04535375294728064,3.427839819273697,0
limit_nonfill,4h,full,9,9,665,0.6,13.835232800097176,0.08507020855343016,7,0.07,3.427839819273697,0
limit_nonfill,4h,oos_warm,9,9,258,0.562015503875969,1.1980336525417166,0.07276441927045543,5,0.04916787996269936,3.4278398192736965,0
limit_nonfill,4h,oos,9,9,236,0.538135593220339,0.8109315021038299,0.07466519534407867,5,0.04535375294728064,3.427839819273697,0
alpha_0.00,both,full,36,9,13793,0.5839193793953454,4628876126034.966,0.2354616104612467,12,0.11861381649176805,5.000000000000001,0
