scope,fill,segment,long_only_mdd,long_short_mdd,window_start,window_end,long_only_window_return,long_short_window_return
all,baseline,full,0.1299669332623393,0.1626155392209003,1640280660000,1640784480000,-0.1299669332623393,-0.0530263830294166
all,baseline,is,0.1299669332623393,0.1626155392209003,1640280660000,1640784480000,-0.1299669332623393,-0.0530263830294166
all,baseline,oos_warm,0.1559142803141034,0.2377390015152158,1750406820000,1751905260000,-0.1559142803141034,-0.0901808798159977
all,baseline,oos,0.1559142803141033,0.2377390015152161,1750406820000,1751905260000,-0.1559142803141033,-0.0901808798159981
1h,baseline,full,0.1122827512752091,0.1376098913204106,1640280660000,1642581240000,-0.1122827512752091,0.0002180664943005
1h,baseline,is,0.1122827512752091,0.1376098913204106,1640280660000,1642581240000,-0.1122827512752091,0.0002180664943005
1h,baseline,oos_warm,0.1073285303520182,0.1483972122475927,1763976960000,1769712840000,-0.1073285303520182,-0.0508643428350054
1h,baseline,oos,0.1073285303520175,0.1483972122475926,1763976960000,1769712840000,-0.1073285303520176,-0.0508643428350051
2h,baseline,full,0.0983008907215535,0.102851754927345,1649619780000,1651359720000,-0.0983008907215535,-0.0241918184128976
2h,baseline,is,0.0983008907215535,0.102851754927345,1649619780000,1651359720000,-0.0983008907215535,-0.0241918184128976
2h,baseline,oos_warm,0.0773603761072615,0.1067297534862479,1750372380000,1753339980000,-0.0773603761072615,-0.0792503545487176
2h,baseline,oos,0.0915420266373214,0.1067297534862478,1740606840000,1741561560000,-0.0915420266373214,-0.037311724991668
4h,baseline,full,0.0850702085534301,0.1087714091729101,1655178900000,1661577180000,-0.0850702085534301,-0.0716288803814523
4h,baseline,is,0.0850702085534301,0.1087714091729101,1655178900000,1661577180000,-0.0850702085534301,-0.0716288803814523
4h,baseline,oos_warm,0.0727644192704554,0.1053012798529122,1781932200000,1782395580000,-0.0727644192704554,-0.0727644192704555
4h,baseline,oos,0.0746651953440786,0.0957252682375709,1736781480000,1741653240000,-0.0746651953440786,-0.009888247272355
all,pen_5bp,full,0.13514561514335308,0.19283519994304701,1656561600000,1658402880000,-0.1351456151433531,-0.12445488385385317
all,pen_5bp,is,0.13514561514335308,0.19283519994304701,1656561600000,1658402880000,-0.1351456151433531,-0.12445488385385317
all,pen_5bp,oos_warm,0.1572490705686473,0.22647561969612792,1761806580000,1769712840000,-0.15724907056864723,-0.09643450962277378
all,pen_5bp,oos,0.15724907056864654,0.22585308666271559,1761806580000,1769712840000,-0.15724907056864657,-0.10080217189801188
1h,pen_5bp,full,0.10155010137031864,0.13748076556317468,1640276340000,1642581240000,-0.10155010137031861,-0.015771606034888364
1h,pen_5bp,is,0.10155010137031864,0.13748076556317468,1640276340000,1642581240000,-0.10155010137031861,-0.015771606034888364
1h,pen_5bp,oos_warm,0.112144109428295,0.16162959614049674,1761806580000,1769712840000,-0.112144109428295,-0.04659442400738256
1h,pen_5bp,oos,0.11214410942829509,0.1616295961404972,1761806580000,1769712840000,-0.11214410942829511,-0.04659442400738267
2h,pen_5bp,full,0.11179180285034639,0.125410438262992,1649619780000,1651359720000,-0.1117918028503464,-0.05353337736183206
2h,pen_5bp,is,0.11179180285034639,0.125410438262992,1649619780000,1651359720000,-0.1117918028503464,-0.05353337736183206
2h,pen_5bp,oos_warm,0.08977121768163787,0.09626247554218834,1750372320000,1753339980000,-0.08977121768163787,-0.06767697171110432
2h,pen_5bp,oos,0.10482803781858208,0.09626247554218807,1739473440000,1741561560000,-0.10482803781858208,-0.06529070722527963
4h,pen_5bp,full,0.08563506814943798,0.10877140917291053,1620757440000,1624320840000,-0.085635068149438,-0.09120143640413314
4h,pen_5bp,is,0.08563506814943798,0.10877140917291053,1620757440000,1624320840000,-0.085635068149438,-0.09120143640413314
4h,pen_5bp,oos_warm,0.07664510388881304,0.10140936129624746,1736781480000,1740717300000,-0.07664510388881307,-0.04320264319008782
4h,pen_5bp,oos,0.087955127231239,0.09179169359616354,1736781480000,1741653240000,-0.087955127231239,-0.041171397412347654
