scope,arm,month,monthly_return,equity_end,num_exits,btc_buy_hold
all,long_only,2024-08,0.03162674668687382,10316.267466868738,33,-0.09776683825994315
all,long_only,2024-09,0.07287882949197266,11068.104964580249,32,0.10548630040109597
all,long_only,2024-10,0.26340053467604796,13983.449730101307,84,0.15705170393966106
all,long_only,2024-11,0.3379584615409328,18709.274887921318,53,0.388220820053097
all,long_only,2024-12,0.2182699271957147,22792.946955592517,62,-0.03820692108474688
all,long_only,2025-01,0.029364304450800516,23462.245989327483,51,0.08245639447287978
all,long_only,2025-02,0.0956659961544537,25706.785123917332,76,-0.16206179500534768
all,long_only,2025-03,0.1412004668483413,29336.595184584457,75,-0.0405800875968082
all,long_only,2025-04,0.27105444935501266,37288.409838292915,67,0.10578130635366878
all,long_only,2025-05,0.2171147898433079,45384.275103925014,51,0.08422653030958283
all,long_only,2025-06,0.07634584993536242,48849.17616043448,72,0.014245624071230978
all,long_only,2025-07,0.10635246606537341,54044.40651035854,42,0.09522529319496131
all,long_only,2025-08,0.1198918897895731,60523.89253944133,52,-0.044473565232134304
all,long_only,2025-09,0.16868206210027337,70733.18753932965,59,0.043969157754659705
all,long_only,2025-10,0.1236157059849925,79476.92045357276,56,-0.07587446563713596
all,long_only,2025-11,-0.019913045483704428,77894.29292167601,53,-0.17925581023415404
all,long_only,2025-12,-0.012939365338713316,76886.3902077617,28,0.01584618096139212
all,long_only,2026-01,0.10150218913292197,84690.52712837757,70,-0.11366216216216218
all,long_only,2026-02,0.3158072928646456,111436.41323207032,68,-0.12991297452928896
all,long_only,2026-03,0.02142013489118888,113823.39623529154,53,0.03789353612167301
all,long_only,2026-04,0.12913645997815038,128522.14668780741,46,0.1207126229134996
all,long_only,2026-05,0.15882362595646593,148934.5000404738,68,-0.05804685901370987
all,long_only,2026-06,0.15990928741778898,172750.50981387062,92,-0.17909835204471114
all,long_only,2026-07,0.031919568641811225,178264.63156978236,32,0.10350569003793342
all,long_short,2024-08,0.07540449914239411,10754.044991423942,73,-0.09776683825994315
all,long_short,2024-09,0.27198807130084646,13679.016947323867,131,0.10548630040109597
all,long_short,2024-10,0.3799556594291893,18876.436851887363,149,0.15705170393966106
all,long_short,2024-11,0.9380930512427827,36584.29109486609,183,0.388220820053097
all,long_short,2024-12,0.6022038623783885,58615.49249456973,123,-0.03820692108474688
all,long_short,2025-01,-0.11281383302778403,52002.85411144601,103,0.08245639447287978
all,long_short,2025-02,0.20386503888707042,62604.417987114604,110,-0.16206179500534768
all,long_short,2025-03,0.29902220498546916,81324.52909545357,123,-0.0405800875968082
all,long_short,2025-04,0.6824596990529912,136825.24274756305,138,0.10578130635366878
all,long_short,2025-05,0.15871064152762493,158540.8648012018,139,0.08422653030958283
all,long_short,2025-06,0.1660560156227373,184867.52912347246,123,0.014245624071230978
all,long_short,2025-07,0.14093755731180013,210922.30710440275,110,0.09522529319496131
all,long_short,2025-08,0.14498801148443508,241503.51298917943,116,-0.044473565232134304
all,long_short,2025-09,0.27574765018036795,308097.53920624964,108,0.043969157754659705
all,long_short,2025-10,0.15208282587042654,354953.88361246063,91,-0.07587446563713596
all,long_short,2025-11,0.06292751398134144,377290.24908621516,83,-0.17925581023415404
all,long_short,2025-12,0.04580612549061103,394572.45358224225,57,0.01584618096139212
all,long_short,2026-01,0.013528310999393334,399910.35244609654,113,-0.11366216216216218
all,long_short,2026-02,0.07447635906274663,429694.21944778156,117,-0.12991297452928896
all,long_short,2026-03,0.24952034838675363,536911.6707841662,113,0.03789353612167301
all,long_short,2026-04,0.2617697805309538,677458.9210098451,78,0.1207126229134996
all,long_short,2026-05,0.19764949575405355,811358.3351415262,116,-0.05804685901370987
all,long_short,2026-06,0.19243812512474,967494.611960492,119,-0.17909835204471114
all,long_short,2026-07,0.08911822047419937,1053716.010096787,79,0.10350569003793342
1h,long_only,2024-08,-0.00744571549891393,9925.542845010861,21,-0.09776683825994315
1h,long_only,2024-09,0.01775514563583891,10101.772303738788,21,0.10548630040109597
1h,long_only,2024-10,0.1519397600292618,11636.633163439103,47,0.15705170393966106
1h,long_only,2024-11,0.2577463085978766,14635.932405823163,40,0.388220820053097
1h,long_only,2024-12,0.044235469445333075,15283.359746564915,42,-0.03820692108474688
1h,long_only,2025-01,0.053321031320167966,16098.284250288898,30,0.08245639447287978
1h,long_only,2025-02,0.1244728730519995,18102.08394213011,46,-0.16206179500534768
1h,long_only,2025-03,0.025657871569048307,18566.544887049415,41,-0.0405800875968082
1h,long_only,2025-04,0.08374082166113972,20121.322611299365,32,0.10578130635366878
1h,long_only,2025-05,0.10564636200875843,22247.067143987715,24,0.08422653030958283
1h,long_only,2025-06,0.03502335509498189,23026.234076393503,34,0.014245624071230978
1h,long_only,2025-07,0.08623110749559548,25011.811742253736,26,0.09522529319496131
1h,long_only,2025-08,0.034023908445577566,25862.8113350302,26,-0.044473565232134304
1h,long_only,2025-09,0.08201818804179917,27984.03225839628,37,0.043969157754659705
1h,long_only,2025-10,0.04558063006671631,29259.5620805413,38,-0.07587446563713596
1h,long_only,2025-11,0.012745305578680588,29632.484140356173,26,-0.17925581023415404
1h,long_only,2025-12,-0.017929034282594736,29101.20231632528,21,0.01584618096139212
1h,long_only,2026-01,0.028969461992577106,29944.248490766364,35,-0.11366216216216218
1h,long_only,2026-02,0.031173089578216517,30877.7032313214,31,-0.12991297452928896
1h,long_only,2026-03,0.06021811213222117,32737.100226890558,23,0.03789353612167301
1h,long_only,2026-04,-0.008325814255322639,32464.537211143586,29,0.1207126229134996
1h,long_only,2026-05,0.05782648773800325,34341.84737410373,33,-0.05804685901370987
1h,long_only,2026-06,0.18799554451592804,40797.961670881254,45,-0.17909835204471114
1h,long_only,2026-07,0.018197683794944686,41540.390076846226,22,0.10350569003793342
1h,long_short,2024-08,-0.004774516583936572,9952.254834160634,52,-0.09776683825994315
1h,long_short,2024-09,0.17271346212542826,11671.143222523047,75,0.10548630040109597
1h,long_short,2024-10,0.21658093779040577,14198.890366743228,92,0.15705170393966106
1h,long_short,2024-11,0.4592574945951575,20719.83718260504,110,0.388220820053097
