lens,scope,arm,month,monthly_return,equity_end,num_exits,btc_buy_hold,num_seeds
baseline,1h,long_only,2024-08,-0.007695801235086397,9923.041987649136,21.0,-0.09776683825994315,1
baseline,1h,long_only,2024-09,0.017689132162433507,10098.57198882204,21.0,0.10548630040109597,1
baseline,1h,long_only,2024-10,0.1519397600292618,11632.946593441884,47.0,0.15705170393966106,1
baseline,1h,long_only,2024-11,0.25753443664836095,14628.83094094441,40.0,0.388220820053097,1
baseline,1h,long_only,2024-12,0.04414602068452855,15274.635614253813,42.0,-0.03820692108474688,1
baseline,1h,long_only,2025-01,0.053311513682294365,16088.949559795166,30.0,0.08245639447287978,1
baseline,1h,long_only,2025-02,0.12452921443839204,18092.49380961537,46.0,-0.16206179500534768,1
baseline,1h,long_only,2025-03,0.025731352388908668,18558.038143424732,41.0,-0.0405800875968082,1
baseline,1h,long_only,2025-04,0.08383976216599609,20113.939647636944,32.0,0.10578130635366878,1
baseline,1h,long_only,2025-05,0.10580680797932729,22242.131397642246,24.0,0.08422653030958283,1
baseline,1h,long_only,2025-06,0.035040207575913085,23021.500298746363,34.0,0.014245624071230978,1
baseline,1h,long_only,2025-07,0.0862643025443548,25007.433965542376,26.0,0.09522529319496131,1
baseline,1h,long_only,2025-08,0.034044390064027485,25858.79680196571,26.0,-0.044473565232134304,1
baseline,1h,long_only,2025-09,0.08221558240330151,27984.79284128795,37.0,0.043969157754659705,1
baseline,1h,long_only,2025-10,0.04567879064533775,29263.104334738287,38.0,-0.07587446563713596,1
baseline,1h,long_only,2025-11,0.0127702181373901,29636.8005604701,26.0,-0.17925581023415404,1
baseline,1h,long_only,2025-12,-0.017914719802961998,29105.86558257301,21.0,0.01584618096139212,1
baseline,1h,long_only,2026-01,0.02879165479121193,29943.87161682587,35.0,-0.11366216216216218,1
baseline,1h,long_only,2026-02,0.031075259996374394,30874.38521261679,31.0,-0.12991297452928896,1
baseline,1h,long_only,2026-03,0.06086536930895248,32753.566070769575,23.0,0.03789353612167301,1
baseline,1h,long_only,2026-04,-0.008364369289246332,32479.60314861393,29.0,0.1207126229134996,1
baseline,1h,long_only,2026-05,0.05810159388615266,34366.719860338104,33.0,-0.05804685901370987,1
baseline,1h,long_only,2026-06,0.18796413285296465,40826.43055788732,45.0,-0.17909835204471114,1
baseline,1h,long_only,2026-07,0.018224664319272055,41570.478550158885,22.0,0.10350569003793342,1
baseline,1h,long_short,2024-08,-0.004620424925123046,9953.79575074877,52.0,-0.09776683825994315,1
baseline,1h,long_short,2024-09,0.1735458164801449,11681.235361389061,75.0,0.10548630040109597,1
baseline,1h,long_short,2024-10,0.21685575357694753,14214.378458392774,92.0,0.15705170393966106,1
baseline,1h,long_short,2024-11,0.4592789263582797,20742.742935613667,110.0,0.388220820053097,1
baseline,1h,long_short,2024-12,0.2091299913365856,25080.672586035576,81.0,-0.03820692108474688,1
baseline,1h,long_short,2025-01,0.0005363190388700811,25094.123828251137,59.0,0.08245639447287978,1
baseline,1h,long_short,2025-02,0.240484985619569,31128.883836223795,75.0,-0.16206179500534768,1
baseline,1h,long_short,2025-03,0.08506070269174204,33776.7285693426,75.0,-0.0405800875968082,1
baseline,1h,long_short,2025-04,0.36146652516687117,45985.88527680746,83.0,0.10578130635366878,1
baseline,1h,long_short,2025-05,0.0654945295573488,48997.70919929018,76.0,0.08422653030958283,1
baseline,1h,long_short,2025-06,0.08640058168586795,53231.139775383854,67.0,0.014245624071230978,1
baseline,1h,long_short,2025-07,0.14859148431535085,61140.83384640605,75.0,0.09522529319496131,1
baseline,1h,long_short,2025-08,0.03233527128717717,63117.839295553815,65.0,-0.044473565232134304,1
baseline,1h,long_short,2025-09,0.1846558574088435,74772.9180284679,66.0,0.043969157754659705,1
baseline,1h,long_short,2025-10,0.04052206909099554,77802.87137895283,61.0,-0.07587446563713596,1
baseline,1h,long_short,2025-11,0.07789365196516962,83863.22116403583,45.0,-0.17925581023415404,1
baseline,1h,long_short,2025-12,0.028073169611484206,86217.52759593922,39.0,0.01584618096139212,1
baseline,1h,long_short,2026-01,0.004541410593506434,86609.07678910934,60.0,-0.11366216216216218,1
baseline,1h,long_short,2026-02,-0.03923279343876451,83211.16076952012,57.0,-0.12991297452928896,1
baseline,1h,long_short,2026-03,0.22993801372042677,102344.56979623467,66.0,0.03789353612167301,1
baseline,1h,long_short,2026-04,0.045360067622346234,106986.9264029718,55.0,0.1207126229134996,1
baseline,1h,long_short,2026-05,0.10174183633437361,117871.97275898063,58.0,-0.05804685901370987,1
baseline,1h,long_short,2026-06,0.27256938990638435,150000.26446095793,66.0,-0.17909835204471114,1
baseline,1h,long_short,2026-07,0.07130944949388973,160696.70074360672,53.0,0.10350569003793342,1
baseline,2h,long_only,2024-08,-0.011358207760124639,9886.417922398754,8.0,-0.09776683825994315,1
baseline,2h,long_only,2024-09,0.03225601225932273,10205.314340104436,9.0,0.10548630040109597,1
baseline,2h,long_only,2024-10,0.11277123614474438,11356.180253483699,26.0,0.15705170393966106,1
baseline,2h,long_only,2024-11,0.013452609340277366,11508.950510031587,8.0,0.388220820053097,1
baseline,2h,long_only,2024-12,0.0853627787536515,12491.386506106139,13.0,-0.03820692108474688,1
baseline,2h,long_only,2025-01,-0.01207292003977889,12340.578995631946,14.0,0.08245639447287978,1
baseline,2h,long_only,2025-02,-0.015375264173252523,12150.839333523214,22.0,-0.16206179500534768,1
baseline,2h,long_only,2025-03,0.06252036901688007,12910.514292519907,20.0,-0.0405800875968082,1
baseline,2h,long_only,2025-04,0.04591184997074982,13503.259887763303,23.0,0.10578130635366878,1
baseline,2h,long_only,2025-05,0.054348942513605,14237.14778314962,19.0,0.08422653030958283,1
baseline,2h,long_only,2025-06,-0.0034980650836219374,14187.345313599018,23.0,0.014245624071230978,1
baseline,2h,long_only,2025-07,-0.0019675798390439425,14159.430578990427,11.0,0.09522529319496131,1
baseline,2h,long_only,2025-08,0.05518561772275965,14940.827502094546,17.0,-0.044473565232134304,1
baseline,2h,long_only,2025-09,0.09665842197279928,16384.984311414806,18.0,0.043969157754659705,1
baseline,2h,long_only,2025-10,0.05957507863658518,17361.121040226557,10.0,-0.07587446563713596,1
baseline,2h,long_only,2025-11,-0.026497668653148065,16901.091807455436,18.0,-0.17925581023415404,1
baseline,2h,long_only,2025-12,0.007795074896709275,17032.83708393071,4.0,0.01584618096139212,1
baseline,2h,long_only,2026-01,0.034346832935964855,17617.861093677984,24.0,-0.11366216216216218,1
baseline,2h,long_only,2026-02,0.1989925236400174,21123.683733848244,19.0,-0.12991297452928896,1
baseline,2h,long_only,2026-03,-0.043156812393340904,20212.052877890288,15.0,0.03789353612167301,1
baseline,2h,long_only,2026-04,0.07156937752612791,21658.616920886077,11.0,0.1207126229134996,1
