lens,symbol,timeframe,segment,num_candidates,num_trades,win_rate,total_return,max_drawdown,engine_total_return,engine_num_trades
baseline,BTC/USDT:USDT,1h,full,344,254,0.610236220472441,0.9893945855778715,0.050880373680385,0.9893945855778715,254.0
baseline,BTC/USDT:USDT,1h,oos_warm,124,85,0.5176470588235295,0.0572268437909981,0.05088037368038528,,
baseline,BTC/USDT:USDT,4h,full,60,52,0.6346153846153846,0.2580248461440513,0.05256470016774714,0.2580248461440513,52.0
baseline,BTC/USDT:USDT,4h,oos_warm,20,15,0.5333333333333333,0.030171556043808778,0.046766141931767945,,
baseline,ETH/USDT:USDT,1h,full,316,250,0.628,1.291865427922825,0.09923531382306282,1.291865427922825,250.0
baseline,ETH/USDT:USDT,1h,oos_warm,117,91,0.7252747252747253,0.6056446805592521,0.02133027532346156,,
baseline,ETH/USDT:USDT,4h,full,84,68,0.6176470588235294,0.36797233243013305,0.04711524117818985,0.36797233243013305,68.0
baseline,ETH/USDT:USDT,4h,oos_warm,31,25,0.64,0.1417028086555727,0.021519118346970754,,
baseline,SOL/USDT:USDT,1h,full,357,280,0.5464285714285714,0.9917816651373589,0.07808988476747407,0.9917816651373589,280.0
baseline,SOL/USDT:USDT,1h,oos_warm,124,93,0.5806451612903226,0.3499453404686463,0.04095675731964187,,
baseline,SOL/USDT:USDT,4h,full,88,76,0.5789473684210527,0.33646072631085044,0.04127244900984847,0.33646072631085044,76.0
baseline,SOL/USDT:USDT,4h,oos_warm,44,38,0.5526315789473685,0.1288034100167548,0.04127244900984839,,
baseline,BNB/USDT:USDT,1h,full,296,220,0.6090909090909091,1.067979652057256,0.07825526785664368,1.067979652057256,220.0
baseline,BNB/USDT:USDT,1h,oos_warm,106,78,0.5128205128205128,0.11604628788947358,0.0782552678566434,,
baseline,BNB/USDT:USDT,4h,full,71,61,0.6229508196721312,0.3620290124854666,0.03655780647703523,0.3620290124854666,61.0
baseline,BNB/USDT:USDT,4h,oos_warm,25,21,0.6190476190476191,0.11173071681976599,0.036557806477035396,,
baseline,XRP/USDT:USDT,1h,full,317,246,0.6219512195121951,1.510248694624167,0.09908367511846773,1.510248694624167,246.0
baseline,XRP/USDT:USDT,1h,oos_warm,127,93,0.5376344086021505,0.1621705067802708,0.09908367511846748,,
baseline,XRP/USDT:USDT,4h,full,69,58,0.5862068965517241,0.2354777687168118,0.04197993634679846,0.2354777687168118,58.0
baseline,XRP/USDT:USDT,4h,oos_warm,31,25,0.44,0.0005995117963564553,0.0419799363467986,,
baseline,TRX/USDT:USDT,1h,full,330,227,0.6299559471365639,1.0297312523163895,0.03997905408746935,1.0297312523163895,227.0
baseline,TRX/USDT:USDT,1h,oos_warm,110,65,0.5384615384615384,0.05744229855136036,0.03997905408746925,,
baseline,TRX/USDT:USDT,4h,full,86,69,0.6666666666666666,0.44725889971466115,0.03174749222355513,0.44725889971466115,69.0
baseline,TRX/USDT:USDT,4h,oos_warm,36,25,0.52,0.04583187172103026,0.022644133622070562,,
baseline,DOGE/USDT:USDT,1h,full,292,232,0.6077586206896551,1.3854526366992777,0.058739758763952536,1.3854526366992777,232.0
baseline,DOGE/USDT:USDT,1h,oos_warm,107,89,0.5056179775280899,0.09483823248436657,0.05873975876395224,,
baseline,DOGE/USDT:USDT,4h,full,82,63,0.5873015873015873,0.2565096099232285,0.04283028776199397,0.2565096099232285,63.0
baseline,DOGE/USDT:USDT,4h,oos_warm,32,22,0.5909090909090909,0.0714864196388833,0.02650376634882501,,
baseline,LINK/USDT:USDT,1h,full,329,266,0.5488721804511278,0.8881992377323644,0.06065686772608131,0.8881992377323644,266.0
baseline,LINK/USDT:USDT,1h,oos_warm,109,92,0.4891304347826087,0.09956250776922516,0.05747117060183325,,
baseline,LINK/USDT:USDT,4h,full,66,59,0.6101694915254238,0.31389363082882027,0.04103840867990197,0.31389363082882027,59.0
baseline,LINK/USDT:USDT,4h,oos_warm,20,19,0.7368421052631579,0.15717080145318213,0.010548949401307897,,
baseline,LTC/USDT:USDT,1h,full,303,242,0.5454545454545454,0.5482285517127639,0.08566912151053327,0.5482285517127639,242.0
baseline,LTC/USDT:USDT,1h,oos_warm,110,84,0.5119047619047619,0.10988364527076537,0.07947419710905762,,
baseline,LTC/USDT:USDT,4h,full,67,53,0.5849056603773585,0.2340281049006884,0.04105361843524229,0.2340281049006884,53.0
baseline,LTC/USDT:USDT,4h,oos_warm,37,25,0.56,0.08594949494798584,0.04105361843524241,,
baseline,ADA/USDT:USDT,1h,full,370,289,0.5536332179930796,0.8188989296761887,0.060342591218138786,0.8188989296761887,289.0
baseline,ADA/USDT:USDT,1h,oos_warm,132,103,0.5436893203883495,0.20054964725115806,0.058496739575666014,,
baseline,ADA/USDT:USDT,4h,full,81,61,0.5409836065573771,0.1980980358107732,0.051070932094642016,0.1980980358107732,61.0
baseline,ADA/USDT:USDT,4h,oos_warm,29,23,0.5652173913043478,0.08546378359044211,0.031048004776888457,,
baseline,DOT/USDT:USDT,1h,full,315,243,0.5843621399176955,1.0996030241085588,0.05475932500616617,1.0996030241085588,243.0
baseline,DOT/USDT:USDT,1h,oos_warm,120,93,0.5161290322580645,0.12779205109440608,0.054759325006166246,,
baseline,DOT/USDT:USDT,4h,full,83,67,0.5223880597014925,0.16641061510674918,0.05062738791518506,0.16641061510674918,67.0
baseline,DOT/USDT:USDT,4h,oos_warm,26,23,0.391304347826087,-0.02353750123981863,0.0506273879151853,,
baseline,BCH/USDT:USDT,1h,full,319,246,0.6219512195121951,1.5904030764886716,0.05460361214107946,1.5904030764886716,246.0
baseline,BCH/USDT:USDT,1h,oos_warm,124,93,0.6021505376344086,0.38356446266966143,0.045643438723547786,,
baseline,BCH/USDT:USDT,4h,full,74,60,0.6,0.2538546970446359,0.031084273471661785,0.2538546970446359,60.0
baseline,BCH/USDT:USDT,4h,oos_warm,26,23,0.5217391304347826,0.0378432642723099,0.02375897443472491,,
baseline,ETC/USDT:USDT,1h,full,308,243,0.6172839506172839,1.5210698485160734,0.07725446713102653,1.5210698485160734,243.0
baseline,ETC/USDT:USDT,1h,oos_warm,93,72,0.5555555555555556,0.15230908431389453,0.05339838239649314,,
baseline,ETC/USDT:USDT,4h,full,82,71,0.6338028169014085,0.41756748985749476,0.04069780363324872,0.41756748985749476,71.0
baseline,ETC/USDT:USDT,4h,oos_warm,41,33,0.6060606060606061,0.153260281808131,0.030935429095136753,,
baseline,ATOM/USDT:USDT,1h,full,303,243,0.5843621399176955,1.053896801044763,0.09022969713135848,1.053896801044763,243.0
baseline,ATOM/USDT:USDT,1h,oos_warm,96,81,0.5432098765432098,0.13526157653989995,0.09022969713135813,,
baseline,ATOM/USDT:USDT,4h,full,100,80,0.575,0.35435969481989416,0.04478587245237069,0.35435969481989416,80.0
baseline,ATOM/USDT:USDT,4h,oos_warm,29,21,0.6190476190476191,0.10811827844829112,0.021166109309062455,,
baseline,XLM/USDT:USDT,1h,full,296,236,0.5889830508474576,1.1108279806829109,0.06238813767004131,1.1108279806829109,236.0
baseline,XLM/USDT:USDT,1h,oos_warm,92,74,0.5540540540540541,0.18778928890105398,0.062388137670041,,
baseline,XLM/USDT:USDT,4h,full,49,41,0.36585365853658536,-0.07300543024115996,0.13547363320060482,-0.07300543024115996,41.0
baseline,XLM/USDT:USDT,4h,oos_warm,14,13,0.46153846153846156,0.01182988249423197,0.021195010208774692,,
baseline,ALGO/USDT:USDT,1h,full,409,312,0.5833333333333334,1.4015005300118424,0.06787614936297794,1.4015005300118424,312.0
baseline,ALGO/USDT:USDT,1h,oos_warm,144,104,0.5769230769230769,0.2132075981322556,0.05213314931104914,,
baseline,ALGO/USDT:USDT,4h,full,89,71,0.5352112676056338,0.22023188175342057,0.05990613032241368,0.22023188175342057,71.0
baseline,ALGO/USDT:USDT,4h,oos_warm,32,26,0.5,0.05065443954755574,0.05990613032241383,,
baseline,XMR/USDT:USDT,1h,full,442,333,0.5975975975975976,1.5471911479984262,0.07660858251441045,1.5471911479984262,333.0
baseline,XMR/USDT:USDT,1h,oos_warm,173,140,0.6142857142857143,0.5320431195592326,0.07660858251441073,,
baseline,XMR/USDT:USDT,4h,full,102,81,0.654320987654321,0.5263142889784349,0.03913225239809209,0.5263142889784349,81.0
baseline,XMR/USDT:USDT,4h,oos_warm,38,32,0.78125,0.30416155745403284,0.020599040932061587,,
baseline,THETA/USDT:USDT,1h,full,348,272,0.5698529411764706,1.2721939890105125,0.0611212156054532,1.2721939890105125,272.0
baseline,THETA/USDT:USDT,1h,oos_warm,140,111,0.5675675675675675,0.39361582501001524,0.061121215605453305,,
baseline,THETA/USDT:USDT,4h,full,89,73,0.547945205479452,0.24430170326627831,0.04332701157018422,0.24430170326627831,73.0
baseline,THETA/USDT:USDT,4h,oos_warm,49,39,0.5384615384615384,0.10582199304299429,0.04332701157018415,,
baseline,VET/USDT:USDT,1h,full,356,292,0.5547945205479452,1.100858012811008,0.07099909546917735,1.100858012811008,292.0
baseline,VET/USDT:USDT,1h,oos_warm,123,108,0.4722222222222222,0.04750215301489352,0.07099909546917761,,
baseline,VET/USDT:USDT,4h,full,80,60,0.55,0.20839878178233556,0.06114995610804503,0.20839878178233556,60.0
baseline,VET/USDT:USDT,4h,oos_warm,28,21,0.47619047619047616,0.025768311232101042,0.06114995610804505,,
pen_5bp,BTC/USDT:USDT,1h,full,303,236,0.5847457627118644,0.7073802400398821,0.05755825662730385,,
pen_5bp,BTC/USDT:USDT,1h,oos_warm,101,78,0.48717948717948717,0.018330401356976653,0.057558256627303586,,
pen_5bp,BTC/USDT:USDT,4h,full,54,46,0.6086956521739131,0.21196735429697455,0.052564700167747135,,
pen_5bp,BTC/USDT:USDT,4h,oos_warm,16,13,0.5384615384615384,0.030950262983408357,0.0395407056323266,,
pen_5bp,ETH/USDT:USDT,1h,full,292,236,0.6016949152542372,0.9700533839832326,0.09820090438768521,,
pen_5bp,ETH/USDT:USDT,1h,oos_warm,104,85,0.6941176470588235,0.5041565787015837,0.021330275323461552,,
pen_5bp,ETH/USDT:USDT,4h,full,79,66,0.6060606060606061,0.3169563302385257,0.047115241178189715,,
pen_5bp,ETH/USDT:USDT,4h,oos_warm,30,25,0.64,0.1417019086764476,0.021524103488154343,,
pen_5bp,SOL/USDT:USDT,1h,full,333,265,0.5509433962264151,1.0042346977009613,0.07652605392855447,,
pen_5bp,SOL/USDT:USDT,1h,oos_warm,116,88,0.5909090909090909,0.3446175741196554,0.04095675731964185,,
pen_5bp,SOL/USDT:USDT,4h,full,87,75,0.56,0.28534131385169165,0.05095858272436255,,
pen_5bp,SOL/USDT:USDT,4h,oos_warm,44,38,0.5263157894736842,0.10100179364555933,0.050958582724362565,,
pen_5bp,BNB/USDT:USDT,1h,full,265,211,0.6066350710900474,0.9872841521332554,0.07176684390204711,,
pen_5bp,BNB/USDT:USDT,1h,oos_warm,91,77,0.5324675324675324,0.14163836564118684,0.07176684390204703,,
pen_5bp,BNB/USDT:USDT,4h,full,70,60,0.6166666666666667,0.3431631558483088,0.03637846249162794,,
pen_5bp,BNB/USDT:USDT,4h,oos_warm,24,20,0.65,0.12400724623561582,0.025918785489029973,,
pen_5bp,XRP/USDT:USDT,1h,full,292,223,0.600896860986547,1.135748346541056,0.116575222484823,,
pen_5bp,XRP/USDT:USDT,1h,oos_warm,119,85,0.5176470588235295,0.1093186421208602,0.11657522248482255,,
