lens,universe,scope,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional
baseline,9,all,oos_warm,,18,985,0.5532994923857868,7.434761489059522,0.09058219705910832,7,0.06916034941237834,4.555801705445582,0,500,216,0
baseline,9,all,oos_warm,BTC,16,885,0.5570621468926553,6.79019739076387,0.08424471286671735,6,0.06032588431677772,3.952510444038806,0,423,196,0
baseline,9,all,oos_warm,ETH,16,869,0.5327963176064442,3.6513100288254083,0.11239343113364852,6,0.05996009875407636,3.8152340410617014,0,441,189,0
baseline,9,all,oos_warm,SOL,16,854,0.550351288056206,4.606809590194767,0.08432804403618989,6,0.060325884316777705,4.555801705445582,0,449,184,0
baseline,9,all,oos_warm,BNB,16,886,0.5553047404063205,5.829301513816487,0.0832162895375583,6,0.06032588431677771,3.810013769938053,0,446,204,0
baseline,9,all,oos_warm,XRP,16,867,0.558246828143022,6.286233324968105,0.08036016182137583,7,0.06916034941237834,3.9525104440388055,0,443,180,0
baseline,9,all,oos_warm,TRX,16,895,0.5553072625698324,6.642123295342346,0.10211299746488471,7,0.06916301047904003,4.555801705445583,0,427,203,0
baseline,9,all,oos_warm,DOGE,16,874,0.5572082379862701,6.246713436998606,0.08025660659611285,7,0.06985665718796939,4.555801705445582,0,458,190,0
baseline,9,all,oos_warm,LINK,16,874,0.5560640732265446,5.698410707736217,0.10249050069966634,6,0.059960098754076346,3.7758664948128056,0,462,199,0
baseline,9,all,oos_warm,LTC,16,876,0.5570776255707762,6.0489126786887635,0.0809284825993396,7,0.06916034941237832,4.555801705445582,0,451,183,0
baseline,9,all,full,,18,2776,0.5961815561959655,6820.110029205773,0.1034441911616789,8,0.08043388010398916,5.0,0,1160,558,0
baseline,9,all,full,BTC,16,2470,0.5939271255060729,2780.5707144150847,0.10571268061956914,6,0.06032588431677771,4.3203423869976945,0,970,508,0
baseline,9,all,full,ETH,16,2458,0.5923515052888527,2238.2946641708145,0.11239343113364836,7,0.07021642276798168,4.7599134448932485,0,1023,491,0
baseline,9,all,full,SOL,16,2420,0.6024793388429752,2630.0276248550413,0.0881225756769598,8,0.08043388010398922,5.0,0,1070,480,0
baseline,9,all,full,BNB,16,2495,0.5943887775551102,2474.0338662744402,0.09353146458531918,7,0.07021280186312952,5.0,0,1032,513,0
baseline,9,all,full,XRP,16,2472,0.5938511326860841,2232.1635457179045,0.10097204381506852,8,0.0804338801039892,4.320342386997694,0,1024,487,0
baseline,9,all,full,TRX,16,2480,0.5911290322580646,2357.6442485052576,0.11529310527836986,7,0.06959436032569404,4.7599134448932485,0,976,500,0
baseline,9,all,full,DOGE,16,2481,0.5953244659411527,2332.313380439271,0.10763461522768829,7,0.07043388010398918,5.0,0,1074,489,0
baseline,9,all,full,LINK,16,2451,0.6009791921664627,2808.902793660676,0.10649083556323732,7,0.07042922009634046,4.849024804583225,0,1057,498,0
baseline,9,all,full,LTC,16,2481,0.6013704151551794,3641.273066521279,0.13042169501787254,8,0.08043388010398918,4.759913444893249,0,1054,498,0
baseline,9,1h,oos_warm,,9,770,0.548051948051948,3.1570478550158887,0.0790202680721204,4,0.04,3.9525104440388055,0,468,161,0
baseline,9,1h,full,,9,2217,0.5926928281461434,639.9785737993443,0.11223578258992441,6,0.05,5.0,0,1103,455,0
baseline,9,4h,oos_warm,,9,215,0.5720930232558139,1.058124945863884,0.06259983225755575,5,0.04535375294728063,3.427839819273697,0,32,55,0
baseline,9,4h,full,,9,559,0.6100178890876565,10.110740179861521,0.09030413785063325,7,0.06999999999999999,3.4278398192736965,0,57,103,0
baseline,12,all,oos_warm,,24,1341,0.5503355704697986,15.651989291030393,0.13720298157533684,8,0.08005150248192264,5.000000000000001,0,656,296,2
baseline,12,all,oos_warm,BTC,22,1241,0.5527800161160354,14.465661812355767,0.12708101394244273,8,0.08005150248192264,5.0,0,578,276,2
baseline,12,all,oos_warm,ETH,22,1225,0.5355102040816326,8.25318419202944,0.13562181123796604,8,0.07909073974628189,5.0,0,596,269,2
baseline,12,all,oos_warm,SOL,22,1212,0.5478547854785478,10.155857859288627,0.13881460177316035,8,0.08005150248192262,5.0,0,604,264,0
baseline,12,all,oos_warm,BNB,22,1242,0.5515297906602254,12.562084814485623,0.13005090495922086,8,0.08005150248192264,5.0,0,601,284,2
baseline,12,all,oos_warm,XRP,22,1225,0.553469387755102,13.690603652797279,0.12749482855434627,8,0.07942532254018704,5.0,0,599,260,0
baseline,12,all,oos_warm,TRX,22,1252,0.5511182108626198,13.913196665771679,0.1562218709089159,8,0.08005150248192261,5.0,0,583,283,1
baseline,12,all,oos_warm,DOGE,22,1232,0.5527597402597403,13.294614650705565,0.13954650897324045,8,0.08005150248192264,5.0,0,614,270,0
baseline,12,all,oos_warm,LINK,22,1231,0.5515840779853778,12.217657004302493,0.12096619140776778,8,0.07909073974628192,5.0,0,617,279,1
baseline,12,all,oos_warm,LTC,22,1233,0.5531224655312247,13.173807132985285,0.12879408202589845,8,0.08005150248192261,5.0,0,606,263,1
baseline,12,all,oos_warm,ADA,22,1217,0.5505341002465078,12.079564665775019,0.12067765266347333,8,0.07561242240324824,4.760171991857459,0,613,266,0
baseline,12,all,oos_warm,DOT,22,1227,0.5558272208638957,14.381119800103505,0.11738555357748567,8,0.07909057595825852,5.0,0,600,267,0
baseline,12,all,oos_warm,BCH,22,1225,0.5469387755102041,10.682676104856206,0.13728246391812302,8,0.08005150248192264,5.0,0,599,275,2
baseline,12,all,full,,24,3739,0.5916020326290452,106863.41093428608,0.13819969856959777,9,0.09043388010398917,5.0,0,1523,786,3
baseline,12,all,full,BTC,22,3434,0.5896913220733838,44716.33572944252,0.14005198914952133,8,0.08005150248192262,5.000000000000001,0,1332,736,2
baseline,12,all,full,ETH,22,3421,0.5884244372990354,35404.86317886543,0.13562181123796582,8,0.08021642276798166,5.0,0,1385,719,3
baseline,12,all,full,SOL,22,3385,0.5955686853766617,41767.52375241531,0.1388146017731603,9,0.0904338801039892,5.000000000000001,0,1432,708,1
baseline,12,all,full,BNB,22,3459,0.5900549291702805,39721.82332594102,0.13005090495922142,8,0.08021280186312951,5.0,0,1394,741,2
baseline,12,all,full,XRP,22,3437,0.5894675589176608,35576.661225823256,0.13588251723788117,9,0.0904338801039892,5.0,0,1386,715,1
baseline,12,all,full,TRX,22,3444,0.5873983739837398,36415.66041236943,0.15622187090891565,8,0.08005150248192262,5.000000000000001,0,1338,728,2
baseline,12,all,full,DOGE,22,3446,0.5905397562391178,36679.8183244257,0.15161630383237987,8,0.08043388010398919,5.0,0,1437,717,1
baseline,12,all,full,LINK,22,3415,0.5944363103953147,43798.45494041014,0.12096619140776758,8,0.08042922009634049,5.0,0,1418,726,2
baseline,12,all,full,LTC,22,3446,0.5951828206616366,58790.37176422298,0.1488354843763214,9,0.09043388010398917,5.0,0,1415,726,1
baseline,12,all,full,ADA,22,3392,0.5958136792452831,51312.20380634358,0.13169347226578826,9,0.09043388010398919,5.0,0,1394,696,0
baseline,12,all,full,DOT,22,3432,0.5935314685314685,45265.661711080065,0.11959102611443186,8,0.08043388010398919,5.0,0,1415,715,0
baseline,12,all,full,BCH,22,3434,0.5894001164822364,34272.93596681363,0.13728246391812304,9,0.09043388010398917,5.0,0,1397,719,2
