lens,symbol,timeframe,segment,num_candidates,num_trades,win_rate,total_return,max_drawdown,engine_total_return,engine_num_trades
baseline,ADA/USDT:USDT,15m,full,1537,1066,0.5712945590994372,4.11539010143058,0.08506501570718622,4.11539010143058,1066.0
baseline,ADA/USDT:USDT,15m,oos_warm,536,369,0.5176151761517616,0.2807820395221521,0.0850650157071854,,
baseline,ADA/USDT:USDT,1h,full,370,289,0.5536332179930796,0.8188989296761887,0.060342591218138786,0.8188989296761887,289.0
baseline,ADA/USDT:USDT,1h,oos_warm,132,103,0.5436893203883495,0.20054964725115806,0.058496739575666014,,
baseline,ADA/USDT:USDT,2h,full,155,113,0.49557522123893805,0.1565573856245006,0.06491268364050284,0.1565573856245006,113.0
baseline,ADA/USDT:USDT,2h,oos_warm,58,42,0.5238095238095238,0.08391609933302152,0.05019313072937815,,
baseline,ADA/USDT:USDT,4h,full,81,61,0.5409836065573771,0.1980980358107732,0.051070932094642016,0.1980980358107732,61.0
baseline,ADA/USDT:USDT,4h,oos_warm,29,23,0.5652173913043478,0.08546378359044211,0.031048004776888457,,
baseline,ALGO/USDT:USDT,15m,full,1678,1202,0.5490848585690515,4.333584816359391,0.12434552372013918,4.333584816359391,1202.0
baseline,ALGO/USDT:USDT,15m,oos_warm,557,408,0.5073529411764706,0.15987010177348693,0.12434552372013816,,
baseline,ALGO/USDT:USDT,1h,full,409,312,0.5833333333333334,1.4015005300118424,0.06787614936297794,1.4015005300118424,312.0
baseline,ALGO/USDT:USDT,1h,oos_warm,144,104,0.5769230769230769,0.2132075981322556,0.05213314931104914,,
baseline,ALGO/USDT:USDT,2h,full,185,137,0.5182481751824818,0.32295557843069256,0.0578975013951188,0.32295557843069256,137.0
baseline,ALGO/USDT:USDT,2h,oos_warm,61,48,0.4583333333333333,0.025440594529646476,0.05088808080676286,,
baseline,ALGO/USDT:USDT,4h,full,89,71,0.5352112676056338,0.22023188175342057,0.05990613032241368,0.22023188175342057,71.0
baseline,ALGO/USDT:USDT,4h,oos_warm,32,26,0.5,0.05065443954755574,0.05990613032241383,,
baseline,ATOM/USDT:USDT,15m,full,1619,1149,0.5735422106179286,8.899396857615264,0.07810682147580868,8.899396857615264,1149.0
baseline,ATOM/USDT:USDT,15m,oos_warm,569,391,0.5319693094629157,0.4858402201806191,0.05666751653145274,,
baseline,ATOM/USDT:USDT,1h,full,303,243,0.5843621399176955,1.053896801044763,0.09022969713135848,1.053896801044763,243.0
baseline,ATOM/USDT:USDT,1h,oos_warm,96,81,0.5432098765432098,0.13526157653989995,0.09022969713135813,,
baseline,ATOM/USDT:USDT,2h,full,174,143,0.6013986013986014,0.7812818004076999,0.048065024540849176,0.7812818004076999,143.0
baseline,ATOM/USDT:USDT,2h,oos_warm,52,48,0.6041666666666666,0.1995542541943425,0.048065024540849245,,
baseline,ATOM/USDT:USDT,4h,full,100,80,0.575,0.35435969481989416,0.04478587245237069,0.35435969481989416,80.0
baseline,ATOM/USDT:USDT,4h,oos_warm,29,21,0.6190476190476191,0.10811827844829112,0.021166109309062455,,
baseline,BCH/USDT:USDT,15m,full,1363,876,0.5525114155251142,2.0177485333755905,0.1178574161871059,2.0177485333755905,876.0
baseline,BCH/USDT:USDT,15m,oos_warm,502,309,0.5469255663430421,0.2975866802245419,0.053241718103969035,,
baseline,BCH/USDT:USDT,1h,full,319,246,0.6219512195121951,1.5904030764886716,0.05460361214107946,1.5904030764886716,246.0
baseline,BCH/USDT:USDT,1h,oos_warm,124,93,0.6021505376344086,0.38356446266966143,0.045643438723547786,,
baseline,BCH/USDT:USDT,2h,full,147,126,0.6666666666666666,0.9728332137401805,0.058582528150396385,0.9728332137401805,126.0
baseline,BCH/USDT:USDT,2h,oos_warm,57,49,0.6326530612244898,0.2342226884087786,0.044723181761911764,,
baseline,BCH/USDT:USDT,4h,full,74,60,0.6,0.2538546970446359,0.031084273471661785,0.2538546970446359,60.0
baseline,BCH/USDT:USDT,4h,oos_warm,26,23,0.5217391304347826,0.0378432642723099,0.02375897443472491,,
baseline,BNB/USDT:USDT,15m,full,1420,769,0.5591677503250976,1.7640360332813234,0.059936589297976885,1.7640360332813234,769.0
baseline,BNB/USDT:USDT,15m,oos_warm,444,187,0.5240641711229946,0.06091791840486439,0.050827067418110085,,
baseline,BNB/USDT:USDT,1h,full,296,220,0.6090909090909091,1.067979652057256,0.07825526785664368,1.067979652057256,220.0
baseline,BNB/USDT:USDT,1h,oos_warm,106,78,0.5128205128205128,0.11604628788947358,0.0782552678566434,,
baseline,BNB/USDT:USDT,2h,full,127,110,0.6,0.4372065549895562,0.050022862428574566,0.4372065549895562,110.0
baseline,BNB/USDT:USDT,2h,oos_warm,46,38,0.6052631578947368,0.1387166399288717,0.04291082778859928,,
baseline,BNB/USDT:USDT,4h,full,71,61,0.6229508196721312,0.3620290124854666,0.03655780647703523,0.3620290124854666,61.0
baseline,BNB/USDT:USDT,4h,oos_warm,25,21,0.6190476190476191,0.11173071681976599,0.036557806477035396,,
baseline,BTC/USDT:USDT,15m,full,1445,658,0.574468085106383,1.4265348162462506,0.07786616736453142,1.4265348162462506,658.0
baseline,BTC/USDT:USDT,15m,oos_warm,508,174,0.5057471264367817,0.05188189398689956,0.07786616736453107,,
baseline,BTC/USDT:USDT,1h,full,344,254,0.610236220472441,0.9893945855778715,0.050880373680385,0.9893945855778715,254.0
baseline,BTC/USDT:USDT,1h,oos_warm,124,85,0.5176470588235295,0.0572268437909981,0.05088037368038528,,
baseline,BTC/USDT:USDT,2h,full,161,120,0.6083333333333333,0.48688265642973527,0.04580640454963048,0.48688265642973527,120.0
baseline,BTC/USDT:USDT,2h,oos_warm,56,40,0.6,0.09121870061180362,0.03408726764964041,,
baseline,BTC/USDT:USDT,4h,full,60,52,0.6346153846153846,0.2580248461440513,0.05256470016774714,0.2580248461440513,52.0
baseline,BTC/USDT:USDT,4h,oos_warm,20,15,0.5333333333333333,0.030171556043808778,0.046766141931767945,,
baseline,DOGE/USDT:USDT,15m,full,1398,983,0.595116988809766,6.669365961985626,0.06397979268729083,6.669365961985626,983.0
baseline,DOGE/USDT:USDT,15m,oos_warm,547,386,0.5595854922279793,0.6530837328128899,0.06397979268729073,,
baseline,DOGE/USDT:USDT,1h,full,292,232,0.6077586206896551,1.3854526366992777,0.058739758763952536,1.3854526366992777,232.0
baseline,DOGE/USDT:USDT,1h,oos_warm,107,89,0.5056179775280899,0.09483823248436657,0.05873975876395224,,
baseline,DOGE/USDT:USDT,2h,full,140,116,0.5948275862068966,0.48343027779762016,0.07056349474887606,0.48343027779762016,116.0
baseline,DOGE/USDT:USDT,2h,oos_warm,62,50,0.52,0.07730553101123715,0.0705634947488761,,
baseline,DOGE/USDT:USDT,4h,full,82,63,0.5873015873015873,0.2565096099232285,0.04283028776199397,0.2565096099232285,63.0
baseline,DOGE/USDT:USDT,4h,oos_warm,32,22,0.5909090909090909,0.0714864196388833,0.02650376634882501,,
baseline,DOT/USDT:USDT,15m,full,1602,1105,0.5728506787330316,5.233103438399258,0.10054919364452596,5.233103438399258,1105.0
baseline,DOT/USDT:USDT,15m,oos_warm,597,405,0.5703703703703704,0.6442379006008858,0.0728981318140716,,
baseline,DOT/USDT:USDT,1h,full,315,243,0.5843621399176955,1.0996030241085588,0.05475932500616617,1.0996030241085588,243.0
baseline,DOT/USDT:USDT,1h,oos_warm,120,93,0.5161290322580645,0.12779205109440608,0.054759325006166246,,
baseline,DOT/USDT:USDT,2h,full,140,115,0.6,0.5633875411289148,0.052306513677188735,0.5633875411289148,115.0
baseline,DOT/USDT:USDT,2h,oos_warm,38,30,0.5,0.04331224533278619,0.0424204523009661,,
baseline,DOT/USDT:USDT,4h,full,83,67,0.5223880597014925,0.16641061510674918,0.05062738791518506,0.16641061510674918,67.0
baseline,DOT/USDT:USDT,4h,oos_warm,26,23,0.391304347826087,-0.02353750123981863,0.0506273879151853,,
baseline,ETC/USDT:USDT,15m,full,1421,961,0.6097814776274714,6.704743402144947,0.05869703147713582,6.704743402144947,961.0
baseline,ETC/USDT:USDT,15m,oos_warm,531,336,0.5684523809523809,0.3274870220955681,0.058697031477135835,,
baseline,ETC/USDT:USDT,1h,full,308,243,0.6172839506172839,1.5210698485160734,0.07725446713102653,1.5210698485160734,243.0
baseline,ETC/USDT:USDT,1h,oos_warm,93,72,0.5555555555555556,0.15230908431389453,0.05339838239649314,,
baseline,ETC/USDT:USDT,2h,full,160,125,0.616,0.751464681000292,0.05104723860617657,0.751464681000292,125.0
baseline,ETC/USDT:USDT,2h,oos_warm,58,47,0.5957446808510638,0.2085275226207512,0.03155695538410915,,
baseline,ETC/USDT:USDT,4h,full,82,71,0.6338028169014085,0.41756748985749476,0.04069780363324872,0.41756748985749476,71.0
baseline,ETC/USDT:USDT,4h,oos_warm,41,33,0.6060606060606061,0.153260281808131,0.030935429095136753,,
