lens,universe,scope,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional,reentry
baseline,12,15m,full,,12,12877,0.5788615360720665,1896879995.689761,0.19632682550095187,8,0.07898759569160758,5.0,0,10894,5602,13,band
baseline,12,15m,oos_warm,,12,4298,0.5565379246161005,92.44592175553915,0.18468149198460895,6,0.0439844244103978,5.0,0,3992,1910,1,band
baseline,12,1h,full,,12,3515,0.5914651493598863,28343.663398639448,0.11313483792893098,6,0.05958692181920321,5.0,0,1647,1581,0,band
baseline,12,1h,oos_warm,,12,1220,0.5516393442622951,9.863602228194488,0.10841149907492657,6,0.05958692181920321,4.817277512557705,0,688,572,0,band
baseline,12,2h,full,,12,1742,0.6010332950631458,540.5681586480147,0.10215613826893502,6,0.05948415681179408,3.6382294284558623,0,437,735,0,band
baseline,12,2h,oos_warm,,12,609,0.5747126436781609,4.015004601229107,0.08436900476612406,6,0.05948415681179408,3.6209246260557397,0,213,284,0,band
baseline,12,4h,full,,12,883,0.5866364665911665,26.012320402243297,0.15868281230649592,7,0.06999999999999999,3.4278398192736965,0,87,372,0,band
baseline,12,4h,oos_warm,,12,334,0.5508982035928144,1.5156507483786468,0.08282456378986311,6,0.060000000000000005,3.4278398192736965,0,48,154,0,band
baseline,12,all,full,,48,18665,0.5814090543798554,3.965172054570456e+16,0.25835988724526465,13,0.12819436927633862,5.000000000000001,0,12985,8146,547,band
baseline,12,all,full,ADA,44,16998,0.5836569008118602,3047148320681978.0,0.25919635490184384,13,0.12819436927633862,5.000000000000001,0,11818,7319,399,band
baseline,12,all,full,BCH,44,17202,0.581037088710615,1922639514900029.0,0.253662653444596,13,0.12819436927633865,5.000000000000001,0,11946,7467,408,band
baseline,12,all,full,BNB,44,17369,0.5814957683228741,3634005619060821.0,0.22847212968968797,12,0.10790935261389557,5.000000000000001,0,11988,7632,393,band
baseline,12,all,full,BTC,44,17467,0.5806377740882808,5305966655505108.0,0.27428600783986123,12,0.11926610660176162,5.000000000000001,0,11991,7615,373,band
baseline,12,all,full,DOGE,44,17067,0.5793050916974278,781083954121920.1,0.2704480339805692,13,0.1281943692763386,5.000000000000001,0,11893,7446,387,band
baseline,12,all,full,DOT,44,16994,0.5822054842885724,1750925321229604.8,0.24947656344440355,13,0.11861381649176805,5.000000000000001,0,11803,7345,371,band
baseline,12,all,full,ETH,44,17287,0.5808989414010528,2797338179537121.5,0.23099959468356207,11,0.10780741259951057,5.000000000000001,0,11963,7620,396,band
baseline,12,all,full,LINK,44,17066,0.582971991093402,2242417281022925.2,0.2274033573500558,12,0.11833247446102463,5.000000000000001,0,11932,7452,369,band
baseline,12,all,full,LTC,44,17176,0.5838379133674895,5012639061694905.0,0.25161426487531646,13,0.11466850949697724,5.000000000000001,0,11919,7479,384,band
baseline,12,all,full,SOL,44,16794,0.5832440157198999,1253476638120942.5,0.23872265071369678,13,0.1281943692763386,5.000000000000001,0,11816,7359,387,band
baseline,12,all,full,TRX,44,17606,0.5823014881290469,7198679714620704.0,0.24866403317444383,13,0.11819436927633861,5.000000000000001,0,12168,7763,438,band
baseline,12,all,full,XRP,44,17168,0.5795083876980429,978068074433783.4,0.2331063522217111,13,0.12819436927633862,5.000000000000001,0,11911,7485,384,band
baseline,12,all,oos_warm,,48,6286,0.5521794463888005,2922.0575201011793,0.22896037925774845,13,0.11466849199012655,5.000000000000001,0,4880,2846,278,band
baseline,12,all,oos_warm,ADA,44,5742,0.5576454197143852,2427.1757212764132,0.19679044373671284,13,0.11469249766525857,5.000000000000001,0,4478,2597,199,band
baseline,12,all,oos_warm,BCH,44,5768,0.5504507628294036,1354.7230754540133,0.25366265344459604,12,0.11083911186904459,5.000000000000001,0,4465,2604,225,band
baseline,12,all,oos_warm,BNB,44,5926,0.5533243334458319,2356.1233808758025,0.22002480031236682,12,0.10384665099389219,5.000000000000001,0,4577,2703,217,band
baseline,12,all,oos_warm,BTC,44,5928,0.553306342780027,2538.2618624989946,0.21165807188433858,12,0.11219412043140352,5.000000000000001,0,4558,2701,221,band
