scenario,k,variant,scope,segment,exclude,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,max_open_notional_ratio,liquidation_events
k1.00_pure,1.0,pure,4h,full,-ADA,11,11,814,0.5933660933660934,22.513038368464827,0.12235040996238361,7,0.06999999999999999,0.06999999999999999,3.427839819273697,0
k1.00_pure,1.0,pure,4h,oos_warm,-ADA,11,11,307,0.5504885993485342,1.3106743861120997,0.07284620856967025,5,0.05,0.05,3.427839819273697,0
k1.25_pure,1.25,pure,4h,full,-ADA,11,11,814,0.5933660933660934,9.315757191601648,0.17561873232813927,7,0.07,0.08750000000000001,3.4278398192736965,0
k1.25_pure,1.25,pure,4h,oos_warm,-ADA,11,11,307,0.5504885993485342,0.6510732484496184,0.11396178188827126,5,0.05,0.0625,3.4278398192736965,0
k1.50_pure,1.5,pure,4h,full,-ADA,11,11,814,0.5933660933660934,3.5067332374505016,0.28418695233810715,7,0.07,0.105,3.4278398192736965,0
k1.50_pure,1.5,pure,4h,oos_warm,-ADA,11,11,307,0.5504885993485342,0.1777228633740755,0.15817577550001452,5,0.05,0.075,3.4278398192736965,0
k2.00_pure,2.0,pure,4h,full,-ADA,11,11,814,0.5933660933660934,-0.15085068888138484,0.512653601118731,7,0.07,0.14,3.4278398192736965,0
k2.00_pure,2.0,pure,4h,oos_warm,-ADA,11,11,307,0.5504885993485342,-0.4039252729722401,0.4711345043904524,5,0.049999999999999996,0.09999999999999999,3.4278398192736965,0
k1.00_pure,1.0,pure,4h,full,-BCH,11,11,814,0.585995085995086,19.98760056080577,0.1408382305153679,7,0.06999999999999999,0.06999999999999999,3.4278398192736965,0
k1.00_pure,1.0,pure,4h,oos_warm,-BCH,11,11,309,0.5501618122977346,1.3571797106417518,0.08218771703528895,6,0.06,0.06,3.4278398192736965,0
