arm,family,take_profit_r,partial_r,breakeven,segment,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events,skipped_notional
A0,A,1.5,,False,full,6134,0.5935767851320508,72285.93865651812,0.1375035352365368,525702.4012667756,14,0.1165535325023369,0,6
A0,A,1.5,,False,is,3971,0.6129438428607403,19178.524051821605,0.1375035352365368,139476.58886609896,12,0.1165535325023369,0,6
A0,A,1.5,,False,oos_warm,2132,0.5548780487804879,85.18675444676366,0.1957517082588918,435.1775788035512,13,0.1175937718903148,0,50
A0,A,1.5,,False,oos,2028,0.5453648915187377,46.583547703499605,0.1957517082588917,237.9726241872201,10,0.0905429239939991,0,48
A1_be_off,A,1.5,1.0,False,full,6136,0.5938722294654498,60402.7236217358,0.1343805576143788,449490.0504511128,14,0.1165432717621476,0,4
A1_be_off,A,1.5,1.0,False,is,3973,0.6128869871633527,15270.621102960627,0.1343805576143788,113637.13154682326,12,0.1165432717621476,0,4
A1_be_off,A,1.5,1.0,False,oos_warm,2147,0.5589194224499301,94.6944886616931,0.162450528734679,582.9127759648729,14,0.1066039151488836,0,30
A1_be_off,A,1.5,1.0,False,oos,2044,0.5499021526418787,54.04462946720995,0.1624505287346791,332.68361690270547,10,0.0860191090786863,0,27
A1_be_on,A,1.5,1.0,True,full,6864,0.6876456876456877,128265.67823134747,0.14640826125425924,876082.2451719133,13,0.11654898312706022,0,8
A1_be_on,A,1.5,1.0,True,is,4441,0.702319297455528,23238.358596595408,0.14640826125425924,158723.00099403967,12,0.11654898312706022,0,8
A1_be_on,A,1.5,1.0,True,oos_warm,2400,0.66,123.23324515380116,0.14730867361581795,836.5647597587792,12,0.11685584648072646,0,38
A1_be_on,A,1.5,1.0,True,oos,2291,0.6551724137931034,70.07440583179324,0.14730867361581787,475.6977583991274,10,0.09026414010298216,0,38
