scope,symbol,timeframe,segment,arm,repaired_bars,num_trades,win_rate,total_return,max_drawdown,liquidation_events
cell,BTC/USDT:USDT,4h,full,stored,0,52,0.6346153846153846,0.2580248461440513,0.0525647001677471,
cell,BTC/USDT:USDT,4h,oos_warm,stored,0,15,0.5333333333333333,0.0301715560438087,0.0467661419317679,
cell,BTC/USDT:USDT,4h,full,repaired,37,53,0.6415094339622641,0.2757648493368771,0.0525647001677471,
cell,BTC/USDT:USDT,4h,oos_warm,repaired,37,16,0.5625,0.0446984922560708,0.0467661419317679,
cell,ETH/USDT:USDT,4h,full,stored,0,68,0.6176470588235294,0.367972332430133,0.0471152411781898,
cell,ETH/USDT:USDT,4h,oos_warm,stored,0,25,0.64,0.1417028086555727,0.0215191183469707,
cell,ETH/USDT:USDT,4h,full,repaired,37,68,0.6176470588235294,0.367972332430133,0.0471152411781898,
cell,ETH/USDT:USDT,4h,oos_warm,repaired,37,25,0.64,0.1417028086555727,0.0215191183469707,
cell,SOL/USDT:USDT,4h,full,stored,0,76,0.5789473684210527,0.3364607263108504,0.0412724490098484,
cell,SOL/USDT:USDT,4h,oos_warm,stored,0,38,0.5526315789473685,0.1288034100167548,0.0412724490098483,
cell,SOL/USDT:USDT,4h,full,repaired,37,76,0.5789473684210527,0.3364607263108504,0.0412724490098484,
cell,SOL/USDT:USDT,4h,oos_warm,repaired,37,38,0.5526315789473685,0.1288034100167548,0.0412724490098483,
cell,BNB/USDT:USDT,4h,full,stored,0,61,0.6229508196721312,0.3620290124854666,0.0365578064770352,
cell,BNB/USDT:USDT,4h,oos_warm,stored,0,21,0.6190476190476191,0.1117307168197659,0.0365578064770353,
cell,BNB/USDT:USDT,4h,full,repaired,4,61,0.6229508196721312,0.3620290124854666,0.0365578064770352,
cell,BNB/USDT:USDT,4h,oos_warm,repaired,4,21,0.6190476190476191,0.1117307168197659,0.0365578064770353,
cell,XRP/USDT:USDT,4h,full,stored,0,58,0.5862068965517241,0.2354777687168118,0.0419799363467984,
cell,XRP/USDT:USDT,4h,oos_warm,stored,0,25,0.44,0.0005995117963564,0.0419799363467986,
cell,XRP/USDT:USDT,4h,full,repaired,4,58,0.5862068965517241,0.2354777687168118,0.0419799363467984,
cell,XRP/USDT:USDT,4h,oos_warm,repaired,4,25,0.44,0.0005995117963564,0.0419799363467986,
cell,TRX/USDT:USDT,4h,full,stored,0,69,0.6666666666666666,0.4472588997146611,0.0317474922235551,
cell,TRX/USDT:USDT,4h,oos_warm,stored,0,25,0.52,0.0458318717210302,0.0226441336220705,
cell,TRX/USDT:USDT,4h,full,repaired,4,69,0.6666666666666666,0.4472588997146611,0.0317474922235551,
cell,TRX/USDT:USDT,4h,oos_warm,repaired,4,25,0.52,0.0458318717210302,0.0226441336220705,
cell,DOGE/USDT:USDT,4h,full,stored,0,63,0.5873015873015873,0.2565096099232285,0.0428302877619939,
cell,DOGE/USDT:USDT,4h,oos_warm,stored,0,22,0.5909090909090909,0.0714864196388833,0.026503766348825,
cell,DOGE/USDT:USDT,4h,full,repaired,0,63,0.5873015873015873,0.2565096099232285,0.0428302877619939,
cell,DOGE/USDT:USDT,4h,oos_warm,repaired,0,22,0.5909090909090909,0.0714864196388833,0.026503766348825,
cell,LINK/USDT:USDT,4h,full,stored,0,59,0.6101694915254238,0.3138936308288202,0.0410384086799019,
cell,LINK/USDT:USDT,4h,oos_warm,stored,0,19,0.7368421052631579,0.1571708014531821,0.0105489494013078,
cell,LINK/USDT:USDT,4h,full,repaired,0,59,0.6101694915254238,0.3138936308288202,0.0410384086799019,
cell,LINK/USDT:USDT,4h,oos_warm,repaired,0,19,0.7368421052631579,0.1571708014531821,0.0105489494013078,
cell,LTC/USDT:USDT,4h,full,stored,0,53,0.5849056603773585,0.2340281049006884,0.0410536184352422,
cell,LTC/USDT:USDT,4h,oos_warm,stored,0,25,0.56,0.0859494949479858,0.0410536184352424,
cell,LTC/USDT:USDT,4h,full,repaired,0,53,0.5849056603773585,0.2340281049006884,0.0410536184352422,
cell,LTC/USDT:USDT,4h,oos_warm,repaired,0,25,0.56,0.0859494949479858,0.0410536184352424,
cell,ADA/USDT:USDT,4h,full,stored,0,61,0.5409836065573771,0.1980980358107732,0.051070932094642,
cell,ADA/USDT:USDT,4h,oos_warm,stored,0,23,0.5652173913043478,0.0854637835904421,0.0310480047768884,
cell,ADA/USDT:USDT,4h,full,repaired,0,61,0.5409836065573771,0.1980980358107732,0.051070932094642,
cell,ADA/USDT:USDT,4h,oos_warm,repaired,0,23,0.5652173913043478,0.0854637835904421,0.0310480047768884,
cell,DOT/USDT:USDT,4h,full,stored,0,67,0.5223880597014925,0.1664106151067491,0.050627387915185,
cell,DOT/USDT:USDT,4h,oos_warm,stored,0,23,0.391304347826087,-0.0235375012398186,0.0506273879151853,
cell,DOT/USDT:USDT,4h,full,repaired,0,67,0.5223880597014925,0.1664106151067491,0.050627387915185,
cell,DOT/USDT:USDT,4h,oos_warm,repaired,0,23,0.391304347826087,-0.0235375012398186,0.0506273879151853,
cell,BCH/USDT:USDT,4h,full,stored,0,60,0.6,0.2538546970446359,0.0310842734716617,
cell,BCH/USDT:USDT,4h,oos_warm,stored,0,23,0.5217391304347826,0.0378432642723099,0.0237589744347249,
cell,BCH/USDT:USDT,4h,full,repaired,0,60,0.6,0.2538546970446359,0.0310842734716617,
cell,BCH/USDT:USDT,4h,oos_warm,repaired,0,23,0.5217391304347826,0.0378432642723099,0.0237589744347249,
book,ALL,4h,full,stored,0,883,0.5866364665911665,26.016379856437254,0.15868281230649592,0.0
book,ALL,4h,oos_warm,stored,0,334,0.5508982035928144,1.5156507483786468,0.08282456378986311,0.0
book,ALL,4h,full,repaired,0,884,0.5871040723981901,26.39735060306503,0.15868281230649592,0.0
book,ALL,4h,oos_warm,repaired,0,335,0.5522388059701493,1.5511251290675965,0.08282456378986311,0.0
