symbol,timeframe,compared,damaged,price_wrong,noise,first_damaged_ms,last_damaged_ms,min_volume_ratio,max_price_bp,bit_identical_ratio
BTC/USDT:USDT,4h,12816,37,37,4,1699617600000.0,1784664000000.0,0.004314152622497276,141.81915743197365,0.7727840199750312
BTC/USDT:USDT,1d,2136,12,10,9,1692144000000.0,1784592000000.0,0.00617554630574953,372.6388032245011,0.7209737827715356
ETH/USDT:USDT,4h,12816,37,37,4,1699617600000.0,1784664000000.0,0.0073993938767095094,172.32005148519215,0.767400124843945
ETH/USDT:USDT,1d,2136,12,10,8,1692144000000.0,1784592000000.0,0.005580394199115274,566.3839417911074,0.7209737827715356
SOL/USDT:USDT,4h,12816,37,37,3,1699617600000.0,1784664000000.0,0.0072344237876737095,178.66884888161516,0.9288389513108615
SOL/USDT:USDT,1d,2136,12,10,9,1692144000000.0,1784592000000.0,0.005153578731845211,343.09946029298226,0.9283707865168539
BNB/USDT:USDT,4h,12816,4,4,0,1699617600000.0,1784664000000.0,0.5608132721183894,40.20100502512452,0.8340355805243446
BNB/USDT:USDT,1d,2136,3,1,2,1692144000000.0,1784592000000.0,0.41949278396237055,87.92241934641355,0.8450374531835206
XRP/USDT:USDT,4h,12816,4,4,1,1699617600000.0,1784664000000.0,0.5022903080957426,32.43744207599615,0.853776529338327
XRP/USDT:USDT,1d,2136,3,1,2,1692144000000.0,1784592000000.0,0.3199792924898332,219.9123786616257,0.8773408239700374
TRX/USDT:USDT,4h,12816,4,4,1,1699617600000.0,1784664000000.0,0.5180155053021316,30.20502806931874,0.9996098626716604
TRX/USDT:USDT,1d,2136,3,1,1,1692144000000.0,1784592000000.0,0.2964819933694642,100.23620616558763,0.99812734082397
DOGE/USDT:USDT,4h,12816,0,0,0,,,,,1.0
DOGE/USDT:USDT,1d,2136,0,0,0,,,,,1.0
LINK/USDT:USDT,4h,12816,0,0,0,,,,,1.0
LINK/USDT:USDT,1d,2136,0,0,0,,,,,1.0
LTC/USDT:USDT,4h,12816,0,0,0,,,,,1.0
LTC/USDT:USDT,1d,2136,0,0,0,,,,,1.0
ADA/USDT:USDT,4h,12816,0,0,0,,,,,1.0
ADA/USDT:USDT,1d,2136,0,0,0,,,,,1.0
DOT/USDT:USDT,4h,12816,0,0,0,,,,,1.0
DOT/USDT:USDT,1d,2136,0,0,0,,,,,1.0
BCH/USDT:USDT,4h,12816,0,0,0,,,,,1.0
BCH/USDT:USDT,1d,2136,0,0,0,,,,,1.0
