lens,scope,arm,family,take_profit_r,partial_r,breakeven,segment,stress_k,num_cells,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,skipped_notional
baseline,both,A0,A,1.5,,False,full,1.0,48,19018,0.5833946787254181,6841306.433543502,0.1745281963986644,39198860.55498053,17,0.1281943692763386,0.1281943692763386,0,9
baseline,both,A0,A,1.5,,False,is,1.0,48,12556,0.5969257725390251,1091185.4282908884,0.1362281828130848,8009982.99880485,16,0.1281943692763386,0.1281943692763386,0,9
baseline,both,A0,A,1.5,,False,oos_warm,1.0,48,6336,0.5533459595959596,1519.800873534539,0.2289603792577484,6637.83349093621,14,0.1071839380808172,0.1071839380808172,0,187
baseline,both,A0,A,1.5,,False,oos,1.0,48,6160,0.5483766233766234,880.814617457925,0.2289603792577465,3847.017638219272,11,0.0956316131069461,0.0956316131069461,0,183
baseline,both_no15m,A0,A,1.5,,False,full,1.0,36,6134,0.5935767851320508,72285.93865651812,0.1375035352365368,525702.4012667756,14,0.1165535325023369,0.1165535325023369,0,6
baseline,both_no15m,A0,A,1.5,,False,is,1.0,36,3971,0.6129438428607403,19178.524051821605,0.1375035352365368,139476.58886609896,12,0.1165535325023369,0.1165535325023369,0,6
baseline,both_no15m,A0,A,1.5,,False,oos_warm,1.0,36,2132,0.5548780487804879,85.18675444676366,0.1957517082588918,435.1775788035512,13,0.1175937718903148,0.1175937718903148,0,50
baseline,both_no15m,A0,A,1.5,,False,oos,1.0,36,2028,0.5453648915187377,46.583547703499605,0.1957517082588917,237.9726241872201,10,0.0905429239939991,0.0905429239939991,0,48
baseline,both,A1_be_off,A,1.5,1.0,False,full,1.0,48,19022,0.58353485437914,5703719.941201849,0.1745622924647204,32674410.1527802,17,0.1128656188076863,0.1128656188076863,0,5
baseline,both,A1_be_off,A,1.5,1.0,False,is,1.0,48,12560,0.5969745222929936,909098.788643024,0.113495105185265,8010026.398575039,16,0.1128656188076863,0.1128656188076863,0,5
baseline,both,A1_be_off,A,1.5,1.0,False,oos_warm,1.0,48,6385,0.5547376664056383,1477.2531407737742,0.1908850293482733,7738.968036505881,14,0.1055291223927142,0.1055291223927142,0,116
baseline,both,A1_be_off,A,1.5,1.0,False,oos,1.0,48,6207,0.5498630578379249,876.1610030527848,0.2093374103967466,4185.400982042537,11,0.0935671395569856,0.0935671395569856,0,114
baseline,both_no15m,A1_be_off,A,1.5,1.0,False,full,1.0,36,6136,0.5938722294654498,60402.7236217358,0.1343805576143788,449490.0504511128,14,0.1165432717621476,0.1165432717621476,0,4
baseline,both_no15m,A1_be_off,A,1.5,1.0,False,is,1.0,36,3973,0.6128869871633527,15270.621102960627,0.1343805576143788,113637.13154682326,12,0.1165432717621476,0.1165432717621476,0,4
baseline,both_no15m,A1_be_off,A,1.5,1.0,False,oos_warm,1.0,36,2147,0.5589194224499301,94.6944886616931,0.162450528734679,582.9127759648729,14,0.1066039151488836,0.1066039151488836,0,30
baseline,both_no15m,A1_be_off,A,1.5,1.0,False,oos,1.0,36,2044,0.5499021526418787,54.04462946720995,0.1624505287346791,332.68361690270547,10,0.0860191090786863,0.0860191090786863,0,27
baseline,both,A1_be_on,A,1.5,1.0,True,full,1.0,48,21201,0.6804396019055705,39794886.08099714,0.1791383315757544,222146124.34396031,17,0.1130673405938901,0.1130673405938901,0,10
baseline,both,A1_be_on,A,1.5,1.0,True,is,1.0,48,14040,0.6934472934472935,2963202.089697036,0.1791383315757544,16541418.375575025,16,0.1130673405938901,0.1130673405938901,0,6
baseline,both,A1_be_on,A,1.5,1.0,True,oos_warm,1.0,48,7061,0.6521739130434783,1911.7240149520003,0.2023052774540538,9449.699182396156,12,0.105222577996996,0.105222577996996,0,153
baseline,both,A1_be_on,A,1.5,1.0,True,oos,1.0,48,6876,0.6492146596858639,1107.7431974662395,0.2023052774540528,5475.602077250941,11,0.0960439392503198,0.0960439392503198,0,151
baseline,both_no15m,A1_be_on,A,1.5,1.0,True,full,1.0,36,6864,0.6876456876456877,128265.67823134748,0.1464082612542592,876082.2451719133,13,0.1165489831270602,0.1165489831270602,0,8
baseline,both_no15m,A1_be_on,A,1.5,1.0,True,is,1.0,36,4441,0.702319297455528,23238.358596595408,0.1464082612542592,158723.00099403967,12,0.1165489831270602,0.1165489831270602,0,8
baseline,both_no15m,A1_be_on,A,1.5,1.0,True,oos_warm,1.0,36,2400,0.66,123.23324515380116,0.1473086736158179,836.5647597587792,12,0.1168558464807264,0.1168558464807264,0,38
baseline,both_no15m,A1_be_on,A,1.5,1.0,True,oos,1.0,36,2291,0.6551724137931034,70.07440583179324,0.1473086736158178,475.6977583991274,10,0.0902641401029821,0.0902641401029821,0,38
pen_5bp,both,A0,A,1.5,,False,full,1.0,48,17175,0.5696652110625909,985010.2698638136,0.2561987705883817,3844711.149868735,16,0.1281943692763386,0.1281943692763386,0,11
pen_5bp,both,A0,A,1.5,,False,is,1.0,48,11443,0.5850738442716071,301578.13666520256,0.1518580488249568,1985921.319276429,15,0.1281943692763386,0.1281943692763386,0,11
pen_5bp,both,A0,A,1.5,,False,oos_warm,1.0,48,5622,0.5353966559943081,425.52189304372973,0.2303313828911928,1847.4334139900673,13,0.1157075845969005,0.1157075845969005,0,157
pen_5bp,both,A0,A,1.5,,False,oos,1.0,48,5459,0.5303169078585822,224.5018097363346,0.2303313828911928,974.690495573449,10,0.0956658071042974,0.0956658071042974,0,159
