arm,arm_label,lens,no_same_step_tp,compounding,segment,num_cells,num_trades,win_rate,total_return,cagr,span_years,net_pnl,net_r,mean_net_r,median_net_r,profit_factor,max_drawdown,return_over_mdd,ruin,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,same_step_tp_trades,same_step_tp_trade_share,candidate_same_step_tps,reentry_trades
A,채택 북(현행) = 인자 없는 backtest.run,baseline,False,on,full,48,19018,0.5833946787254181,6841306.433543502,13.782502067113903,5.843258042436688,68413064335.43505,5536.212029607791,0.2911037979602372,1.218176573420238,1.662030506334334,0.17452819639866443,39198860.55498053,False,17,0.12819436927633865,0.12819436927633865,0,1747,0.09186034283310548,2976,3091
A,채택 북(현행) = 인자 없는 backtest.run,baseline,False,on,is,48,12556,0.5969257725390251,1091185.4282908884,34.465547025200095,3.895904631530915,10911854282.908882,4185.866969389744,0.3333758338156852,1.2383091047762929,2.0688984894254463,0.13622818281308482,8009982.99880485,False,16,0.12819436927633865,0.12819436927633865,0,1280,0.10194329404268876,2090,2090
A,채택 북(현행) = 인자 없는 backtest.run,baseline,False,on,oos_warm,48,6336,0.5533459595959596,1519.800873534539,42.201105202590604,1.9456327477374706,15198008.735345388,1257.9005980600764,0.19853229136049186,1.183012680681413,1.4869638579717064,0.22896037925774845,6637.83349093621,False,14,0.10718393808081722,0.10718393808081722,0,467,0.07370580808080808,886,987
A,채택 북(현행) = 인자 없는 backtest.run,baseline,False,on,oos,48,6160,0.5483766233766234,880.814617457925,31.882414948546725,1.941626739676021,8808146.174579248,1135.7642009241226,0.1843773053448251,1.1777155259487917,1.3895994108822947,0.22896037925774657,3847.017638219272,False,11,0.09563161310694611,0.09563161310694611,0,420,0.06818181818181818,835,927
A,채택 북(현행) = 인자 없는 backtest.run,baseline,False,off,full,48,18650,0.5813941018766756,40.23932818318677,0.8899061024609796,5.843258042436688,402393.28183186776,5323.438863551325,0.28543908115556704,1.2155415838497643,1.6399868022227433,0.06490432593020033,619.9791401648806,False,13,0.03735860586857858,0.03735860586857858,0,1742,0.09340482573726541,2976,3042
A,채택 북(현행) = 인자 없는 backtest.run,baseline,False,off,is,48,12374,0.5962502020365282,31.697196730314356,1.4476214416500017,3.895904631530915,316971.96730314364,4098.672253852579,0.3312326049662663,1.2375515835010007,1.763140491914183,0.06490432593020033,488.36801362673856,False,13,0.03735860586857858,0.03735860586857858,0,1277,0.1032002586067561,2090,2067
A,채택 북(현행) = 인자 없는 backtest.run,baseline,False,off,oos_warm,48,6276,0.5521032504780115,8.542131452872498,2.1879384151180354,1.9456327477374706,85421.31452872441,1224.7666096987746,0.19515083009859377,1.1815515990619825,1.400286535579469,0.09223962103211342,92.60805017725015,False,13,0.05003913022446771,0.05003913022446771,0,465,0.07409177820267686,886,975
A,채택 북(현행) = 인자 없는 backtest.run,baseline,False,off,oos,48,6111,0.5475372279495991,7.755699632399367,2.057102431428443,1.941626739676021,77556.99632399311,1112.800209541215,0.18209789061384635,1.176658296833591,1.3710626169635778,0.12141907607114394,63.87546243437905,False,10,0.053707053758104584,0.053707053758104584,0,418,0.06840124365897562,835,916
D,가장 보수적 — 두 축을 쌓음,pen_5bp,True,on,full,48,16485,0.5498331816803155,41823.37290103714,5.17991579796038,5.842643927294851,418233729.0103715,3498.95394196409,0.2122507699098629,1.196554536024013,1.2137654019212714,0.20809980973091727,200977.4682404405,False,19,0.12896597406794036,0.12896597406794036,0,0,0.0,0,1851
D,가장 보수적 — 두 축을 쌓음,pen_5bp,True,on,is,48,10940,0.5639853747714808,26664.379974330124,12.678923474967814,3.895902730245646,266643799.7433013,2800.9837514991723,0.25603142152643255,1.2183939276068183,1.3412728627594876,0.19819459429463246,134536.36346252382,False,19,0.12896597406794036,0.12896597406794036,0,0,0.0,0,1277
D,가장 보수적 — 두 축을 쌓음,pen_5bp,True,on,oos_warm,48,5388,0.5157757980697847,56.641619352743135,7.040013844188648,1.9450129287398281,566416.1935274297,586.8011739992274,0.1089089038602872,1.1520757283907157,1.152879956415655,0.25985556593955395,217.9734697925184,False,11,0.09628721461764965,0.09628721461764965,0,0,0.0,0,566
D,가장 보수적 — 두 축을 쌓음,pen_5bp,True,on,oos,48,5274,0.5136518771331058,43.02262249288489,6.027693010421339,1.941014525819454,430226.2249288494,539.2602711683751,0.10224881895494409,1.1489199006596418,1.1424146184082284,0.25985556593955317,165.56359813702312,False,10,0.09628721461764966,0.09628721461764966,0,0,0.0,0,541
