arm,compounding,segment,excluded,num_trades,total_return,max_drawdown,mean_net_r,net_r
A,on,oos_warm,-,6336,1519.800873534539,0.22896037925774845,0.19853229136049186,1257.9005980600764
A,on,oos_warm,BTC/USDT:USDT,5976,1360.3991918598751,0.21165807188433858,0.20537358352656374,1227.3125351547449
A,on,oos_warm,ETH/USDT:USDT,5791,771.0821342501783,0.23099959468356254,0.18727339014268812,1084.500202316307
A,on,oos_warm,SOL/USDT:USDT,5685,851.0956146500341,0.23872265071369703,0.1952700302631307,1110.110122045898
A,on,oos_warm,BNB/USDT:USDT,5974,1365.969913064539,0.22002480031236682,0.20330733218875466,1214.5580024956203
A,on,oos_warm,XRP/USDT:USDT,5821,1167.3017249150953,0.208248846027593,0.2033354712647722,1183.6157782322389
A,on,oos_warm,TRX/USDT:USDT,6097,1444.8716750656886,0.19220916187340323,0.20205009131380483,1231.899406740268
A,on,oos_warm,DOGE/USDT:USDT,5712,941.5668185234573,0.19907192739251067,0.19482309971242512,1112.8295455573723
A,on,oos_warm,LINK/USDT:USDT,5773,1074.7920401498475,0.21109514426693238,0.2001896084098153,1155.6946093498639
A,on,oos_warm,LTC/USDT:USDT,5800,1335.405005040305,0.19139144012998843,0.2082142135709661,1207.6424387116033
A,on,oos_warm,ADA/USDT:USDT,5773,1245.563304824069,0.19679044373671284,0.20888885651442585,1205.9153686577804
A,on,oos_warm,DOT/USDT:USDT,5744,1209.4515162997975,0.17826193147296363,0.19869482113584822,1141.3030526043121
A,on,oos_warm,BCH/USDT:USDT,5804,984.2232902136318,0.25366265344459604,0.1939464872187864,1125.6654118178362
A,off,oos_warm,-,6276,8.542131452872498,0.09223962103211342,0.19515083009859377,1224.7666096987746
A,off,oos_warm,BTC/USDT:USDT,5918,8.363089960749342,0.11290657529841057,0.2000996312316366,1184.1896176288253
A,off,oos_warm,ETH/USDT:USDT,5748,7.495358506345679,0.09611034609919335,0.18516288403246575,1064.316257418613
A,off,oos_warm,SOL/USDT:USDT,5651,7.670358802777267,0.09311825412503769,0.19240647248652668,1087.2889760213623
A,off,oos_warm,BNB/USDT:USDT,5919,8.303424030670953,0.1148233926843988,0.1994521850843783,1180.557483514435
A,off,oos_warm,XRP/USDT:USDT,5788,8.124679998019205,0.09996471161108852,0.20246974911064772,1171.894907852429
A,off,oos_warm,TRX/USDT:USDT,6040,8.392893190599985,0.09210836135180928,0.19837743253031168,1198.1996924830826
A,off,oos_warm,DOGE/USDT:USDT,5670,7.719382778439449,0.09259685951726915,0.19169358368360395,1086.9026194860344
A,off,oos_warm,LINK/USDT:USDT,5730,7.952121849937548,0.08464113009569801,0.19777516102255815,1133.2516726592582
A,off,oos_warm,LTC/USDT:USDT,5758,8.305869789037539,0.08860759686428239,0.2060005518173383,1186.151177364234
A,off,oos_warm,ADA/USDT:USDT,5735,8.267962168655279,0.10138038833548568,0.20796655669456554,1192.6882026433334
A,off,oos_warm,DOT/USDT:USDT,5706,8.054599044800595,0.08236902775616108,0.19631424466634081,1120.1690800661406
A,off,oos_warm,BCH/USDT:USDT,5758,7.739904418746922,0.08830793060723302,0.19093275717576566,1099.3908158180586
D,on,oos_warm,-,5388,56.641619352743135,0.25985556593955395,0.1089089038602872,586.8011739992274
D,on,oos_warm,BTC/USDT:USDT,5103,65.56157447932169,0.24380077986077522,0.11594262924774328,591.6552370512339
D,on,oos_warm,ETH/USDT:USDT,4931,29.698865852514746,0.2532983987431953,0.0972586660887647,479.58248248369875
D,on,oos_warm,SOL/USDT:USDT,4841,41.02930947042338,0.26706699814609586,0.10766324092764396,521.1977493307244
D,on,oos_warm,BNB/USDT:USDT,5085,53.8969990254637,0.2560511560472202,0.11521861225166109,585.8866432996966
D,on,oos_warm,XRP/USDT:USDT,4954,50.71868153651739,0.24370259292546834,0.11320242275278518,560.8048023172978
D,on,oos_warm,TRX/USDT:USDT,5193,62.200646964295885,0.23795675203401578,0.11368616116234968,590.3722349160819
D,on,oos_warm,DOGE/USDT:USDT,4870,36.86046278062861,0.2459018558622422,0.10469491638153398,509.8642427780705
D,on,oos_warm,LINK/USDT:USDT,4909,40.37247435657423,0.23613780454324912,0.10725133047360054,526.4967812949051
D,on,oos_warm,LTC/USDT:USDT,4936,68.27362477908753,0.22907949456007476,0.1215785891521987,600.1119160552528
D,on,oos_warm,ADA/USDT:USDT,4911,59.383037658388176,0.22596641839460319,0.11878001288216979,583.3286432643358
D,on,oos_warm,DOT/USDT:USDT,4904,55.46947474361849,0.217177336337561,0.11346829764371888,556.4485316447974
D,on,oos_warm,BCH/USDT:USDT,4939,36.37500499741555,0.26336993860914937,0.10431304595968083,515.2021339948636
D,off,oos_warm,-,5377,4.544691772832602,0.18947491213429685,0.10732077906215373,577.0638290172006
D,off,oos_warm,BTC/USDT:USDT,5090,4.607808572475792,0.1873554533351627,0.11329473347786863,576.6701934023513
D,off,oos_warm,ETH/USDT:USDT,4929,3.8681804966236792,0.17338666486612692,0.09676316816831412,476.94565590162034
D,off,oos_warm,SOL/USDT:USDT,4840,4.186548596128593,0.1947464692908574,0.10794645621203922,522.4608480662698
D,off,oos_warm,BNB/USDT:USDT,5076,4.442289988711277,0.1990283840825399,0.1130221989519953,573.7006818803281
D,off,oos_warm,XRP/USDT:USDT,4949,4.405161780284694,0.21991081584959415,0.1119672186806251,554.1257652504137
D,off,oos_warm,TRX/USDT:USDT,5184,4.593750988944086,0.1891783396676794,0.1125178037300311,583.2922945364812
D,off,oos_warm,DOGE/USDT:USDT,4868,4.090402245312287,0.16465759471465682,0.10470565114894523,509.7071097930654
D,off,oos_warm,LINK/USDT:USDT,4899,4.161876158611134,0.18377505280596598,0.10521470508605255,515.4468402165714
D,off,oos_warm,LTC/USDT:USDT,4924,4.6453782403691255,0.1653995546491156,0.11914451336660256,586.667583817151
D,off,oos_warm,ADA/USDT:USDT,4901,4.537727049554349,0.18706806646121732,0.11786488798106444,577.6558159951968
D,off,oos_warm,DOT/USDT:USDT,4898,4.4934537009868025,0.172195112144835,0.11291681047770714,553.0665377198096
D,off,oos_warm,BCH/USDT:USDT,4934,4.092443420134523,0.15588778047413018,0.10359295536384996,511.1276417652357
