arm,symbol,timeframe,entry_ms,entry_utc,day,is_reentry,take_profit_derived,engine_entry,engine_take_profit,stop_price,net_r,reconstructed,ohlc_match,verdict,order_ok,outcome_ok,fill_ms,fill_price,take_profit_price,first_tp_ms,tp_after_fill_ms,fill_offset_s,tick_count
static,ADA/USDT:USDT,2h,1760131200000,2025-10-10 21:20,2025-10-10,False,False,0.2905581,0.31704525,0.2729,1.4805534606809343,True,True,인공물,False,False,1760131231043.0,0.2905581,0.31704525,1760131200024.0,,31.043,11863
band,ADA/USDT:USDT,2h,1760131200000,2025-10-10 21:20,2025-10-10,False,False,0.2905581,0.31704525,0.2729,1.4805534606809343,True,True,인공물,False,False,1760131231043.0,0.2905581,0.31704525,1760131200024.0,,31.043,11863
static,ADA/USDT:USDT,4h,1758520920000,2025-09-22 06:02,2025-09-22,False,False,0.78445686,0.8136421500000001,0.765,1.4543088361344014,True,True,인공물,False,False,1758520951394.0,0.78445686,0.8136421500000001,1758520920068.0,,31.394,7323
band,ADA/USDT:USDT,4h,1758520920000,2025-09-22 06:02,2025-09-22,False,False,0.78445686,0.8136421500000001,0.765,1.4543088361344014,True,True,인공물,False,False,1758520951394.0,0.78445686,0.8136421500000001,1758520920068.0,,31.394,7323
static,BCH/USDT:USDT,15m,1733778240000,2024-12-09 21:04,2024-12-09,False,False,511.282236,525.77559,501.62,1.4404538118214003,True,True,순서역전-성립,False,True,1733778276752.0,511.282236,525.77559,1733778240037.0,1733778288801.0,36.752,5856
band,BCH/USDT:USDT,15m,1733778240000,2024-12-09 21:04,2024-12-09,False,False,511.282236,525.77559,501.62,1.4404538118214003,True,True,순서역전-성립,False,True,1733778276752.0,511.282236,525.77559,1733778240037.0,1733778288801.0,36.752,5856
static,BCH/USDT:USDT,15m,1736261940000,2025-01-07 14:59,2025-01-07,False,False,457.3014419999999,460.04860499999984,455.47,1.224036020152962,True,True,순서역전-성립,False,True,1736261973106.0,457.3014419999999,460.04860499999984,1736261940260.0,1736261976493.0,33.106,2685
band,BCH/USDT:USDT,15m,1736261940000,2025-01-07 14:59,2025-01-07,False,False,457.3014419999999,460.04860499999984,455.47,1.224036020152962,True,True,순서역전-성립,False,True,1736261973106.0,457.30144199999995,460.04860499999984,1736261940260.0,1736261976493.0,33.106,2685
static,BCH/USDT:USDT,15m,1749720240000,2025-06-12 09:24,2025-06-12,False,False,427.455474,431.1686849999999,424.98,1.308741001697856,True,True,인공물,False,False,1749720280918.0,427.455474,431.1686849999999,1749720240139.0,,40.918,8855
band,BCH/USDT:USDT,15m,1749720240000,2025-06-12 09:24,2025-06-12,False,False,427.455474,431.1686849999999,424.98,1.308741001697856,True,True,인공물,False,False,1749720280918.0,427.455474,431.1686849999999,1749720240139.0,,40.918,8855
static,BCH/USDT:USDT,15m,1750534440000,2025-06-21 19:34,2025-06-21,True,True,468.383658,472.5291450000001,465.62,1.312256633682263,True,True,진짜,True,True,1750534444074.0,468.383658,472.5291450000001,1750534447182.0,1750534447182.0,4.074,3032
band,BCH/USDT:USDT,15m,1750534440000,2025-06-21 19:34,2025-06-21,True,True,468.383658,472.5291450000001,465.62,1.312256633682263,True,True,미체결,False,False,,,,,,,3032
static,BCH/USDT:USDT,15m,1756914480000,2025-09-03 15:48,2025-09-03,False,False,581.2862339999999,585.9455849999999,578.18,1.2928388253483336,True,True,인공물,False,False,1756914513319.0,581.2862339999999,585.9455849999999,1756914480012.0,,33.319,7531
band,BCH/USDT:USDT,15m,1756914480000,2025-09-03 15:48,2025-09-03,False,False,581.2862339999999,585.9455849999999,578.18,1.2928388253483336,True,True,인공물,False,False,1756914513319.0,581.2862339999999,585.9455849999999,1756914480012.0,,33.319,7531
static,BCH/USDT:USDT,15m,1762183800000,2025-11-03 15:30,2025-11-03,False,False,491.788338,498.1908450000001,487.52,1.3719338089132247,True,True,인공물,False,False,1762183855375.0,491.788338,498.1908450000001,1762183800013.0,,55.375,5158
band,BCH/USDT:USDT,15m,1762183800000,2025-11-03 15:30,2025-11-03,False,False,491.788338,498.1908450000001,487.52,1.3719338089132247,True,True,인공물,False,False,1762183855375.0,491.788338,498.1908450000001,1762183800013.0,,55.375,5158
static,BCH/USDT:USDT,15m,1780441260000,2026-06-02 23:01,2026-06-02,False,False,267.463482,271.30870500000003,264.9,1.383901556882783,True,True,인공물,False,False,1780441309888.0,267.463482,271.30870500000003,1780441263589.0,,49.888,3791
band,BCH/USDT:USDT,15m,1780441260000,2026-06-02 23:01,2026-06-02,False,False,267.463482,271.30870500000003,264.9,1.383901556882783,True,True,인공물,False,False,1780441309888.0,267.463482,271.30870500000003,1780441263589.0,,49.888,3791
static,BCH/USDT:USDT,15m,1780441260000,2026-06-02 23:01,2026-06-02,True,True,267.463482,271.30870500000003,264.9,1.3839015568827835,True,True,인공물,False,False,1780441309888.0,267.463482,271.30870500000003,1780441263589.0,,49.888,3791
band,BCH/USDT:USDT,15m,1780441260000,2026-06-02 23:01,2026-06-02,True,True,267.463482,271.30870500000003,264.9,1.3839015568827835,True,True,인공물,False,False,1780441309888.0,267.463482,271.30870500000003,1780441263589.0,,49.888,3791
static,BCH/USDT:USDT,1h,1779658500000,2026-05-24 21:35,2026-05-24,False,False,334.356858,339.10714499999995,331.19,1.3825334193478178,True,True,인공물,False,False,1779658545320.0,334.356858,339.10714499999995,1779658500159.0,,45.32,18582
band,BCH/USDT:USDT,1h,1779658500000,2026-05-24 21:35,2026-05-24,False,False,334.356858,339.10714499999995,331.19,1.3825334193478178,True,True,인공물,False,False,1779658545320.0,334.356858,339.10714499999995,1779658500159.0,,45.32,18582
static,BCH/USDT:USDT,2h,1758132000000,2025-09-17 18:00,2025-09-17,False,False,590.163632002548,595.1040800063699,586.87,1.3015845798545362,True,True,진짜,True,True,1758132004057.0,590.163632002548,595.1040800063699,1758132017247.0,1758132017247.0,4.057,3205
band,BCH/USDT:USDT,2h,1758132000000,2025-09-17 18:00,2025-09-17,False,False,590.163632002548,595.1040800063699,586.87,1.3015845798545362,True,True,미체결,False,False,,,,,,,3205
static,BCH/USDT:USDT,2h,1758132000000,2025-09-17 18:00,2025-09-17,False,False,590.163632002548,595.1040800063699,586.87,1.3015845798545365,True,True,진짜,True,True,1758132004057.0,590.163632002548,595.1040800063699,1758132017247.0,1758132017247.0,4.057,3205
band,BCH/USDT:USDT,2h,1758132000000,2025-09-17 18:00,2025-09-17,False,False,590.163632002548,595.1040800063699,586.87,1.3015845798545365,True,True,미체결,False,False,,,,,,,3205
static,BCH/USDT:USDT,2h,1758132000000,2025-09-17 18:00,2025-09-17,False,False,590.163632002548,595.1040800063699,586.87,1.3015845798545362,True,True,진짜,True,True,1758132004057.0,590.163632002548,595.1040800063699,1758132017247.0,1758132017247.0,4.057,3205
band,BCH/USDT:USDT,2h,1758132000000,2025-09-17 18:00,2025-09-17,False,False,590.163632002548,595.1040800063699,586.87,1.3015845798545362,True,True,미체결,False,False,,,,,,,3205
static,BCH/USDT:USDT,4h,1779658560000,2026-05-24 21:36,2026-05-24,True,True,335.507088,341.98272000000003,331.19,1.4131781726348966,True,True,진짜,True,True,1779658560008.0,335.507088,341.98272000000003,1779658585018.0,1779658585018.0,0.008,17477
band,BCH/USDT:USDT,4h,1779658560000,2026-05-24 21:36,2026-05-24,True,True,335.507088,341.98272000000003,331.19,1.4131781726348966,True,True,진짜,True,True,1779658560411.0,332.9755272700151,335.65381817503777,1779658569062.0,1779658569062.0,0.411,17477
