symbol,timeframe,entry_ms,entry_utc,day,entry_price,stop_price,take_profit_price,is_reentry,take_profit_derived,net_r
ADA/USDT:USDT,2h,1760131200000,2025-10-10 21:20,2025-10-10,0.2905581,0.2729,0.31704525,False,False,1.4805534606809343
ADA/USDT:USDT,4h,1758520920000,2025-09-22 06:02,2025-09-22,0.78445686,0.765,0.8136421500000001,False,False,1.4543088361344014
BCH/USDT:USDT,15m,1733778240000,2024-12-09 21:04,2024-12-09,511.282236,501.62,525.77559,False,False,1.4404538118214003
BCH/USDT:USDT,15m,1736261940000,2025-01-07 14:59,2025-01-07,457.3014419999999,455.47,460.04860499999984,False,False,1.224036020152962
BCH/USDT:USDT,15m,1749720240000,2025-06-12 09:24,2025-06-12,427.455474,424.98,431.1686849999999,False,False,1.308741001697856
BCH/USDT:USDT,15m,1750534440000,2025-06-21 19:34,2025-06-21,468.383658,465.62,472.5291450000001,True,True,1.312256633682263
BCH/USDT:USDT,15m,1756914480000,2025-09-03 15:48,2025-09-03,581.2862339999999,578.18,585.9455849999999,False,False,1.2928388253483336
BCH/USDT:USDT,15m,1762183800000,2025-11-03 15:30,2025-11-03,491.788338,487.52,498.1908450000001,False,False,1.3719338089132247
BCH/USDT:USDT,15m,1780441260000,2026-06-02 23:01,2026-06-02,267.463482,264.9,271.30870500000003,False,False,1.383901556882783
BCH/USDT:USDT,15m,1780441260000,2026-06-02 23:01,2026-06-02,267.463482,264.9,271.30870500000003,True,True,1.3839015568827835
BCH/USDT:USDT,1h,1779658500000,2026-05-24 21:35,2026-05-24,334.356858,331.19,339.10714499999995,False,False,1.3825334193478178
BCH/USDT:USDT,2h,1758132000000,2025-09-17 18:00,2025-09-17,590.163632002548,586.87,595.1040800063699,False,False,1.3015845798545362
BCH/USDT:USDT,2h,1758132000000,2025-09-17 18:00,2025-09-17,590.163632002548,586.87,595.1040800063699,False,False,1.3015845798545365
BCH/USDT:USDT,2h,1758132000000,2025-09-17 18:00,2025-09-17,590.163632002548,586.87,595.1040800063699,False,False,1.3015845798545362
BCH/USDT:USDT,4h,1779658560000,2026-05-24 21:36,2026-05-24,335.507088,331.19,341.98272000000003,True,True,1.4131781726348966
BNB/USDT:USDT,15m,1740437880000,2025-02-24 22:58,2025-02-24,612.002376,609.7,615.45594,False,False,1.206308730627872
BNB/USDT:USDT,15m,1761628980000,2025-10-28 05:23,2025-10-28,1125.82512,1122.35,1131.0378,False,False,1.1423511025691504
BNB/USDT:USDT,15m,1779522600000,2026-05-23 07:50,2026-05-23,635.1570059999999,633.2,638.0925149999997,True,True,1.1417041919150932
BNB/USDT:USDT,1h,1769885040000,2026-01-31 18:44,2026-01-31,753.990768,745.41,766.86192,True,True,1.4020110426926893
BNB/USDT:USDT,2h,1781616480000,2026-06-16 13:28,2026-06-16,601.72032,599.7,604.7508,False,False,1.1710922854597725
BNB/USDT:USDT,4h,1760131140000,2025-10-10 21:19,2025-10-10,837.757518,818.54,866.583795,True,True,1.4507062461270466
BTC/USDT:USDT,15m,1724796840000,2024-08-27 22:14,2024-08-27,58018.1013,57601.3,58643.30325,False,False,1.3455598278499858
BTC/USDT:USDT,15m,1734552600000,2024-12-18 20:10,2024-12-18,100971.1902,100559.8,101588.27549999999,True,True,1.2287165121218322
BTC/USDT:USDT,15m,1779475500000,2026-05-22 18:45,2026-05-22,76083.7137,75836.0,76455.28424999998,True,True,1.1608536083868135
BTC/USDT:USDT,4h,1768948380000,2026-01-20 22:33,2026-01-20,87867.26994,87189.2,88884.37485,False,False,1.356133403468625
