symbol,timeframe,segment,arm,arm_label,lens,no_same_step_tp,combine_obs,max_zone_width_atr,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,zones,buy_hold
BTC/USDT:USDT,1h,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.9893945855778716,254,254,0,523,0.5295996853459954,0.2458423949243599,0.7729736374903193,0.005,200,0,1508,5.209006044444611
BTC/USDT:USDT,1h,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.0572268437909981,85,85,0,199,0.0711960147401793,-0.0385707451547974,0.1666017633741505,0.615,200,0,1508,0.0830109614608309
BTC/USDT:USDT,1h,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.636605966622811,233,233,0,503,0.3387368308376663,0.1477913376207303,0.5673709791585617,0.015,200,0,1508,5.209006044444611
BTC/USDT:USDT,1h,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.0183304013569766,78,78,0,193,0.0375538080404021,-0.0535518483629146,0.1276876395107609,0.635,200,0,1508,0.0830109614608309
ETH/USDT:USDT,1h,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,1.291865427922825,250,250,0,497,0.553038043429565,0.2353976430968596,0.9114144276136398,0.0,200,0,1470,4.09181345500849
ETH/USDT:USDT,1h,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.6056446805592521,91,91,0,188,0.2725199175332201,0.146158411612123,0.4368913123406387,0.0,200,0,1470,-0.2796819118314838
ETH/USDT:USDT,1h,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.8749629515453922,233,233,0,490,0.3809487843682184,0.1206831774025387,0.6759836383999144,0.0,200,0,1470,4.09181345500849
ETH/USDT:USDT,1h,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.4540507823931555,84,84,0,184,0.2154141842787691,0.0640152526451098,0.3631690810241201,0.0,200,0,1470,-0.2796819118314838
SOL/USDT:USDT,1h,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.9917816651373588,280,280,0,533,0.5287455473702742,0.2010853485258554,0.8855527325459632,0.01,200,0,1460,22.85953095340151
SOL/USDT:USDT,1h,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.3499453404686463,93,93,0,203,0.2146033578063381,0.0567074243799108,0.4045655668536346,0.065,200,0,1460,-0.5162541822628602
SOL/USDT:USDT,1h,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,1.0042346977009613,265,265,0,527,0.4867558219172494,0.1644030315013169,0.8898297418610865,0.0,200,0,1460,22.85953095340151
SOL/USDT:USDT,1h,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.3446175741196554,88,88,0,200,0.1967462071073719,0.0553045893390857,0.3647629655279154,0.045,200,0,1460,-0.5162541822628602
BNB/USDT:USDT,1h,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,1.067979652057256,220,220,0,451,0.3084252677301654,0.0588684490403111,0.5835099968633871,0.0,200,0,1415,17.92116730489898
BNB/USDT:USDT,1h,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.1160462878894735,78,78,0,159,-0.028184720205491,-0.1144692034707015,0.0709177704695646,0.0,200,0,1415,0.1152491584457027
BNB/USDT:USDT,1h,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.9872841521332554,211,211,0,439,0.2415308285126077,0.0386083661651644,0.4817788089969614,0.0,200,0,1415,17.92116730489898
BNB/USDT:USDT,1h,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.1416383656411868,77,77,0,154,-0.0135139805989525,-0.1211788869612015,0.0907788019634867,0.005,200,0,1415,0.1152491584457027
XRP/USDT:USDT,1h,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,1.510248694624167,246,246,0,513,0.6694961453094023,0.3539834485447207,1.0035964540479034,0.0,200,0,1445,3.636068237205523
