arm,segment,excluded,significant,eligible,real_mean
A,full,(없음),39,48,1.3757604080310057
A,full,ADA,37,44,1.3806262530215057
A,full,BCH,35,44,1.3909468196554367
A,full,BNB,36,44,1.4183010984698792
A,full,BTC,36,44,1.428992333661145
A,full,DOGE,36,44,1.3009486613427852
A,full,DOT,36,44,1.3403180674260182
A,full,ETH,35,44,1.3973055786500383
A,full,LINK,36,44,1.3660653857191953
A,full,LTC,36,44,1.416782327776216
A,full,SOL,35,44,1.3141130726363295
A,full,TRX,36,44,1.4462564395260993
A,full,XRP,35,44,1.308468858487425
A,oos_warm,(없음),22,46,0.18996490670376345
A,oos_warm,ADA,19,42,0.19244554436554254
A,oos_warm,BCH,19,42,0.1855704187773944
A,oos_warm,BNB,19,42,0.1975205445167653
A,oos_warm,BTC,21,43,0.2019958301669804
A,oos_warm,DOGE,21,42,0.18685458195075616
A,oos_warm,DOT,21,42,0.18923888240891792
A,oos_warm,ETH,19,42,0.17802264302684756
A,oos_warm,LINK,20,43,0.1867252207653505
A,oos_warm,LTC,21,42,0.19552865911335637
A,oos_warm,SOL,20,42,0.1725805924700801
A,oos_warm,TRX,22,42,0.20279960247937615
A,oos_warm,XRP,20,42,0.19029636040379436
D,full,(없음),33,48,0.9069530953973951
D,full,ADA,32,44,0.9173857269421845
D,full,BCH,30,44,0.9103362664180733
D,full,BNB,30,44,0.9242719912819438
D,full,BTC,30,44,0.9404743451081767
D,full,DOGE,31,44,0.8512848683795682
D,full,DOT,30,44,0.9015908619058227
D,full,ETH,31,44,0.9142448596253989
D,full,LINK,31,44,0.9060771387056615
D,full,LTC,30,44,0.9341967695810972
D,full,SOL,29,44,0.8759582000849114
D,full,TRX,30,44,0.9428330770033585
D,full,XRP,29,44,0.8647830397325453
D,oos_warm,(없음),17,46,0.13317259467947765
D,oos_warm,ADA,15,42,0.1340913173287357
D,oos_warm,BCH,15,42,0.12893198384006288
D,oos_warm,BNB,15,42,0.1363212734229334
D,oos_warm,BTC,17,43,0.14253322714152833
D,oos_warm,DOGE,16,42,0.13006732517474698
D,oos_warm,DOT,16,42,0.13738459450229426
D,oos_warm,ETH,15,42,0.12360791604247905
D,oos_warm,LINK,15,43,0.13037886762182618
D,oos_warm,LTC,17,42,0.1389184669520679
D,oos_warm,SOL,14,42,0.11978685127167492
D,oos_warm,TRX,17,42,0.14232865603083347
D,oos_warm,XRP,15,42,0.1337206568245487
